,producer_country,commodity,year,adjusted_deforestation_exposure,exporter_group,years_appeared,years_available,deduce_temporal_pattern,legal_entity_mapped,legal_entity_hierarchy_year,CommonName,OAPermID,ParentOrganisationName,ParentCompanyOAPermID,UltimateParentOrganisationName,UltimateParentCompanyOAPermID
0,Peru,"Coffee, green",2015,1.979468782,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,,,,,,,,
1,Peru,"Coffee, green",2016,59.17165895,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,,,,,,,,
2,Peru,"Coffee, green",2017,37.83561986,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,,,,,,,,
3,Peru,"Coffee, green",2018,29.71565726,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,,,,,,,,
4,Peru,"Coffee, green",2019,55.91462031,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,,,,,,,,
5,Peru,"Coffee, green",2020,30.02824851,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,,,,,,,,
6,Peru,"Coffee, green",2021,25.34270455,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,,,,,,,,
7,Peru,"Coffee, green",2022,20.64852139,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,,,,,,,,
8,Colombia,Cattle meat,2013,92.67171771,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,,,,,,,,
9,Brazil,Cattle meat,2019,0.665830087,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2025,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533
10,Brazil,Cattle meat,2020,131.8787504,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2025,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533
11,Brazil,Sugar cane,2015,69.4860106,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2025,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa Bioenergia SA,5000056584
12,Brazil,Sugar cane,2016,62.58982818,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2025,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa Bioenergia SA,5000056584
13,Brazil,Sugar cane,2017,38.42525749,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2025,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa Bioenergia SA,5000056584
14,Brazil,Sugar cane,2015,78.07730017,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2025,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973
