Unnamed: 0,producer_country,commodity,year,adjusted_deforestation_exposure,exporter_group,years_appeared,years_available,deduce_temporal_pattern,legal_entity_mapped,legal_entity_hierarchy_year,CommonName,OAPermID,ParentOrganisationName,ParentCompanyOAPermID,UltimateParentOrganisationName,UltimateParentCompanyOAPermID,JointVentureOrganisationName,JointVentureCompanyOAPermID
,Peru,"Coffee, green",2008,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Peru,"Coffee, green",2009,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Peru,"Coffee, green",2010,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Peru,"Coffee, green",2011,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Peru,"Coffee, green",2012,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Peru,"Coffee, green",2013,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Peru,"Coffee, green",2014,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
0,Peru,"Coffee, green",2015,1.979468782,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
1,Peru,"Coffee, green",2016,59.17165895,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
2,Peru,"Coffee, green",2017,37.83561986,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
3,Peru,"Coffee, green",2018,29.71565726,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
4,Peru,"Coffee, green",2019,55.91462031,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
5,Peru,"Coffee, green",2020,30.02824851,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
6,Peru,"Coffee, green",2021,25.34270455,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
7,Peru,"Coffee, green",2022,20.64852139,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Peru,"Coffee, green",2023,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Peru,"Coffee, green",2024,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Colombia,Cattle meat,2008,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2009,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2010,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2011,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2012,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
8,Colombia,Cattle meat,2013,92.67171771,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2014,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2015,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2016,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2017,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2018,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2019,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2020,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2021,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2022,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2023,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2024,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Brazil,Cattle meat,2008,,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2008,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
