producer_country,commodity,exporter_group,fin_flows,legal_entity
Peru,"Coffee, green",A & V CAFE S A C,FALSE,FALSE
Colombia,Cattle meat,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,FALSE,FALSE
Brazil,Cattle meat,ABATEDOURO DE BOVINOS SAMPAIO LTDA,FALSE,TRUE
Brazil,Sugar cane,ABENGOA BIOENERGIA AGROINDUSTRIA,TRUE,TRUE
Brazil,Sugar cane,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,FALSE,TRUE
Brazil,Soya beans,ADECOAGRO,TRUE,TRUE
Brazil,Sugar cane,ADECOAGRO,TRUE,TRUE
Brazil,Soya beans,ADM,TRUE,TRUE
Brazil,Soya beans,AFG BRASIL,FALSE,TRUE
Brazil,Cattle meat,AG STA-RITA IMPORTACAO E EXPORTACAO LTDA - EPP,FALSE,FALSE
Brazil,Cattle meat,AGL AGROINDUSTRIAL,FALSE,FALSE
Brazil,Cattle meat,AGRA AGROINDUSTRIAL DE ALIMENTOS,FALSE,TRUE
Brazil,Soya beans,AGRICOLA E PECUARIA MORRO AZUL,FALSE,FALSE
Ecuador,Cocoa beans,AGRICOLA GUANGALA S A AGRIGUANGALA,FALSE,FALSE
Brazil,Soya beans,AGRINVEST BRASIL,FALSE,TRUE
Peru,Cocoa beans,AGRO SAN GERARDO E I R L,FALSE,FALSE
Brazil,Cattle meat,AGROEXPORT TRADING E AGRONEGOCIOS,FALSE,TRUE
Brazil,Cattle meat,AGROGLOBAL AGRONEGOCIOS EXPORTACAO E IMPORTACAO REPRESENTACO,FALSE,FALSE
Colombia,Cattle meat,AGROIND COL COLOMBIA S A S,FALSE,FALSE
Bolivia,Soya beans,AGROINDUSTRIA CAICO SA,FALSE,FALSE
Brazil,Cattle meat,AGROINDUSTRIAL IGUATEMI,FALSE,TRUE
Brazil,Sugar cane,AGROINDUSTRIAL SANTA JULIANA,TRUE,TRUE
Ecuador,Cocoa beans,AGROINDUSTRIAS ARRIBA DEL ECUADOR AGROARRIBA S A,FALSE,TRUE
Colombia,Cattle meat,AGROINDUSTRIAS ASAF S A S,FALSE,FALSE
Colombia,Cattle meat,AGROINVERSIONES BRASIL S A S GRUPO AGB,FALSE,FALSE
Brazil,Cattle meat,AGROMASS BRASIL AGROPECUARIA - IMPORTACAO E EXPORTACAO LTDA - EPP,FALSE,TRUE
Colombia,Cattle meat,AGROP AZTECA S A,FALSE,FALSE
Colombia,Cattle meat,AGROP EL BUFALO S A,FALSE,TRUE
