boundary_period,defn_phase_out,sensitivity_id,total_usd_m_high_conf,total_usd_m_medium_conf,total_usd_m_low_conf,total_usd_m,total_usd_m_yr_high_conf,total_usd_m_yr_medium_conf,total_usd_m_yr_low_conf,total_usd_m_yr
all,FALSE,bpall_defn_po_FALSE,96512.73588306562,879847.3048892159,1313783.6429418582,2290143.6837141397,15137.112129026791,128248.6149200088,200605.40390820618,343991.13095724175
all,TRUE,bpall_defn_po_TRUE,90270.13393828842,852194.0086585603,1304426.7579315698,2246890.900528419,14573.863142739374,125656.37645841634,199875.0862017799,340105.32580293564
0,FALSE,bp0_defn_po_FALSE,58129.256875525025,497311.8920299473,824838.6008404418,1380279.7497459142,6225.722661616935,57810.49962584577,84602.83650680134,148639.05879426404
0,TRUE,bp0_defn_po_TRUE,54371.68165313984,474777.96097391244,822359.4142133062,1351509.0568403583,5888.533485394379,55737.62443126006,84402.5818969,146028.73981355445
1,FALSE,bp1_defn_po_FALSE,73348.47955650387,593967.50647227,967983.8567532342,1635299.842782008,9102.426652348311,73676.71999279073,108344.87364639879,191124.02029153783
1,TRUE,bp1_defn_po_TRUE,69364.01221311455,569561.7259857596,961590.4160708294,1600516.1542697037,8744.462629823587,71436.40641691006,107843.26949512163,188024.13854185527
2,FALSE,bp2_defn_po_FALSE,83929.48618646293,697552.3353641984,1084227.9125441564,1865709.7340948177,11543.081860426411,89706.38320558556,126861.04021630611,228110.50528231807
2,TRUE,bp2_defn_po_TRUE,78845.76655830657,670274.1608356455,1074871.0275338683,1823990.9549278202,11085.185812013659,87176.66502767695,126130.72250987917,224392.57334956978
3,FALSE,bp3_defn_po_FALSE,89557.87801146683,735300.7402220942,1159533.4023444343,1984392.0205779953,13118.530212504915,97595.44885972553,151507.8844992855,262221.86357151595
3,TRUE,bp3_defn_po_TRUE,83315.2760666896,708022.565693546,1150176.5173341471,1941514.3590943827,12555.281226217543,95065.73068181687,150777.56679285917,258398.5787008936
