flow_financed_location_type,amount_usd_m,pct,case
Regional,1047.210662082636,0.86%,flows_bolivia_soya_beans
International,120678.88523542469,99.13%,flows_bolivia_soya_beans
Not disclosed,12.816008560155163,0.01%,flows_bolivia_soya_beans
Domestic,26693.985523422685,24.32%,flows_brazil_cattle_meat
Regional,1509.2438473172185,1.38%,flows_brazil_cattle_meat
International,80046.73904191301,72.93%,flows_brazil_cattle_meat
Not disclosed,1505.7351234094958,1.37%,flows_brazil_cattle_meat
Domestic,4227.934486070819,11.93%,flows_brazil_oil_palm_fruit
International,31222.11350858959,88.07%,flows_brazil_oil_palm_fruit
Domestic,16482.12955934306,1.26%,flows_brazil_soya_beans
Regional,838.9629634075347,0.06%,flows_brazil_soya_beans
International,1259704.4158931163,96.67%,flows_brazil_soya_beans
Not disclosed,26092.390345052234,2.00%,flows_brazil_soya_beans
Domestic,20328.50241853596,3.06%,flows_brazil_sugar_cane
Regional,3619.655304505431,0.54%,flows_brazil_sugar_cane
International,637333.972696224,95.84%,flows_brazil_sugar_cane
Not disclosed,3714.3231100334683,0.56%,flows_brazil_sugar_cane
Regional,6502.663265572112,39.87%,flows_colombia_cattle_meat
International,9805.310038286298,60.13%,flows_colombia_cattle_meat
Domestic,63.74298243630373,17.52%,flows_colombia_cocoa_beans
Regional,31.871491218151863,8.76%,flows_colombia_cocoa_beans
International,0,0.00%,flows_colombia_cocoa_beans
Not disclosed,268.13130535933146,73.71%,flows_colombia_cocoa_beans
Regional,4420.1658673876045,3.04%,flows_colombia_coffee_green
International,137229.04792784582,94.47%,flows_colombia_coffee_green
Not disclosed,3619.4986851330746,2.49%,flows_colombia_coffee_green
Regional,852.4858747773102,0.15%,flows_ecuador_cocoa_beans
International,552854.8722628889,94.25%,flows_ecuador_cocoa_beans
Not disclosed,32896.53139952312,5.61%,flows_ecuador_cocoa_beans
Domestic,54.429314379818464,0.28%,flows_peru_cocoa_beans
Regional,504.16722019924833,2.56%,flows_peru_cocoa_beans
International,18890.285233494527,95.81%,flows_peru_cocoa_beans
Not disclosed,268.13130535933146,1.36%,flows_peru_cocoa_beans
Regional,1821.2813357786831,0.87%,flows_peru_coffee_green
International,203476.8628613109,97.38%,flows_peru_coffee_green
Not disclosed,3647.1044058253574,1.75%,flows_peru_coffee_green
