flow_issuance_location_type,amount_usd_m,pct,case
Regional,2742.373210038275,2.25%,flows_bolivia_soya_beans
International,118996.53869602924,97.75%,flows_bolivia_soya_beans
Domestic,33442.532028369205,30.47%,flows_brazil_cattle_meat
Regional,3273.568426558136,2.98%,flows_brazil_cattle_meat
International,73039.60308113517,66.55%,flows_brazil_cattle_meat
Domestic,27757.895293233858,78.30%,flows_brazil_oil_palm_fruit
Regional,7462.250126458592,21.05%,flows_brazil_oil_palm_fruit
International,229.9025749679482,0.65%,flows_brazil_oil_palm_fruit
Domestic,39996.925820359094,3.07%,flows_brazil_soya_beans
Regional,11258.993679785297,0.86%,flows_brazil_soya_beans
International,1251861.9792607755,96.07%,flows_brazil_soya_beans
Domestic,56587.98493709243,8.51%,flows_brazil_sugar_cane
Regional,15209.268703689191,2.29%,flows_brazil_sugar_cane
International,593199.1998885213,89.20%,flows_brazil_sugar_cane
Domestic,27.932984813218688,0.17%,flows_colombia_cattle_meat
Regional,9683.880656577603,59.38%,flows_colombia_cattle_meat
International,6596.159662467584,40.45%,flows_colombia_cattle_meat
Domestic,363.74577901378683,100.00%,flows_colombia_cocoa_beans
Regional,23744.386909191424,16.35%,flows_colombia_coffee_green
International,121524.3255711741,83.65%,flows_colombia_coffee_green
Regional,742.2475213082049,0.13%,flows_ecuador_cocoa_beans
International,585861.6420158762,99.87%,flows_ecuador_cocoa_beans
Domestic,320.822373854814,1.63%,flows_peru_cocoa_beans
Regional,363.74577901378683,1.84%,flows_peru_cocoa_beans
International,19032.44492056433,96.53%,flows_peru_cocoa_beans
Regional,17903.169408190985,8.57%,flows_peru_coffee_green
International,191042.0791947229,91.43%,flows_peru_coffee_green
