financial_flow_link_strength,amount_usd_m,pct,case
High,542.3928299628175,0.45%,flows_bolivia_soya_beans
Medium,111422.4369234144,91.53%,flows_bolivia_soya_beans
Low,9774.082152690273,8.03%,flows_bolivia_soya_beans
High,26263.34145055798,23.93%,flows_brazil_cattle_meat
Medium,64143.0796964921,58.44%,flows_brazil_cattle_meat
Low,19349.282389012562,17.63%,flows_brazil_cattle_meat
Medium,4227.934486070819,11.93%,flows_brazil_oil_palm_fruit
Low,31222.11350858959,88.07%,flows_brazil_oil_palm_fruit
High,11670.009475285993,0.90%,flows_brazil_soya_beans
Medium,367392.6804536325,28.19%,flows_brazil_soya_beans
Low,924055.2088320049,70.91%,flows_brazil_soya_beans
High,12070.13562392926,1.82%,flows_brazil_sugar_cane
Medium,199016.6958256178,29.93%,flows_brazil_sugar_cane
Low,453909.62207975576,68.26%,flows_brazil_sugar_cane
High,4318.518567563556,26.48%,flows_colombia_cattle_meat
Medium,7277.849794819635,44.63%,flows_colombia_cattle_meat
Low,4711.6049414752115,28.89%,flows_colombia_cattle_meat
High,95.6144736544556,26.29%,flows_colombia_cocoa_beans
Medium,268.13130535933146,73.71%,flows_colombia_cocoa_beans
Medium,30524.591601159464,21.01%,flows_colombia_coffee_green
Low,114744.1208792057,78.99%,flows_colombia_coffee_green
High,542.3928299628175,0.09%,flows_ecuador_cocoa_beans
Medium,440963.9023728637,75.17%,flows_ecuador_cocoa_beans
Low,145097.5943343605,24.74%,flows_ecuador_cocoa_beans
High,118.1722968161222,0.60%,flows_peru_cocoa_beans
Medium,708.5555431222759,3.59%,flows_peru_cocoa_beans
Low,18890.285233494527,95.81%,flows_peru_cocoa_beans
Medium,80513.40706364247,38.53%,flows_peru_coffee_green
Low,128431.84153927074,61.47%,flows_peru_coffee_green
