country_commodity_case,boundary_period,defn_phase_out,total_usd_m_high_conf,total_usd_m_medium_conf,total_usd_m_low_conf,total_usd_m
bolivia_soya_beans,0,FALSE,0,16450.109588599622,0,16450.109588599622
bolivia_soya_beans,0,TRUE,0,16450.109588599622,0,16450.109588599622
bolivia_soya_beans,1,FALSE,0,31766.192319906502,0,31766.192319906502
bolivia_soya_beans,1,TRUE,0,31766.192319906502,0,31766.192319906502
bolivia_soya_beans,2,FALSE,348.78120527825297,43849.26248439372,155.6611218339707,44353.704811505944
bolivia_soya_beans,2,TRUE,348.78120527825297,43849.26248439372,155.6611218339707,44353.704811505944
bolivia_soya_beans,3,FALSE,348.78120527825297,48563.69682389037,1287.7324778589625,50200.21050702759
bolivia_soya_beans,3,TRUE,348.78120527825297,48563.69682389037,1287.7324778589625,50200.21050702759
brazil_cattle_meat,0,FALSE,21837.2309843414,38144.185090467865,12197.008693220318,72178.42476802958
brazil_cattle_meat,0,TRUE,18409.60589914678,38100.839352520066,11557.649341985169,68068.09459365201
brazil_cattle_meat,1,FALSE,29989.111722777245,44248.59769405938,16807.15884331043,91044.86826014706
brazil_cattle_meat,1,TRUE,26339.137429390154,44205.251956111584,16167.799492075279,86712.18887757702
brazil_cattle_meat,2,FALSE,31685.514744569122,53124.79155693981,16807.15884331043,101617.46514481936
brazil_cattle_meat,2,TRUE,26894.72816594169,53081.44581899201,16167.799492075279,96143.97347700899
brazil_cattle_meat,3,FALSE,32847.70227201761,59122.560895559865,16816.303106865762,108786.56627444323
brazil_cattle_meat,3,TRUE,26894.72816594169,59079.21515761207,16176.943755630611,102150.88707918437
brazil_oil_palm_fruit,0,FALSE,0,9840.632325335248,4573.498409761084,14414.130735096333
brazil_oil_palm_fruit,0,TRUE,0,9840.632325335248,4573.498409761084,14414.130735096333
brazil_oil_palm_fruit,1,FALSE,0,13299.666534415674,4573.498409761084,17873.16494417676
brazil_oil_palm_fruit,1,TRUE,0,13299.666534415674,4573.498409761084,17873.16494417676
brazil_oil_palm_fruit,2,FALSE,0,17953.353966658684,4573.498409761084,22526.852376419767
brazil_oil_palm_fruit,2,TRUE,0,17953.353966658684,4573.498409761084,22526.852376419767
brazil_oil_palm_fruit,3,FALSE,0,22651.43906689627,7692.152701426541,30343.59176832281
brazil_oil_palm_fruit,3,TRUE,0,22651.43906689627,7692.152701426541,30343.59176832281
brazil_soya_beans,0,FALSE,36637.45162016446,321915.6825638423,741684.3574059544,1100237.491589961
brazil_soya_beans,0,TRUE,36179.44432782202,311853.81096454966,739808.4883060808,1087841.7435984525
brazil_soya_beans,1,FALSE,37834.804649850616,355289.75810880703,831475.7870013665,1224600.349760024
brazil_soya_beans,1,TRUE,37376.79735750818,344352.0683402294,825667.0471096952,1207395.9128074327
brazil_soya_beans,2,FALSE,38845.58120020445,373346.1224282197,890926.1951324984,1303117.8987609225
brazil_soya_beans,2,TRUE,38387.57390786201,361951.58257967414,882158.8434043911,1282497.9998919272
brazil_soya_beans,3,FALSE,38845.58120020445,373346.1224282197,890926.1951324984,1303117.8987609225
brazil_soya_beans,3,TRUE,38387.57390786201,361951.58257967414,882158.8434043911,1282497.9998919272
brazil_sugar_cane,0,FALSE,10642.749459120098,45526.027079274696,87861.94874702596,144030.72528542075
brazil_sugar_cane,0,TRUE,10642.749459120098,45526.027079274696,87861.94874702596,144030.72528542075
brazil_sugar_cane,1,FALSE,21231.149288733406,75160.4770222251,146505.25757862325,242896.88388958175
brazil_sugar_cane,1,TRUE,21231.149288733406,75160.4770222251,146505.25757862325,242896.88388958175
brazil_sugar_cane,2,FALSE,28818.444387287924,101912.71039194544,189284.7333261465,320015.8881053799
brazil_sugar_cane,2,TRUE,28818.444387287924,101912.71039194544,189284.7333261465,320015.8881053799
brazil_sugar_cane,3,FALSE,34104.45973546661,123229.0242640909,266044.13955113257,423377.62355069007
brazil_sugar_cane,3,TRUE,34104.45973546661,123229.0242640909,266044.13955113257,423377.62355069007
