boundary_period,defn_phase_out,commodity,producer_country,manager_country_grouped,financial_flow_link_strength,total_usd_m_normalised_to_sei_trase_by_strength,total_usd_m_normalised_to_sei_trase,rank_overall,manager_country_grouped_link_strength_pct
0,FALSE,Cattle meat,Brazil,Australia,Medium,6.886261871356179,5796.549160673374,10,0.0011879933526788575
0,FALSE,Cattle meat,Brazil,Brazil,High,1300.5676471319505,9133.99598022611,9,0.14238758698246715
0,FALSE,Cattle meat,Brazil,Brazil,Low,606.4860457573716,9133.99598022611,9,0.06639876425064489
0,FALSE,Cattle meat,Brazil,Brazil,Medium,398.47243205392965,9133.99598022611,9,0.043625203352023544
0,FALSE,Cattle meat,Brazil,Canada,High,17.45103929610554,10248.207445716513,7,0.0017028382171752024
0,FALSE,Cattle meat,Brazil,Canada,Low,25.534671572805646,10248.207445716513,7,0.002491623213919082
0,FALSE,Cattle meat,Brazil,Canada,Medium,987.3146604463717,10248.207445716513,7,0.09634022980858412
0,FALSE,Cattle meat,Brazil,China,High,10.569924544960001,11127.681747901785,6,9.498766036288778e-4
0,FALSE,Cattle meat,Brazil,China,Low,14.511262552618364,11127.681747901785,6,0.0013040687972006911
0,FALSE,Cattle meat,Brazil,China,Medium,7.278377381117108,11127.681747901785,6,6.540784995481656e-4
0,FALSE,Cattle meat,Brazil,EU27,High,572.042362132797,67220.76973619133,1,0.008509904965054459
0,FALSE,Cattle meat,Brazil,EU27,Low,332.7301534974136,67220.76973619133,1,0.004949811714492661
0,FALSE,Cattle meat,Brazil,EU27,Medium,1086.178551752658,67220.76973619133,1,0.016158377180377107
0,FALSE,Cattle meat,Brazil,Japan,High,53.9276647477105,39196.83003154959,3,0.0013758169909225833
0,FALSE,Cattle meat,Brazil,Japan,Low,51.556124596160046,39196.83003154959,3,0.001315313624970755
0,FALSE,Cattle meat,Brazil,Japan,Medium,274.2661964426646,39196.83003154959,3,0.006997152479471103
0,FALSE,Cattle meat,Brazil,Other countries,High,41.370401815022305,NA,NA,NA
0,FALSE,Cattle meat,Brazil,Other countries,Low,14.956910940683805,NA,NA,NA
0,FALSE,Cattle meat,Brazil,Other countries,Medium,1.0796639904065728,NA,NA,NA
0,FALSE,Cattle meat,Brazil,Switzerland,High,91.80864444474675,13006.231642939701,5,0.0070588197231274226
0,FALSE,Cattle meat,Brazil,Switzerland,Low,31.084920378341803,13006.231642939701,5,0.002390002056838341
0,FALSE,Cattle meat,Brazil,Switzerland,Medium,68.79169684753103,13006.231642939701,5,0.005289133604265298
0,FALSE,Cattle meat,Brazil,UK,High,104.44163511283875,29691.568317166657,4,0.0035175519863817413
0,FALSE,Cattle meat,Brazil,UK,Low,188.52319207735147,29691.568317166657,4,0.006349384783704866
0,FALSE,Cattle meat,Brazil,UK,Medium,578.4284275146307,29691.568317166657,4,0.019481235256279913
0,FALSE,Cattle meat,Brazil,USA,High,618.2133525354922,55712.04591207625,2,0.011096583196947125
0,FALSE,Cattle meat,Brazil,USA,Low,227.60376728418447,55712.04591207625,2,0.0040853600609710985
0,FALSE,Cattle meat,Brazil,USA,Medium,1744.8508327484294,55712.04591207625,2,0.03131909453661281
0,FALSE,Cattle meat,Brazil,Unknown,High,149.10252006994904,10103.405722470117,8,0.014757649466490583
0,FALSE,Cattle meat,Brazil,Unknown,Low,35.76777923995587,10103.405722470117,8,0.003540170534813605
0,FALSE,Cattle meat,Brazil,Unknown,Medium,164.2634005567163,10103.405722470117,8,0.01625822074940455
