manager_true_ultimate_parent_country_of_headquarters,amount_usd_m,rank,pct
United States of America,19329.66019146175,1,0.38505137720001803
United Kingdom,7080.13549351304,2,0.14103796422371373
France,6314.683960697143,3,0.1257899896617596
Germany,5232.133089112721,4,0.10422532169223232
Japan,3164.5863933284877,5,0.06303930524126945
Canada,2398.1243544664285,6,0.047771201161212605
Spain,1728.450830353146,7,0.03443114705885908
Netherlands,1432.7984150439486,8,0.028541681410745725
Singapore,623.1808432546753,9,0.012413908964932264
Australia,534.9294172376373,10,0.010655919802622201
Brazil,423.1112663025693,11,0.008428475937234134
Switzerland,377.4134170427616,12,0.007518164032199183
Sweden,375.100442993121,13,0.007472089045136793
China,355.0499644713276,14,0.00707267879726569
Norway,257.67880470280863,15,0.005133022393735509
Unknown,219.613791110438,16,0.004374758370379631
Italy,159.5773615333417,17,0.0031788185731014534
Peru,101.97965416682369,18,0.0020314586958265373
Chile,68.55923127932148,19,0.001365716011683336
Taiwan,23.44358495598827,20,4.670017260725714e-4
