manager_true_ultimate_parent_country_of_headquarters,amount_usd_m,rank,pct
Brazil,3092.850811760545,1,0.46609408332614455
United States of America,1987.9343160108642,2,0.29958264369248416
Spain,638.3199034822255,3,0.0961951120148033
Switzerland,352.69385642930376,4,0.05315113133879361
Unknown,203.2103397904417,5,0.030623894526973814
France,120.96529838621784,6,0.0182295278036718
Germany,120.96529838621784,6,0.0182295278036718
Gibraltar,36.318360232764974,7,0.005473194101775471
Peru,32.312724283512644,8,0.00486954286557431
China,22.48017203470371,9,0.0033877725811045276
Argentina,11.79304260276217,10,0.0017772171100718993
Australia,3.9587679648241005,11,5.965882087326661e-4
Bahamas,3.9587679648241005,11,5.965882087326661e-4
Cayman Islands,3.9587679648241005,11,5.965882087326661e-4
Hong Kong,3.9587679648241005,11,5.965882087326661e-4
