manager_true_ultimate_parent_country_of_headquarters,amount_usd_m,rank,pct
United States of America,6940.30209870005,1,0.19577694506211743
Japan,4761.5523946540725,2,0.1343172340802268
United Kingdom,4563.902371874687,3,0.12874178259397898
Brazil,4227.934486070819,4,0.11926456310320502
France,4117.229415621602,5,0.11614171626063118
Canada,3937.4386452253375,6,0.11107005118352477
Korea; Republic (S. Korea),1804.7228835256346,7,0.05090889817123715
Spain,1792.9618922759214,8,0.05057713582069013
Germany,1465.071366129818,9,0.041327768197958234
China,779.8963656695807,10,0.02199986769515945
Italy,520.100626318555,11,0.014671365928669394
Netherlands,237.68344459523811,12,0.00670474253324111
Australia,206.6868501822165,13,0.005830368698325838
Switzerland,70.16375730305106,14,0.001979228838099723
Bahrain,24.40139651378236,15,6.883318329345505e-4
