manager_true_ultimate_parent_country_of_headquarters,amount_usd_m,rank,pct
Japan,278748.03083712386,1,0.2533526015681422
United States of America,224924.20383888084,2,0.20443241169126228
United Kingdom,87395.03762367141,3,0.07943288452875401
France,79463.98691445931,4,0.0722243947528322
China,64654.195271552344,5,0.058763853954949354
Netherlands,48764.32645825676,6,0.04432163676570141
Germany,44394.94711824593,7,0.04035033113995273
Canada,39306.07347932681,8,0.03572508097549493
Singapore,36435.77594699406,9,0.03311628282575649
Australia,31316.014932163274,10,0.02846295928973321
Switzerland,27844.57195436226,11,0.02530778324425561
Unknown,23364.396329266605,12,0.02123577546471583
Spain,23160.21956392034,13,0.02105020028944053
Russia,15100.27871293138,14,0.013724562949686296
Brazil,13634.881241086137,15,0.012392670987226823
Italy,12552.434240085291,16,0.011408840669431895
Taiwan,5257.536236859117,17,0.004778546702004682
United Arab Emirates,5021.838078692624,18,0.004564321900570326
Hong Kong,4975.65816466662,19,0.004522349222508548
Austria,4006.410177795513,20,0.0036414048861449153
Sweden,3971.137163197707,21,0.0036093454309205414
South Africa,3881.416857710781,22,0.003527799122807308
Bahrain,3501.898093066826,23,0.0031828565376428
Korea; Republic (S. Korea),3240.598282660234,24,0.002945362530754355
Belgium,3075.7775115817635,25,0.0027955578091934793
Egypt,1249.3471193420414,26,0.0011355249470153938
Jordan,1179.2057005592858,27,0.0010717737848173182
Thailand,1128.101538075878,28,0.0010253254835423298
Luxembourg,1115.2957682768151,29,0.001013686387531743
Kuwait,1077.1767296787948,30,9.79040196241775e-4
Saudi Arabia,898.3085198281975,31,8.164678323495818e-4
Israel,849.4978602792885,32,7.721040836843983e-4
India,731.6242506455577,33,6.649693872804513e-4
Nigeria,673.90185615573,34,6.125058101609217e-4
Indonesia,654.8893528846751,35,5.952254471334995e-4
Chile,586.149029545111,36,5.327477331262929e-4
Portugal,365.8820970153,37,3.325482905391279e-4
Norway,364.7290776748934,38,3.3150031739767426e-4
Qatar,241.51697022765123,39,2.195134887456281e-4
Oman,193.44632322962445,40,1.7582233354916275e-4
Malaysia,180.70885848003468,41,1.642453196344826e-4
Greece,131.6291822668075,42,1.1963706315496404e-4
Philippines,130.29138049949606,43,1.1842114224921651e-4
Togo,120.94682632115303,44,1.099279266936921e-4
Barbados,108.30439160338956,45,9.843728506913359e-5
Turkey,105.0163987949368,46,9.544884590614774e-5
Peru,45.04492247779881,47,4.094109028470211e-5
Poland,32.27424045502382,48,2.933388536722563e-5
Jamaica,26.36195999388217,49,2.3960245124701476e-5
Morocco,21.328468222160925,50,1.9385331244565192e-5
Pakistan,18.540953984986142,51,1.685177439117482e-5
Mauritius,9.270476992493071,52,8.42588719558741e-6
Bangladesh,7.056307893196265,53,6.413440686336854e-6
