manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Australia,Low,224.24777762421536,3144.43832233206,8,0.029775125649570862
Australia,Medium,2920.1905447078448,3144.43832233206,8,0.029775125649570862
Austria,Medium,144.21881876839842,144.21881876839842,20,0.0013656281375800765
Belgium,Medium,442.8183190106224,442.8183190106224,16,0.004193108509978487
Brazil,Medium,594.348960678462,851.0397595161804,15,0.00805861434533773
Brazil,High,256.6907988377184,851.0397595161804,15,0.00805861434533773
Canada,Low,399.3166659929117,5337.9898030031045,6,0.05054617098759588
Canada,Medium,4925.857128450038,5337.9898030031045,6,0.05054617098759588
Canada,High,12.816008560155163,5337.9898030031045,6,0.05054617098759588
Chile,Medium,23.44358495598827,23.44358495598827,25,2.219905802519429e-4
China,Medium,999.0470705956482,999.0470705956482,13,0.009460116245740051
France,Low,421.1103526852994,13056.763819366257,3,0.123636320209351
France,Medium,12635.653466680958,13056.763819366257,3,0.123636320209351
Germany,Low,287.2505070599922,7794.757794513462,4,0.07380965022951433
Germany,Medium,7507.50728745347,7794.757794513462,4,0.07380965022951433
Italy,Medium,1036.5334132653272,1036.5334132653272,12,0.009815079660097871
Japan,Low,676.4549827992059,7718.3969073632825,5,0.07308657832396553
Japan,Medium,7041.9419245640765,7718.3969073632825,5,0.07308657832396553
Jordan,Low,28.246228749658787,138.68591288522722,21,0.001313236279005954
Jordan,Medium,110.43968413556844,138.68591288522722,21,0.001313236279005954
Netherlands,Low,599.3644429535126,5118.091086365145,7,0.048463919327077165
Netherlands,Medium,4478.223552273186,5118.091086365145,7,0.048463919327077165
Netherlands,High,40.50309113844632,5118.091086365145,7,0.048463919327077165
Norway,Low,257.67880470280863,257.67880470280863,18,0.0024399965910500477
Peru,High,30.819217256117355,30.819217256117355,24,2.91831472636979e-4
Poland,Medium,32.27424045502382,32.27424045502382,23,3.056092905266776e-4
Singapore,Low,209.26363706285855,2033.5030118428717,10,0.01925552403314346
Singapore,Medium,1824.2393747800131,2033.5030118428717,10,0.01925552403314346
South Africa,Medium,76.25024313501044,76.25024313501044,22,7.220242019158003e-4
Spain,Low,69.75454568761951,2793.3416981143046,9,0.02645054267811327
Spain,Medium,2662.8325157190156,2793.3416981143046,9,0.02645054267811327
Spain,High,60.75463670766949,2793.3416981143046,9,0.02645054267811327
Sweden,Medium,852.8925439594879,852.8925439594879,14,0.008076158620004924
Switzerland,Medium,1456.0105346420237,1456.0105346420237,11,0.01378716710967719
Taiwan,Medium,23.44358495598827,23.44358495598827,25,2.219905802519429e-4
United Arab Emirates,Medium,311.25443494448865,311.25443494448865,17,0.0029473117165755127
United Kingdom,Low,468.6771269886234,15414.375975353189,2,0.14596087899586405
United Kingdom,Medium,14945.698848364565,15414.375975353189,2,0.14596087899586405
United States of America,Low,1618.0306263722052,36272.90033518424,1,0.3434731594141976
United States of America,Medium,34654.86970881203,36272.90033518424,1,0.3434731594141976
Unknown,Low,128.83940235140432,245.24580823074834,19,0.0023222668109722775
Unknown,Medium,90.77438875903368,245.24580823074834,19,0.0023222668109722775
Unknown,High,25.632017120310326,245.24580823074834,19,0.0023222668109722775
