manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Argentina,High,49.73202473723034,49.73202473723034,19,5.261385295234313e-4
Australia,Medium,75.74888058491798,75.74888058491798,17,8.013831098688201e-4
Bahamas,Medium,3.9587679648241005,3.9587679648241005,23,4.188167215676924e-5
Brazil,Low,6671.34650333109,21746.008122843872,2,0.2300612693171209
Brazil,Medium,3761.44442124632,21746.008122843872,2,0.2300612693171209
Brazil,High,11313.217198266462,21746.008122843872,2,0.2300612693171209
Canada,Low,280.8813873008621,10225.97060377196,3,0.1081853627485759
Canada,Medium,9802.36314104427,10225.97060377196,3,0.1081853627485759
Canada,High,142.72607542682897,10225.97060377196,3,0.1081853627485759
Cayman Islands,Medium,3.9587679648241005,3.9587679648241005,23,4.188167215676924e-5
China,Low,159.623888078802,355.9552092656502,12,0.0037658179285636802
China,Medium,80.06215119228818,355.9552092656502,12,0.0037658179285636802
China,High,116.26916999456002,355.9552092656502,12,0.0037658179285636802
France,Low,399.70535362447026,2331.0596465721155,9,0.0246613786822299
France,Medium,1661.8738093808595,2331.0596465721155,9,0.0246613786822299
France,High,269.4804835667856,2331.0596465721155,9,0.0246613786822299
Germany,Medium,485.1090266793921,1490.401117800415,11,0.015767655884972514
Germany,High,1005.2920911210228,1490.401117800415,11,0.015767655884972514
Gibraltar,Low,164.52602034752186,164.52602034752186,13,0.0017405983140916486
Hong Kong,Medium,3.9587679648241005,3.9587679648241005,23,4.188167215676924e-5
Ireland,Medium,117.2522902995876,117.2522902995876,15,0.0012404672427361778
Italy,High,39.72489227709646,39.72489227709646,20,4.202683586397702e-4
Japan,Low,567.1173705577604,3480.40903300328,8,0.03682088755565102
Japan,Medium,2320.087350220704,3480.40903300328,8,0.03682088755565102
Japan,High,593.2043122248156,3480.40903300328,8,0.03682088755565102
Malaysia,High,23.834935366257874,23.834935366257874,22,2.521610151838621e-4
Netherlands,Low,1272.0120671685722,8217.697894120582,5,0.08693889920881577
Netherlands,Medium,6248.333820474257,8217.697894120582,5,0.08693889920881577
Netherlands,High,697.3520064777526,8217.697894120582,5,0.08693889920881577
Peru,High,32.312724283512644,32.312724283512644,21,3.418515399131973e-4
Spain,Low,1979.1700041231761,6964.366644965965,6,0.07367931720063912
Spain,Medium,2035.1831329839192,6964.366644965965,6,0.07367931720063912
Spain,High,2950.0135078588696,6964.366644965965,6,0.07367931720063912
Switzerland,Low,341.9341241617598,1524.696770703312,10,0.016130485761349296
Switzerland,Medium,797.2318220120299,1524.696770703312,10,0.016130485761349296
Switzerland,High,385.5308245295223,1524.696770703312,10,0.016130485761349296
Taiwan,High,140.3436262958765,140.3436262958765,14,0.001484761369709934
United Arab Emirates,High,102.62263838249918,102.62263838249918,16,0.0010856932598194062
United Kingdom,Low,2073.755112850866,9102.321742019627,4,0.0962977518389708
United Kingdom,Medium,5844.3284825551655,9102.321742019627,4,0.0962977518389708
United Kingdom,High,1184.2381466135946,9102.321742019627,4,0.0962977518389708
United States of America,Low,2503.641440126029,24666.771924767923,1,0.26096140619972735
United States of America,Medium,17377.357375830587,24666.771924767923,1,0.26096140619972735
United States of America,High,4785.773108811308,24666.771924767923,1,0.26096140619972735
Unknown,Low,393.4455716395145,3589.138506880964,7,0.0379711879064637
Unknown,Medium,1632.1784786015478,3589.138506880964,7,0.0379711879064637
Unknown,High,1563.5144566399015,3589.138506880964,7,0.0379711879064637
Venezuela,High,69.91011066710378,69.91011066710378,18,7.396120109639197e-4
