manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Australia,Low,21065.831178744393,31316.01493216327,10,0.02846295928973313
Australia,Medium,9869.207306079179,31316.01493216327,10,0.02846295928973313
Australia,High,380.97644733970185,31316.01493216327,10,0.02846295928973313
Austria,Low,3413.573624271142,4006.410177795514,20,0.003641404886144906
Austria,Medium,469.91151702560984,4006.410177795514,20,0.003641404886144906
Austria,High,122.92503649876181,4006.410177795514,20,0.003641404886144906
Bahrain,Low,3373.216446280495,3501.8980930668267,23,0.0031828565376427922
Bahrain,High,128.68164678633175,3501.8980930668267,23,0.0031828565376427922
Bangladesh,Low,7.056307893196265,7.056307893196265,53,6.413440686336836e-6
Barbados,Low,108.30439160338956,108.30439160338956,45,9.843728506913332e-5
Belgium,Low,1981.639512591536,3075.7775115817653,25,0.0027955578091934732
Belgium,Medium,896.6489663510821,3075.7775115817653,25,0.0027955578091934732
Belgium,High,197.48903263914724,3075.7775115817653,25,0.0027955578091934732
Brazil,Low,2430.7621689807697,13634.881241086136,15,0.012392670987226786
Brazil,Medium,4503.462539777441,13634.881241086136,15,0.012392670987226786
Brazil,High,6700.656532327924,13634.881241086136,15,0.012392670987226786
Canada,Low,26201.605570600834,39306.07347932688,8,0.035725080975494886
Canada,Medium,11641.53025613748,39306.07347932688,8,0.035725080975494886
Canada,High,1462.9376525885646,39306.07347932688,8,0.035725080975494886
Chile,Low,347.2683041142643,586.1490295451109,36,5.327477331262913e-4
Chile,High,238.8807254308466,586.1490295451109,36,5.327477331262913e-4
China,Low,47444.78331343726,64654.195271552424,5,0.05876385395494926
China,Medium,16012.207730323542,64654.195271552424,5,0.05876385395494926
China,High,1197.204227791618,64654.195271552424,5,0.05876385395494926
Egypt,Low,1182.910856916853,1249.3471193420414,26,0.0011355249470153908
Egypt,High,66.43626242518853,1249.3471193420414,26,0.0011355249470153908
France,Low,47686.694340096816,79463.98691445924,4,0.07222439475283193
France,Medium,28580.50906483643,79463.98691445924,4,0.07222439475283193
France,High,3196.78350952599,79463.98691445924,4,0.07222439475283193
Germany,Low,25592.781556019665,44394.947118246,7,0.040350331139952685
Germany,Medium,16904.79321852529,44394.947118246,7,0.040350331139952685
Germany,High,1897.3723437010367,44394.947118246,7,0.040350331139952685
Greece,Low,131.6291822668075,131.6291822668075,42,1.1963706315496371e-4
Hong Kong,Low,4316.2981176622025,4975.658164666618,19,0.004522349222508534
Hong Kong,Medium,659.3600470044157,4975.658164666618,19,0.004522349222508534
India,Low,603.3883581969397,731.6242506455578,33,6.649693872804495e-4
India,Medium,94.45909404453585,731.6242506455578,33,6.649693872804495e-4
India,High,33.776798404082264,731.6242506455578,33,6.649693872804495e-4
Indonesia,Low,550.2398067953217,654.8893528846751,35,5.952254471334979e-4
Indonesia,Medium,104.64954608935342,654.8893528846751,35,5.952254471334979e-4
Israel,Low,782.9597821270272,849.4978602792885,32,7.721040836843961e-4
Israel,High,66.53807815226122,849.4978602792885,32,7.721040836843961e-4
Italy,Low,7308.783051182798,12552.434240085298,16,0.01140884066943187
Italy,Medium,4958.759836980179,12552.434240085298,16,0.01140884066943187
Italy,High,284.89135192232163,12552.434240085298,16,0.01140884066943187
Jamaica,Low,26.36195999388217,26.36195999388217,49,2.396024512470141e-5
Japan,Low,240930.326048455,278748.0308371241,1,0.2533526015681417
Japan,Medium,34624.108446227176,278748.0308371241,1,0.2533526015681417
Japan,High,3193.5963424419056,278748.0308371241,1,0.2533526015681417
Jordan,Low,1068.7660164237172,1179.2057005592858,27,0.0010717737848173151
Jordan,Medium,110.43968413556844,1179.2057005592858,27,0.0010717737848173151
Korea; Republic (S. Korea),Low,513.4410272463141,3240.598282660233,24,0.0029453625307543463
Korea; Republic (S. Korea),Medium,2727.157255413919,3240.598282660233,24,0.0029453625307543463
Kuwait,Low,957.4301275612258,1077.1767296787948,30,9.790401962417724e-4
Kuwait,High,119.74660211756901,1077.1767296787948,30,9.790401962417724e-4
Luxembourg,Low,1115.2957682768151,1115.2957682768151,29,0.0010136863875317402
Malaysia,Medium,180.70885848003468,180.70885848003468,41,1.6424531963448214e-4
Mauritius,Low,9.270476992493071,9.270476992493071,52,8.425887195587386e-6
Morocco,Low,21.328468222160925,21.328468222160925,50,1.938533124456514e-5
Netherlands,Low,23020.119818373973,48764.32645825678,6,0.044321636765701306
Netherlands,Medium,21286.891049127444,48764.32645825678,6,0.044321636765701306
Netherlands,High,4457.315590755367,48764.32645825678,6,0.044321636765701306
Nigeria,Low,673.90185615573,673.90185615573,34,6.125058101609201e-4
Norway,Low,364.7290776748934,364.7290776748934,38,3.315003173976734e-4
Oman,Low,193.44632322962445,193.44632322962445,40,1.7582233354916226e-4
Pakistan,Low,18.540953984986142,18.540953984986142,51,1.6851774391174773e-5
Peru,Medium,45.04492247779881,45.04492247779881,47,4.0941090284701996e-5
Philippines,Medium,130.29138049949606,130.29138049949606,43,1.1842114224921619e-4
Poland,Medium,32.27424045502382,32.27424045502382,48,2.933388536722555e-5
Portugal,Low,81.21232459709296,365.8820970153,37,3.32548290539127e-4
Portugal,Medium,45.7664204898133,365.8820970153,37,3.32548290539127e-4
Portugal,High,238.90335192839376,365.8820970153,37,3.32548290539127e-4
Qatar,Low,230.00590388537987,241.51697022765123,39,2.195134887456275e-4
Qatar,Medium,11.511066342271366,241.51697022765123,39,2.195134887456275e-4
Russia,Low,15100.27871293138,15100.27871293138,14,0.013724562949686258
Saudi Arabia,Low,898.3085198281975,898.3085198281975,31,8.164678323495795e-4
Singapore,Low,28694.0563049166,36435.77594699405,9,0.03311628282575639
Singapore,Medium,7444.256246266906,36435.77594699405,9,0.03311628282575639
Singapore,High,297.4633958105442,36435.77594699405,9,0.03311628282575639
South Africa,Low,3735.876141896705,3881.416857710781,22,0.0035277991228072985
South Africa,Medium,76.25024313501044,3881.416857710781,22,0.0035277991228072985
South Africa,High,69.29047267906586,3881.416857710781,22,0.0035277991228072985
Spain,Low,15107.121691951927,23160.21956392035,13,0.02105020028944048
Spain,Medium,6812.686233259188,23160.21956392035,13,0.02105020028944048
Spain,High,1240.4116387092363,23160.21956392035,13,0.02105020028944048
Sweden,Low,2641.7229846722053,3971.137163197707,21,0.0036093454309205314
Sweden,Medium,1329.4141785255022,3971.137163197707,21,0.0036093454309205314
Switzerland,Low,22701.066663312096,27844.57195436227,11,0.025307783244255547
Switzerland,Medium,3914.1846715509546,27844.57195436227,11,0.025307783244255547
Switzerland,High,1229.320619499218,27844.57195436227,11,0.025307783244255547
Taiwan,Low,4412.191705603307,5257.5362368591195,17,0.004778546702004671
Taiwan,Medium,779.2768421073079,5257.5362368591195,17,0.004778546702004671
Taiwan,High,66.0676891485048,5257.5362368591195,17,0.004778546702004671
Thailand,Low,1128.101538075878,1128.101538075878,28,0.001025325483542327
Togo,Low,120.94682632115303,120.94682632115303,44,1.099279266936918e-4
Turkey,Medium,105.0163987949368,105.0163987949368,46,9.544884590614748e-5
United Arab Emirates,Low,3697.7722734535437,5021.838078692625,18,0.004564321900570314
