manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Argentina,Low,574.9794454146474,574.9794454146474,28,0.0010229840596677263
Australia,Low,3563.7984431050527,11295.989486531736,12,0.020097443960910354
Australia,Medium,7351.214596086981,11295.989486531736,12,0.020097443960910354
Australia,High,380.97644733970185,11295.989486531736,12,0.020097443960910354
Austria,Low,768.5705871436023,1212.9221022042739,23,0.002157990143941295
Austria,Medium,321.4264785619098,1212.9221022042739,23,0.002157990143941295
Austria,High,122.92503649876181,1212.9221022042739,23,0.002157990143941295
Bahrain,Low,805.9386841208792,1104.0881716043386,24,0.0019643564809597816
Bahrain,Medium,169.4678406971278,1104.0881716043386,24,0.0019643564809597816
Bahrain,High,128.68164678633175,1104.0881716043386,24,0.0019643564809597816
Bangladesh,Low,7.056307893196265,7.056307893196265,57,1.2554345294276926e-5
Belgium,Low,556.5402281048447,1542.1832071403255,20,0.0027438004098635114
Belgium,Medium,788.1539463963337,1542.1832071403255,20,0.0027438004098635114
Belgium,High,197.48903263914724,1542.1832071403255,20,0.0027438004098635114
Brazil,Low,2320.419931963856,16835.142069819165,10,0.02995251763695101
Brazil,Medium,5165.147988136361,16835.142069819165,10,0.02995251763695101
Brazil,High,9349.5741497189465,16835.142069819165,10,0.02995251763695101
Bulgaria,Low,44.88006728720514,44.88006728720514,49,7.984910382060111e-5
Cameroon,Low,68.69227065814174,68.69227065814174,44,1.2221497388482111e-4
Canada,Low,5785.037811900033,11369.41127747542,11,0.020228073537961546
Canada,Medium,4608.662602544728,11369.41127747542,11,0.020228073537961546
Canada,High,975.7108630306582,11369.41127747542,11,0.020228073537961546
Chile,High,20.39090564509877,20.39090564509877,54,3.627881240534047e-5
China,Low,45276.046555367604,59759.957255149355,4,0.1063229027854308
China,Medium,13434.638599884192,59759.957255149355,4,0.1063229027854308
China,High,1049.2720998975567,59759.957255149355,4,0.1063229027854308
Colombia,Low,46.512984876816716,647.7118814108779,27,0.0011523871596190475
Colombia,Medium,601.1988965340612,647.7118814108779,27,0.0011523871596190475
Curacao,Low,55.44646935500873,55.44646935500873,47,9.864849042407884e-5
Denmark,Low,77.02774774075868,77.02774774075868,42,1.3704517390891673e-4
Egypt,High,66.43626242518853,66.43626242518853,45,1.1820116003600438e-4
France,Low,54626.7361321265,82394.73595208557,2,0.14659393853415065
France,Medium,22633.433802347696,82394.73595208557,2,0.14659393853415065
France,High,5134.566017611372,82394.73595208557,2,0.14659393853415065
Germany,Low,17122.359633433432,26963.40808132281,7,0.047972387328763653
Germany,Medium,8178.366523841784,26963.40808132281,7,0.047972387328763653
Germany,High,1662.6819240475936,26963.40808132281,7,0.047972387328763653
