manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Argentina,High,4.973202473723034,4.973202473723034,18,6.6955745579529e-4
Australia,Medium,7.574888058491798,7.574888058491798,16,0.0010198303413496512
Bahamas,Medium,0.39587679648241003,0.39587679648241003,22,5.329810359856948e-5
Brazil,Low,551.3892367726897,1892.2846265109588,2,0.25476406538073704
Brazil,Medium,373.4890623758754,1892.2846265109588,2,0.25476406538073704
Brazil,High,967.4063273623937,1892.2846265109588,2,0.25476406538073704
Canada,Medium,476.2858749889402,490.5584825316231,6,0.06604538850331235
Canada,High,14.272607542682897,490.5584825316231,6,0.06604538850331235
Cayman Islands,Medium,0.39587679648241003,0.39587679648241003,22,5.329810359856948e-5
China,Low,15.962388807880199,35.59552092656502,12,0.004792333824176046
China,Medium,8.00621511922882,35.59552092656502,12,0.004792333824176046
China,High,11.626916999456002,35.59552092656502,12,0.004792333824176046
France,Low,23.51793332769484,216.65336262245938,8,0.02916870467942002
France,Medium,166.187380938086,216.65336262245938,8,0.02916870467942002
France,High,26.948048356678566,216.65336262245938,8,0.02916870467942002
Germany,Medium,48.51090266793921,149.04011178004149,9,0.020065725974793225
Germany,High,100.52920911210228,149.04011178004149,9,0.020065725974793225
Hong Kong,Medium,0.39587679648241003,0.39587679648241003,22,5.329810359856948e-5
Ireland,Medium,11.72522902995876,11.72522902995876,14,0.0015786034370000362
Italy,High,3.9724892277096457,3.9724892277096457,19,5.348283715640241e-4
Japan,Low,23.51793332769484,103.35137382636233,11,0.013914511479827784
Japan,Medium,20.51300927618595,103.35137382636233,11,0.013914511479827784
Japan,High,59.320431222481545,103.35137382636233,11,0.013914511479827784
Malaysia,High,2.3834935366257874,2.3834935366257874,21,3.208970229384145e-4
Netherlands,Low,101.69967356299134,686.1381188169336,3,0.09237687296799525
Netherlands,Medium,514.703244606167,686.1381188169336,3,0.09237687296799525
Netherlands,High,69.73520064777526,686.1381188169336,3,0.09237687296799525
Peru,High,3.2312724283512644,3.2312724283512644,20,4.3503608741847326e-4
Spain,Low,148.27059464948422,573.1327903020647,5,0.07716262004917464
Spain,Medium,162.64236705127374,573.1327903020647,5,0.07716262004917464
Spain,High,262.2198286013067,573.1327903020647,5,0.07716262004917464
Switzerland,Low,17.740810381423795,118.37856140488,10,0.015937667692749596
Switzerland,Medium,82.82671012032836,118.37856140488,10,0.015937667692749596
Switzerland,High,17.811040903127854,118.37856140488,10,0.015937667692749596
Taiwan,High,14.034362629587651,14.034362629587651,13,0.0018894891542472374
United Arab Emirates,High,10.262263838249918,10.262263838249918,15,0.0013816399598737292
United Kingdom,Low,153.20463996269638,596.8483824636014,4,0.08035552273798674
United Kingdom,Medium,340.5824599254507,596.8483824636014,4,0.08035552273798674
United Kingdom,High,103.0612825754544,596.8483824636014,4,0.08035552273798674
United States of America,Low,178.24690509360573,2185.4239277096685,1,0.294230305844758
United States of America,Medium,1639.8840795269716,2185.4239277096685,1,0.294230305844758
United States of America,High,367.2929430890911,2185.4239277096685,1,0.294230305844758
Unknown,Low,6.150753435870252,313.855187105838,7,0.04225528352748159
Unknown,Medium,163.7632779755436,313.855187105838,7,0.04225528352748159
Unknown,High,143.9411556944242,313.855187105838,7,0.04225528352748159
Venezuela,High,6.991011066710378,6.991011066710378,17,9.412211966023412e-4
