manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Australia,Low,124.16155476491538,1080.2165229220302,12,0.020790734485117163
Australia,Medium,956.0549681571148,1080.2165229220302,12,0.020790734485117163
Austria,Medium,195.82901879433757,195.82901879433757,15,0.0037690861487849744
Belgium,Medium,95.89995182573739,95.89995182573739,19,0.001845769244624253
Brazil,Low,6.842120622808236,129.98658810115694,17,0.0025018286449896405
Brazil,Medium,82.64137633990237,129.98658810115694,17,0.0025018286449896405
Brazil,High,40.50309113844632,129.98658810115694,17,0.0025018286449896405
Canada,Low,395.0166637853494,2368.4375772470426,9,0.045584895035596186
Canada,Medium,1973.4209134616933,2368.4375772470426,9,0.045584895035596186
China,Low,47.69912221571537,287.2635302571256,14,0.005528909860291413
China,Medium,239.5644080414102,287.2635302571256,14,0.005528909860291413
Denmark,Medium,74.71612221594768,74.71612221594768,21,0.0014380478596525375
Egypt,Low,21.294178223545497,21.294178223545497,25,4.0984524503191093e-4
France,Low,893.7676121219592,3739.4800945199104,6,0.07197310549114422
France,Medium,2845.712482397951,3739.4800945199104,6,0.07197310549114422
Gabon,Low,7.389320512506802,7.389320512506802,31,1.4222093213810962e-4
Germany,Low,494.9370808705166,2540.79112983419,8,0.04890215307911596
Germany,Medium,2045.8540489636737,2540.79112983419,8,0.04890215307911596
Hong Kong,Medium,2.0288762369450963,2.0288762369450963,35,3.904941856599783e-5
India,Low,29.8167206398635,90.65507221884207,20,0.00174482198358959
India,Medium,60.83835157897856,90.65507221884207,20,0.00174482198358959
Indonesia,Medium,2.7459269604369054,2.7459269604369054,34,5.285036577253804e-5
Israel,Low,17.403692486729263,18.336409063552132,27,3.5291759028048596e-4
Israel,Medium,0.9327165768228713,18.336409063552132,27,3.5291759028048596e-4
Italy,Low,70.75059651942158,384.4822518840482,13,0.0074000612317408196
Italy,Medium,313.7316553646266,384.4822518840482,13,0.0074000612317408196
Ivory Coast,Low,10.879429449785434,10.879429449785434,29,2.09394435504649e-4
Japan,Low,843.0242670156127,2988.7630106980523,7,0.057524187860295985
Japan,Medium,2145.7387436824397,2988.7630106980523,7,0.057524187860295985
Kuwait,Medium,0.9327165768228713,0.9327165768228713,36,1.795182936670503e-5
Malaysia,Medium,19.19663550335523,19.19663550335523,26,3.6947421492703814e-4
Mauritius,Medium,3.335588345956408,3.335588345956408,33,6.419947314343795e-5
Netherlands,Low,348.835654807,2078.6137802575668,10,0.04000670817878246
Netherlands,Medium,1721.6775072228772,2078.6137802575668,10,0.04000670817878246
Netherlands,High,8.100618227689264,2078.6137802575668,10,0.04000670817878246
Nigeria,Medium,4.056980195764805,4.056980195764805,32,7.80839732328487e-5
Norway,Low,51.53576094056173,51.53576094056173,23,9.91899586302689e-4
Philippines,Medium,52.52355292135937,52.52355292135937,22,0.0010109114421329797
Singapore,Low,3687.6894670266665,4440.76369886994,5,0.08547058577164147
Singapore,Medium,753.074231843273,4440.76369886994,5,0.08547058577164147
South Africa,Medium,16.94313640053131,16.94313640053131,28,3.261015201801317e-4
Spain,Low,398.6602313760996,1379.1127620776292,11,0.026543537015923
Spain,Medium,968.3016033599957,1379.1127620776292,11,0.026543537015923
Spain,High,12.150927341533897,1379.1127620776292,11,0.026543537015923
Sweden,Medium,125.81520274735591,125.81520274735591,18,0.002421542736113348
Switzerland,Low,683.8790016314723,5240.449095829428,4,0.10086198777948718
Switzerland,Medium,4556.570094197956,5240.449095829428,4,0.10086198777948718
Taiwan,Low,2.2807068742694083,36.465356781830174,24,7.018422091020173e-4
Taiwan,Medium,34.18464990756077,36.465356781830174,24,7.018422091020173e-4
Togo,Low,6.361283214518801,9.485546833460734,30,1.825666257419955e-4
Togo,Medium,3.1242636189419337,9.485546833460734,30,1.825666257419955e-4
United Arab Emirates,Low,21.11487439649887,142.82022107918058,16,0.00274883528677269
United Arab Emirates,Medium,121.70534668268172,142.82022107918058,16,0.00274883528677269
United Kingdom,Low,2585.461134444297,7556.623906282406,2,0.14544099067696484
United Kingdom,Medium,4971.162771838109,7556.623906282406,2,0.14544099067696484
United States of America,Low,2729.50308490437,10306.40024471324,1,0.1983654447402357
United States of America,Medium,7576.89715980887,10306.40024471324,1,0.1983654447402357
Unknown,Low,1684.9981325101853,6452.361949850996,3,0.12418745802771597
Unknown,Medium,4767.363817340811,6452.361949850996,3,0.12418745802771597
