manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Australia,Low,229.05356007458428,1097.5586819310338,8,0.05668591350543347
Australia,Medium,824.8319897869083,1097.5586819310338,8,0.05668591350543347
Australia,High,43.67313206954134,1097.5586819310338,8,0.05668591350543347
Austria,Low,56.67575847335966,70.8265827125583,21,0.0036579998934232727
Austria,High,14.150824239198647,70.8265827125583,21,0.0036579998934232727
Bahrain,Low,53.007052062868794,67.81896087560919,22,0.003502664425613577
Bahrain,High,14.811908812740404,67.81896087560919,22,0.003502664425613577
Belgium,Low,32.468668448564024,60.949266657586456,23,0.0031478634489892745
Belgium,Medium,5.782721385422325,60.949266657586456,23,0.0031478634489892745
Belgium,High,22.697876823600108,60.949266657586456,23,0.0031478634489892745
Brazil,Low,63.17490724801485,332.03843714521764,12,0.01714887999917968
Brazil,Medium,265.08743625922153,332.03843714521764,12,0.01714887999917968
Brazil,High,3.776093637981253,332.03843714521764,12,0.01714887999917968
Bulgaria,Low,5.18142467130134,5.18142467130134,37,2.676064574839403e-4
Cameroon,Low,7.632474517571304,7.632474517571304,33,3.9419649942932003e-4
Canada,Low,40.33845644099243,207.15524668150982,14,0.010699003696936424
Canada,Medium,100.33277845832622,207.15524668150982,14,0.010699003696936424
Canada,High,66.48401178219117,207.15524668150982,14,0.010699003696936424
Chile,High,2.265656182788752,2.265656182788752,41,1.1701496468931748e-4
China,Low,155.42029615146333,389.70231793554206,11,0.02012706222549762
China,Medium,121.95818632484801,389.70231793554206,11,0.02012706222549762
China,High,112.32383545923071,389.70231793554206,11,0.02012706222549762
Egypt,Low,13.308861389715936,20.967239782064972,31,0.0010829007690438025
Egypt,High,7.658378392349037,20.967239782064972,31,0.0010829007690438025
France,Low,773.1274353167403,1738.3987054773625,4,0.08978355351649371
France,Medium,677.6814386243519,1738.3987054773625,4,0.08978355351649371
France,High,287.5898315362701,1738.3987054773625,4,0.08978355351649371
Gabon,Low,4.618325320316751,4.618325320316751,38,2.385239112562355e-4
Germany,Low,260.315627881434,567.57607383208,10,0.029313756757308827
Germany,Medium,197.66545611821803,567.57607383208,10,0.029313756757308827
Germany,High,109.59498983242804,567.57607383208,10,0.029313756757308827
Hong Kong,Low,11.039582336593984,21.0303568121197,30,0.0010861605915620002
Hong Kong,Medium,9.990774475525717,21.0303568121197,30,0.0010861605915620002
India,Low,37.42022678925677,80.32571004248092,18,0.004148603921313353
India,Medium,42.905483253224155,80.32571004248092,18,0.004148603921313353
Indonesia,Medium,7.508408330185687,7.508408330185687,34,3.877888191085589e-4
Ireland,Low,2.413094182318882,2.413094182318882,40,1.2462973538574594e-4
Israel,Low,72.92963169198039,76.10307005854884,19,0.0039305160788732346
