manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Brazil,Medium,3636.2072009747485,4985.878373808173,2,0.3445208170489517
Brazil,High,1349.671172833424,4985.878373808173,2,0.3445208170489517
Germany,High,59.91055812390648,59.91055812390648,8,0.004139778969165262
Netherlands,Medium,149.68683936318163,149.68683936318163,7,0.010343259167689965
Spain,Medium,309.7747725736721,478.29248462222944,6,0.033049686582018394
Spain,High,168.5177120485573,478.29248462222944,6,0.033049686582018394
Switzerland,Medium,677.6084359311677,677.6084359311677,5,0.04682228375498073
United Kingdom,Medium,1084.4936377961326,1436.1803775142057,3,0.09923909088719836
United Kingdom,High,351.686739718073,1436.1803775142057,3,0.09923909088719836
United States of America,Medium,5552.325513929627,5853.214503754773,1,0.40445315589520514
United States of America,High,300.888989825146,5853.214503754773,1,0.40445315589520514
Unknown,Medium,73.86813874714238,831.1503749246015,4,0.057431927694789615
Unknown,High,757.2822361774591,831.1503749246015,4,0.057431927694789615
