manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Australia,Low,1180.1325254256747,2953.3422869262313,12,0.023730227873036344
Australia,Medium,1392.2333141608544,2953.3422869262313,12,0.023730227873036344
Australia,High,380.97644733970185,2953.3422869262313,12,0.023730227873036344
Austria,Low,730.8759239513101,853.8009604500719,18,0.006860326159750536
Austria,High,122.92503649876181,853.8009604500719,18,0.006860326159750536
Bahrain,Low,651.7333129507708,780.4149597371025,19,0.006270666597660952
Bahrain,High,128.68164678633175,780.4149597371025,19,0.006270666597660952
Belgium,Low,365.44708808921797,613.3276676130673,21,0.00492811326940497
Belgium,Medium,50.39154688470204,613.3276676130673,21,0.00492811326940497
Belgium,High,197.48903263914724,613.3276676130673,21,0.00492811326940497
Brazil,Low,596.9197784146951,3064.7897036284876,10,0.02462571249258523
Brazil,Medium,2385.786926332994,3064.7897036284876,10,0.02462571249258523
Brazil,High,82.08299888079867,3064.7897036284876,10,0.02462571249258523
Bulgaria,Low,44.88006728720514,44.88006728720514,36,3.606132036903259e-4
Cameroon,Low,68.69227065814174,68.69227065814174,33,5.519452462554023e-4
Canada,Low,382.7573341828646,969.7154636378664,15,0.007791704004646056
Canada,Medium,8.624827623900575,969.7154636378664,15,0.007791704004646056
Canada,High,578.3333018311012,969.7154636378664,15,0.007791704004646056
Chile,High,20.39090564509877,20.39090564509877,40,1.6384177331486648e-4
China,Low,1207.030069715562,2990.762134952158,11,0.024030897905277616
China,Medium,803.8885937692572,2990.762134952158,11,0.024030897905277616
China,High,979.8434714673389,2990.762134952158,11,0.024030897905277616
Egypt,High,66.43626242518853,66.43626242518853,34,5.338181264534018e-4
France,Low,8377.6879534279,13853.853247915966,4,0.11131628594083859
France,Medium,2920.192688892271,13853.853247915966,4,0.11131628594083859
France,High,2555.9726055957967,13853.853247915966,4,0.11131628594083859
Germany,Low,2936.719750195065,4448.226993438447,8,0.035741688544725835
Germany,Medium,558.6114900526871,4448.226993438447,8,0.035741688544725835
Germany,High,952.8957531906946,4448.226993438447,8,0.035741688544725835
Greece,Low,51.69946052072153,51.69946052072153,35,4.154073114046778e-4
Hong Kong,Low,98.36855576200054,228.22158235702915,27,0.0018337698880524333
Hong Kong,Medium,129.8530265950286,228.22158235702915,27,0.0018337698880524333
India,Low,262.2509892780601,320.09471674799397,23,0.0025719743366728327
India,Medium,57.84372746993388,320.09471674799397,23,0.0025719743366728327
