manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Australia,Low,1633.3342235442672,15586.55233991888,12,0.033514409649925296
Australia,Medium,13953.218116374614,15586.55233991888,12,0.033514409649925296
Austria,Medium,956.5470953059173,956.5470953059173,18,0.0020567801334374814
Belgium,Low,48.20556886103677,936.9418318189853,19,0.0020146246382730403
Belgium,Medium,888.7362629579485,936.9418318189853,19,0.0020146246382730403
Brazil,Low,34.21060311404118,831.0750194847349,20,0.0017869884272929603
Brazil,Medium,594.348960678462,831.0750194847349,20,0.0017869884272929603
Brazil,High,202.51545569223163,831.0750194847349,20,0.0017869884272929603
Cameroon,Medium,55.34127355413942,55.34127355413942,33,1.1899553358518145e-4
Canada,Low,3033.8885855136064,25612.16388870266,7,0.055071611339513965
Canada,Medium,22578.275303189053,25612.16388870266,7,0.055071611339513965
China,Low,238.49561107857687,3461.534677118592,14,0.0074430373476023085
China,Medium,3223.039066040015,3461.534677118592,14,0.0074430373476023085
Congo,Medium,25.6209599787683,25.6209599787683,37,5.509052480795449e-5
Denmark,Medium,2048.7007695546404,2048.7007695546404,15,0.0044051433147998375
Egypt,Low,106.47089111772749,224.0762657335414,25,4.8181173096156993e-4
Egypt,Medium,117.60537461581389,224.0762657335414,25,4.8181173096156993e-4
Finland,Low,211.13414626962646,211.13414626962646,26,4.5398341562970267e-4
France,Low,6305.350690218739,41207.215461805965,4,0.08860429615231306
France,Medium,34901.86477158723,41207.215461805965,4,0.08860429615231306
Gabon,Low,36.94660256253401,36.94660256253401,35,7.944307031148037e-5
Germany,Low,3600.5592154214382,25038.295647600757,9,0.05383767230681885
Germany,Medium,21437.736432179317,25038.295647600757,9,0.05383767230681885
India,Low,163.5725638300735,561.5214847610079,21,0.0012073908749734865
India,Medium,397.9489209309343,561.5214847610079,21,0.0012073908749734865
Indonesia,Medium,13.931227791388023,13.931227791388023,39,2.995510905456801e-5
Israel,Low,87.01846243364632,210.25200064072516,27,4.5208661450697003e-4
Israel,Medium,123.23353820707884,210.25200064072516,27,4.5208661450697003e-4
Italy,Low,353.7529825971079,5097.592298433119,13,0.01096090994288997
Italy,Medium,4743.839315836011,5097.592298433119,13,0.01096090994288997
Ivory Coast,Low,54.39714724892717,54.39714724892717,34,1.1696546079781362e-4
Japan,Low,5451.360718920318,27467.691880338705,6,0.059061392008926406
Japan,Medium,22016.331161418388,27467.691880338705,6,0.059061392008926406
Jordan,Low,28.246228749658787,138.68591288522722,28,2.982042722305803e-4
Jordan,Medium,110.43968413556844,138.68591288522722,28,2.982042722305803e-4
Korea; Republic (S. Korea),Low,67.4724320903723,383.0242217323286,22,8.235837145399076e-4
Korea; Republic (S. Korea),Medium,315.5517896419563,383.0242217323286,22,8.235837145399076e-4
Malaysia,Medium,95.98317751677614,95.98317751677614,31,2.0638428952373931e-4
Netherlands,Low,2972.037474108552,19193.422956022852,10,0.04126995024326064
Netherlands,Medium,16180.882390775852,19193.422956022852,10,0.04126995024326064
Netherlands,High,40.50309113844632,19193.422956022852,10,0.04126995024326064
Nigeria,Medium,10.957735210595311,10.957735210595311,40,2.356146623540052e-5
Norway,Low,257.67880470280863,257.67880470280863,23,5.540643517935263e-4
Philippines,Medium,224.88429545425606,224.88429545425606,24,4.835491670846303e-4
Poland,Medium,32.27424045502382,32.27424045502382,36,6.939649591267399e-5
Qatar,Medium,20.89684168708204,20.89684168708204,38,4.493266358185203e-5
Singapore,Low,19171.50588461788,25371.291677985322,8,0.054553684746948085
Singapore,Medium,6199.785793367442,25371.291677985322,8,0.054553684746948085
South Africa,Medium,76.25024313501044,76.25024313501044,32,1.6395427472362008e-4
Spain,Low,2966.1573491038735,16270.751412958227,11,0.03498558348720887
Spain,Medium,13243.839427146684,16270.751412958227,11,0.03498558348720887
Spain,High,60.75463670766949,16270.751412958227,11,0.03498558348720887
Sweden,Medium,1421.7241760451573,1421.7241760451573,16,0.0030570100049096484
Switzerland,Low,4426.20824246259,44188.13090355403,3,0.09501389970464379
Switzerland,Medium,39761.92266109144,44188.13090355403,3,0.09501389970464379
Taiwan,Low,54.87041626361502,103.62971353347311,30,2.2282597174297882e-4
Taiwan,Medium,48.75929726985809,103.62971353347311,30,2.2282597174297882e-4
Togo,Low,31.806416072594004,125.77606161439844,29,2.7044534039149365e-4
Togo,Medium,93.96964554180444,125.77606161439844,29,2.7044534039149365e-4
United Arab Emirates,Low,105.57437198249436,1025.1317240489127,17,0.0022042517033685617
United Arab Emirates,Medium,919.5573520664184,1025.1317240489127,17,0.0022042517033685617
United Kingdom,Low,16635.309392444433,74499.04395210158,2,0.16018882322962233
United Kingdom,Medium,57863.73455965714,74499.04395210158,2,0.16018882322962233
United States of America,Low,17761.6853714815,98547.7024458161,1,0.2118985647242381
United States of America,Medium,80786.0170743346,98547.7024458161,1,0.2118985647242381
Unknown,Low,8424.990662550927,33445.40185850849,5,0.07191474255160779
Unknown,Medium,25020.411195957564,33445.40185850849,5,0.07191474255160779
