manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Australia,Medium,33.17966778805719,33.17966778805719,13,0.004603769508940205
Brazil,Low,741.564013897903,895.7972483853937,4,0.12429431435698805
Brazil,Medium,154.2332344874907,895.7972483853937,4,0.12429431435698805
Canada,Low,20.47443098072268,772.627267445604,5,0.1072041431627046
Canada,Medium,752.1528364648814,772.627267445604,5,0.1072041431627046
China,Medium,217.84955433197905,217.84955433197905,10,0.030227220542900543
France,Low,240.42963950176414,1063.4771968963496,1,0.14756036509464085
France,Medium,823.0475573945854,1063.4771968963496,1,0.14756036509464085
Germany,Medium,297.85145048140225,297.85145048140225,9,0.04132770209391494
Italy,Medium,180.06362983379927,180.06362983379927,11,0.024984320337177214
Japan,Low,340.7302782009703,919.3150928841592,3,0.12755747950110638
Japan,Medium,578.5848146831889,919.3150928841592,3,0.12755747950110638
Korea; Republic (S. Korea),Medium,603.8699537426407,603.8699537426407,7,0.08378860506271173
Netherlands,Low,38.317095827991366,118.84172229761906,12,0.016489613488554888
Netherlands,Medium,80.52462646962769,118.84172229761906,12,0.016489613488554888
Spain,Low,268.4098520453381,426.8427657333111,8,0.05922559932025736
Spain,Medium,158.43291368797307,426.8427657333111,8,0.05922559932025736
United Kingdom,Low,163.6697325732872,636.7481882257848,6,0.08835054987747468
United Kingdom,Medium,473.0784556524976,636.7481882257848,6,0.08835054987747468
United States of America,Low,473.1541618525649,1040.601629502065,2,0.14438631765262813
United States of America,Medium,567.4474676495001,1040.601629502065,2,0.14438631765262813
