manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Australia,Medium,509.85948828104154,509.85948828104154,9,0.03229447239457317
Austria,Medium,300.2702713815043,300.2702713815043,14,0.019019102738940943
Belgium,Medium,405.9435390930512,405.9435390930512,11,0.025712441796845825
Brazil,Medium,395.30859143961146,395.30859143961146,12,0.025038824788030985
Canada,Medium,16.2790363276734,16.2790363276734,24,0.0010311132799876751
China,Medium,485.1690024910409,485.1690024910409,10,0.03073057836086195
France,Medium,2155.6593419334713,2155.6593419334713,2,0.1365393460556745
Germany,Medium,1358.8490568980308,1358.8490568980308,5,0.08606942572420297
Hong Kong,Medium,18.259886132505866,18.259886132505866,22,0.0011565801994239107
Indonesia,Medium,24.713342643932148,24.713342643932148,21,0.0015653417856022493
Israel,Medium,8.394449191405842,8.394449191405842,25,5.317039574834236e-4
Italy,Medium,277.6877668885022,277.6877668885022,15,0.017588728126499514
Japan,Medium,547.1628483464581,547.1628483464581,8,0.034657265202291544
Kuwait,Medium,8.394449191405842,8.394449191405842,25,5.317039574834236e-4
Mauritius,Medium,30.020295113607666,30.020295113607666,20,0.0019014838678238868
Netherlands,Medium,3045.3757490585126,3045.3757490585126,1,0.19289393513230357
Nigeria,Medium,16.788898382811684,16.788898382811684,23,0.0010634079149668472
Philippines,Medium,67.92024447457335,67.92024447457335,19,0.0043020646092354585
Singapore,Medium,1453.1891829475378,1453.1891829475378,4,0.09204492420257393
South Africa,Medium,152.48822760478177,152.48822760478177,18,0.00965859608395784
Spain,Medium,212.49875726280226,212.49875726280226,17,0.013459659784779662
Switzerland,Medium,1092.9378886673219,1092.9378886673219,7,0.0692266267193489
Taiwan,Medium,307.6618491680469,307.6618491680469,13,0.019487284875914848
Togo,Medium,8.394449191405842,8.394449191405842,25,5.317039574834236e-4
United Arab Emirates,Medium,217.01117151627992,217.01117151627992,16,0.013745475859387039
United Kingdom,Medium,1543.5743781610704,1543.5743781610704,3,0.09776991757583164
United States of America,Medium,1128.0131369683043,1128.0131369683043,6,0.07144829104849147
