manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Australia,Low,2294.136679907779,10052.398511905709,8,0.05734151324747838
Australia,Medium,7377.2853846582275,10052.398511905709,8,0.05734151324747838
Australia,High,380.97644733970185,10052.398511905709,8,0.05734151324747838
Austria,Low,730.8759239513101,853.8009604500719,18,0.004870304238970743
Austria,High,122.92503649876181,853.8009604500719,18,0.004870304238970743
Bahrain,Low,525.0026652622257,653.6843120485574,21,0.00372878647763589
Bahrain,High,128.68164678633175,653.6843120485574,21,0.00372878647763589
Belgium,Low,365.44708808921797,613.3276676130673,22,0.0034985816107296805
Belgium,Medium,50.39154688470204,613.3276676130673,22,0.0034985816107296805
Belgium,High,197.48903263914724,613.3276676130673,22,0.0034985816107296805
Brazil,Low,431.8049460457245,513.8879449265231,24,0.002931351395074902
Brazil,High,82.08299888079867,513.8879449265231,24,0.002931351395074902
Bulgaria,Low,44.88006728720514,44.88006728720514,39,2.5600765527242496e-4
Cameroon,Low,68.69227065814174,124.03354421228116,34,7.075198133218347e-4
Cameroon,Medium,55.34127355413942,124.03354421228116,34,7.075198133218347e-4
Canada,Low,382.7573341828646,1764.4872929007506,12,0.010065097534786701
Canada,Medium,803.3966568867849,1764.4872929007506,12,0.010065097534786701
Canada,High,578.3333018311012,1764.4872929007506,12,0.010065097534786701
Chile,High,20.39090564509877,20.39090564509877,45,1.1631506498590357e-4
China,Low,1445.5256807941385,3472.9425731949705,11,0.01981057379815694
China,Medium,1047.573420933493,3472.9425731949705,11,0.01981057379815694
China,High,979.8434714673389,3472.9425731949705,11,0.01981057379815694
Congo,Medium,25.6209599787683,25.6209599787683,43,1.461486643506674e-4
Egypt,Low,106.47089111772749,290.51252815872994,27,0.0016571595288669258
Egypt,Medium,117.60537461581389,290.51252815872994,27,0.0016571595288669258
Egypt,High,66.43626242518853,290.51252815872994,27,0.0016571595288669258
France,Low,8272.83959792148,16775.78565435992,4,0.09569347397012151
France,Medium,5946.9734508426445,16775.78565435992,4,0.09569347397012151
France,High,2555.9726055957967,16775.78565435992,4,0.09569347397012151
Gabon,Low,36.94660256253401,36.94660256253401,40,2.1075309517223155e-4
Germany,Low,2716.576016696627,5336.535025161963,10,0.030440993110105563
Germany,Medium,1667.0632552746413,5336.535025161963,10,0.030440993110105563
Germany,High,952.8957531906946,5336.535025161963,10,0.030440993110105563
Greece,Low,51.69946052072153,51.69946052072153,37,2.949072598768701e-4
Hong Kong,Low,98.36855576200054,228.22158235702915,29,0.0013018356636564686
Hong Kong,Medium,129.8530265950286,228.22158235702915,29,0.0013018356636564686
India,Low,382.31432189131044,804.3301718880964,19,0.004588109907505472
India,Medium,422.0158499967859,804.3301718880964,19,0.004588109907505472
Indonesia,Medium,118.58077388074145,118.58077388074145,35,6.764157835889181e-4
Ireland,Low,20.698960921857303,20.698960921857303,44,1.1807229294620419e-4
Israel,Low,844.120007942455,871.871500023161,17,0.004973383328313664
Israel,High,27.75149208070609,871.871500023161,17,0.004973383328313664
Italy,Low,524.1734166867343,1565.0259763668791,14,0.008927317958017994
Italy,Medium,780.4399478115705,1565.0259763668791,14,0.008927317958017994
Italy,High,260.4126118685745,1565.0259763668791,14,0.008927317958017994
Ivory Coast,Low,54.39714724892717,54.39714724892717,36,3.1029557134101886e-4
Japan,Low,4522.036590359069,11738.24846631835,7,0.06695804281300662
Japan,Medium,5653.416229910302,11738.24846631835,7,0.06695804281300662
Japan,High,1562.7956460489777,11738.24846631835,7,0.06695804281300662
Jordan,Low,28.249094541411175,28.249094541411175,42,1.6114023205079957e-4
Korea; Republic (S. Korea),Low,102.2920956143348,527.066871014271,23,0.003006527440269798
Korea; Republic (S. Korea),Medium,424.77477539993623,527.066871014271,23,0.003006527440269798
Kuwait,Low,93.64086242587472,213.38746454344374,30,0.0012172179714594344
Kuwait,High,119.74660211756901,213.38746454344374,30,0.0012172179714594344
Libya,Low,265.54153321800095,265.54153321800095,28,0.001514718435281085
Malaysia,Low,169.100880232453,481.8533221651971,25,0.002748617518849146
Malaysia,Medium,312.7524419327441,481.8533221651971,25,0.002748617518849146
Netherlands,Low,6259.024043441335,12326.686414286578,6,0.07031464694571947
Netherlands,Medium,3193.381898929754,12326.686414286578,6,0.07031464694571947
Netherlands,High,2874.2804719154874,12326.686414286578,6,0.07031464694571947
Nigeria,Medium,10.957735210595311,10.957735210595311,46,6.250579083156478e-5
Norway,Low,134.98487044571777,134.98487044571777,32,7.699890456695497e-4
Philippines,Medium,334.04900495828394,334.04900495828394,26,0.001905502992189978
Portugal,Low,20.48648289419998,155.11311619260607,31,8.84805829820787e-4
Portugal,High,134.6266332984061,155.11311619260607,31,8.84805829820787e-4
Qatar,Medium,46.8320704037267,46.8320704037267,38,2.67142392164578e-4
Russia,Low,33.82139814697089,33.82139814697089,41,1.9292611087750352e-4
Singapore,Low,20731.352721241434,26545.68015702776,2,0.15142351037762053
Singapore,Medium,5516.8640399757805,26545.68015702776,2,0.15142351037762053
Singapore,High,297.4633958105442,26545.68015702776,2,0.15142351037762053
South Africa,Low,627.6422372831529,696.9327099622187,20,0.003975486663562789
South Africa,High,69.29047267906586,696.9327099622187,20,0.003975486663562789
Spain,Low,145.11686594175632,1301.627529955737,15,0.007424824251032394
Spain,Medium,1128.7591719332745,1301.627529955737,15,0.007424824251032394
Spain,High,27.75149208070609,1301.627529955737,15,0.007424824251032394
Switzerland,Low,2625.166778821906,6165.191775858616,9,0.035167868192844044
Switzerland,Medium,3110.3329345914212,6165.191775858616,9,0.035167868192844044
Switzerland,High,429.6920624452887,6165.191775858616,9,0.035167868192844044
Taiwan,Low,1127.345925213325,1733.5021225435248,13,0.009888350009864174
Taiwan,Medium,540.0885081816951,1733.5021225435248,13,0.009888350009864174
Taiwan,High,66.0676891485048,1733.5021225435248,13,0.009888350009864174
Togo,Low,31.806416072594004,125.77606161439844,33,7.174595888469623e-4
Togo,Medium,93.96964554180444,125.77606161439844,33,7.174595888469623e-4
United Arab Emirates,Low,400.0242480109456,1154.1939466458384,16,0.006583824487595334
United Arab Emirates,Medium,711.0123452887639,1154.1939466458384,16,0.006583824487595334
United Arab Emirates,High,43.15735334612882,1154.1939466458384,16,0.006583824487595334
United Kingdom,Low,15586.18564673403,32747.501505262528,1,0.18680032324244203
United Kingdom,Medium,15884.185086925634,32747.501505262528,1,0.18680032324244203
United Kingdom,High,1277.130771602864,32747.501505262528,1,0.18680032324244203
United States of America,Low,11772.59301641094,21653.466198863942,3,0.12351704097538753
United States of America,Medium,7388.461009848619,21653.466198863942,3,0.12351704097538753
United States of America,High,2492.412172604385,21653.466198863942,3,0.12351704097538753
Unknown,Low,10086.691301440209,12592.797055555237,5,0.07183261172233762
Unknown,Medium,1195.018357412404,12592.797055555237,5,0.07183261172233762
