manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Argentina,Low,40.7645715840582,40.7645715840582,30,5.660538264078883e-4
Australia,Low,354.0731556417577,1450.1472044318002,12,0.020136636839925403
Australia,Medium,1006.2987506082293,1450.1472044318002,12,0.020136636839925403
Australia,High,89.7752981818132,1450.1472044318002,12,0.020136636839925403
Austria,Low,149.45874391714054,228.3986216629838,21,0.0031715263699515833
Austria,Medium,58.15017021500833,228.3986216629838,21,0.0031715263699515833
Austria,High,20.789707530834924,228.3986216629838,21,0.0031715263699515833
Bahrain,Low,79.62972938311363,109.32531643674659,25,0.001518083259250407
Bahrain,High,29.695587053632956,109.32531643674659,25,0.001518083259250407
Bangladesh,Low,3.5281539465981324,3.5281539465981324,39,4.899168478956812e-5
Belgium,Low,25.752307344785045,206.14181757427968,22,0.0028624700343037775
Belgium,Medium,122.6081726210552,206.14181757427968,22,0.0028624700343037775
Belgium,High,57.781337608439436,206.14181757427968,22,0.0028624700343037775
Brazil,Low,219.28441202975426,2214.148830017627,10,0.03074550691361038
Brazil,Medium,767.1318549501996,2214.148830017627,10,0.03074550691361038
Brazil,High,1227.7325630376731,2214.148830017627,10,0.03074550691361038
Canada,Low,271.6644993956863,1202.9020171855861,13,0.016703408454020175
Canada,Medium,775.4513528972642,1202.9020171855861,13,0.016703408454020175
Canada,High,155.7861648926357,1202.9020171855861,13,0.016703408454020175
China,Low,9372.967936817584,12658.404757518305,2,0.1757736723526662
China,Medium,3114.335298840781,12658.404757518305,2,0.1757736723526662
China,High,171.10152185993974,12658.404757518305,2,0.1757736723526662
Egypt,High,8.905879522798028,8.905879522798028,37,1.2366638444886652e-4
France,Low,5388.587968349283,8789.053392782163,3,0.12204414544695422
France,Medium,2645.8090704498236,8789.053392782163,3,0.12204414544695422
France,High,754.6563539830559,8789.053392782163,3,0.12204414544695422
Germany,Low,1405.0776446534244,2273.6172601357093,9,0.03157128113644006
Germany,Medium,656.4872598774162,2273.6172601357093,9,0.03157128113644006
Germany,High,212.05235560486878,2273.6172601357093,9,0.03157128113644006
Hong Kong,Low,618.6852349094371,774.6534763846723,14,0.010756780886155538
Hong Kong,Medium,155.96824147523523,774.6534763846723,14,0.010756780886155538
India,Low,114.12227080954983,114.12227080954983,24,0.0015846934129283426
Indonesia,Medium,3.8020715482924783,3.8020715482924783,38,5.2795284350030384e-5
Israel,Low,373.8383502229775,387.71409626333053,18,0.005383769268605819
Israel,High,13.875746040353045,387.71409626333053,18,0.005383769268605819
Italy,Low,85.32868499378927,525.6442666552235,16,0.00729905741450053
Italy,Medium,368.6584980126418,525.6442666552235,16,0.00729905741450053
Italy,High,71.65708364879248,525.6442666552235,16,0.00729905741450053
Ivory Coast,Low,88.21755886837201,88.21755886837201,27,0.0012249824986099826
Japan,Low,3313.6402107786084,5380.345178169999,5,0.07471107525853131
Japan,Medium,1731.477905439171,5380.345178169999,5,0.07471107525853131
Japan,High,335.2270619522188,5380.345178169999,5,0.07471107525853131
Korea; Republic (S. Korea),Medium,13.700831157930349,13.700831157930349,35,1.9024872825960958e-4
Kuwait,High,26.83945648453211,26.83945648453211,33,3.726907079214533e-4
Libya,Low,30.525411931435904,30.525411931435904,32,4.2387361267458057e-4
Luxembourg,Low,176.8108149209062,176.8108149209062,23,0.0024551819005358055
Malaysia,Low,14.319313759952568,37.106045309016224,31,5.152518011068009e-4
Malaysia,Medium,22.78673154906366,37.106045309016224,31,5.152518011068009e-4
Mexico,Low,12.657183543393032,12.657183543393032,36,1.7575671466363348e-4
