manager_true_ultimate_parent_country_of_headquarters,amount_usd_m,rank,pct
Singapore,27049.464179210045,1,0.18620295944913814
United States of America,20894.12126706519,2,0.1438308422392689
United Kingdom,20073.061684409648,3,0.13817883659650865
France,15606.493635426921,4,0.10743189891998438
Unknown,11799.104219227902,5,0.08122261165371483
Netherlands,10981.624495681557,6,0.07559524902628856
Japan,7701.876538265334,7,0.05301813726273858
Germany,5039.196006659013,8,0.034688791004051214
Switzerland,4029.214498584246,9,0.027736285603335464
China,3496.3629430133988,10,0.024068244863710495
Australia,3227.2147712775736,11,0.022215484092720648
Brazil,3096.946204270067,12,0.021318742015343776
Taiwan,1659.441701099562,13,0.011423256066400737
Canada,1059.0656450831677,14,0.0072903905252571805
Spain,1038.7634756463137,15,0.007150634557917703
Italy,999.6571549755578,16,0.00688143467307642
Israel,974.9184020774759,17,0.006711138175808121
Bahrain,899.3822834568208,18,0.006191163039173902
Austria,876.8818519640629,19,0.006036274687039584
South Africa,696.9327099622188,20,0.004797541728446276
United Arab Emirates,670.240235873064,21,0.004613796215504096
Belgium,623.6070902026848,22,0.0042927832122623836
Malaysia,392.1393163646689,23,0.0026994065664185593
India,348.9281891017309,24,0.0024019500355170523
Libya,317.06498424515854,25,0.0021826102732755517
Portugal,306.2126802556861,26,0.0021079052400706953
Hong Kong,238.24728153999206,27,0.0016400453853557297
Kuwait,213.3874645434437,28,0.0014689155076822535
Norway,198.92459116681397,29,0.0013693560558933177
Korea; Republic (S. Korea),158.4593854588109,30,0.001090801885369694
Philippines,109.1647095040279,31,7.514674539349443e-4
Indonesia,104.64954608935342,32,7.203859957353012e-4
Cameroon,68.69227065814174,33,4.7286349197475045e-4
Egypt,66.43626242518853,34,4.573335943496295e-4
Greece,51.69946052072153,35,3.5588847479947996e-4
Jordan,51.329986055402244,36,3.533450884156485e-4
Bulgaria,44.88006728720514,37,3.089451714750419e-4
Russia,33.82139814697089,38,2.3281956292923116e-4
Ireland,20.698960921857303,39,1.4248739847993726e-4
Chile,20.39090564509877,40,1.4036680918373784e-4
Sweden,18.502960661312073,41,1.273705834201078e-4
Qatar,11.511066342271366,42,7.923981802913814e-5
