manager_true_ultimate_parent_country_of_headquarters,amount_usd_m,rank,pct
Netherlands,3045.3757490585126,1,0.1928939351323035
France,2155.6593419334713,2,0.13653934605567444
United Kingdom,1543.5743781610704,3,0.0977699175758316
Singapore,1453.1891829475378,4,0.09204492420257389
Germany,1358.8490568980308,5,0.08606942572420294
United States of America,1128.0131369683043,6,0.07144829104849144
Switzerland,1092.9378886673219,7,0.06922662671934887
Japan,547.1628483464581,8,0.03465726520229153
Australia,509.85948828104154,9,0.03229447239457316
China,485.1690024910409,10,0.030730578360861936
Belgium,405.9435390930512,11,0.02571244179684581
Brazil,395.30859143961146,12,0.02503882478803097
Taiwan,307.6618491680469,13,0.01948728487591484
Austria,300.2702713815043,14,0.019019102738940932
Italy,277.6877668885022,15,0.017588728126499503
United Arab Emirates,217.01117151627992,16,0.013745475859387032
Spain,212.49875726280226,17,0.013459659784779657
South Africa,152.48822760478177,18,0.009658596083957834
Philippines,67.92024447457335,19,0.004302064609235457
Mauritius,30.020295113607666,20,0.001901483867823886
Indonesia,24.713342643932148,21,0.0015653417856022484
Hong Kong,18.259886132505866,22,0.0011565801994239103
Nigeria,16.788898382811684,23,0.0010634079149668468
Canada,16.2790363276734,24,0.0010311132799876747
Israel,8.394449191405842,25,5.317039574834234e-4
Kuwait,8.394449191405842,25,5.317039574834234e-4
Togo,8.394449191405842,25,5.317039574834234e-4
