manager_true_ultimate_parent_organisation_name,amount_usd_m,rank,prop,manager_true_ultimate_parent_region_of_headquarters_unsd,government_ultimate_parent
Citigroup Inc,2043.5074010498902,1,0.1242245463498978,Northern America,FALSE
Deutsche Bank AG,2043.5074010498902,1,0.1242245463498978,Europe,FALSE
BNP Paribas SA,1700.8244711515038,2,0.10339289607713151,Europe,FALSE
Bank of America Corp,1700.8244711515038,2,0.10339289607713151,Northern America,FALSE
JPMorgan Chase & Co,1700.8244711515038,2,0.10339289607713151,Northern America,FALSE
HSBC Holdings PLC,1522.2996803406816,3,0.09254039750566029,Europe,FALSE
Mizuho Financial Group Inc,434.77944520261235,4,0.02643018533468779,Asia,FALSE
Mitsubishi UFJ Financial Group Inc,424.7209476093698,5,0.02581873058789307,Asia,FALSE
Toronto-Dominion Bank,420.13838831613504,6,0.025540157410702168,Northern America,FALSE
Bank of New York Mellon Corp,380.03654851731375,7,0.023102371839558433,Northern America,FALSE
CoBank ACB,380.03654851731375,7,0.023102371839558433,Northern America,FALSE
PNC Financial Services Group Inc,380.03654851731375,7,0.023102371839558433,Northern America,FALSE
Royal Bank of Canada,380.03654851731375,7,0.023102371839558433,Northern America,FALSE
US Bancorp,380.03654851731375,7,0.023102371839558433,Northern America,FALSE
Wells Fargo & Co,380.03654851731375,7,0.023102371839558433,Northern America,FALSE
Commerzbank AG,304.28300956774615,8,0.01849732416242521,Europe,FALSE
Skandinaviska Enskilda Banken AB,304.28300956774615,8,0.01849732416242521,Europe,FALSE
Banco Santander SA,271.0200114830149,9,0.016475270880313128,Europe,FALSE
Sumitomo Mitsui Financial Group Inc,258.33135008779874,10,0.01570392882165537,Asia,FALSE
Goldman Sachs Group Inc,216.54993491363493,11,0.013164042084176155,Northern America,FALSE
Barclays PLC,144.88701649826336,12,0.008807662691722989,Europe,FALSE
Banco Bilbao Vizcaya Argentaria SA,104.63041396144388,13,0.00636046911407543,Europe,FALSE
Sas Rue La Boetie,104.63041396144388,13,0.00636046911407543,Europe,FALSE
Standard Chartered PLC,104.63041396144388,13,0.00636046911407543,Europe,FALSE
China Investment Corp*,75.75353894956757,14,0.004605047677133222,Asia,TRUE
Capital One Financial Corp,64.52857416262259,15,0.003922683542931697,Northern America,FALSE
Lloyds Banking Group PLC,64.52857416262259,15,0.003922683542931697,Europe,FALSE
Cooperatieve Rabobank UA,40.10183979882129,16,0.0024377855711437326,Europe,FALSE
Intesa Sanpaolo SpA,40.10183979882129,16,0.0024377855711437326,Europe,FALSE
NatWest Group PLC,40.10183979882129,16,0.0024377855711437326,Europe,FALSE
Societe Generale SA,40.10183979882129,16,0.0024377855711437326,Europe,FALSE
