manager_true_ultimate_parent_organisation_name,amount_usd_m,rank,prop,manager_true_ultimate_parent_region_of_headquarters_unsd,government_ultimate_parent
Banco Santander SA,5526.937580799809,1,0.07657326408220375,Europe,FALSE
Banco Bradesco SA,5338.569706957757,2,0.07396351089837579,Latin America and the Caribbean,FALSE
Banco do Brasil SA*,5218.81972466362,3,0.07230442810903819,Latin America and the Caribbean,TRUE
Cooperatieve Rabobank UA,4255.3759161925045,4,0.05895634228467341,Europe,FALSE
IUPAR Itau Unibanco Participacoes SA,3731.8539852915337,5,0.05170317857843446,Latin America and the Caribbean,FALSE
BTG Pactual G7 Holding SA,3663.175207192941,6,0.05075166462784167,Latin America and the Caribbean,FALSE
JPMorgan Chase & Co,3536.9652739675334,7,0.04900308208907019,Northern America,FALSE
HSBC Holdings PLC,3254.2107525552206,8,0.0450856438473651,Europe,FALSE
Bank of America Corp,3044.221393128634,9,0.04217633458907276,Northern America,FALSE
ING Groep NV,2606.005271976833,10,0.036105044968106924,Europe,FALSE
Morgan Stanley,2493.013439106782,11,0.03453959333580559,Northern America,FALSE
Barclays PLC,2489.388315321105,12,0.0344893688567133,Europe,FALSE
Bank of Montreal,2373.0638888225767,13,0.03287774562065104,Northern America,FALSE
Royal Bank of Canada,2331.1030236378097,14,0.03229639648038339,Northern America,FALSE
Wells Fargo & Co,2102.6413544027046,15,0.02913116157855025,Northern America,FALSE
US Bancorp,1881.2146649406643,16,0.02606339319521864,Northern America,FALSE
Deutsche Bank AG,1455.446062466863,17,0.02016455841401974,Europe,FALSE
Not Available,1274.393094817803,18,0.017656150004845723,Unknown,FALSE
BNP Paribas SA,1178.4224706222246,19,0.0163265196547236,Europe,FALSE
UBS Group AG,1152.7503348575465,20,0.015970843622070012,Europe,FALSE
