manager_true_ultimate_parent_organisation_name,amount_usd_m,rank,prop,manager_true_ultimate_parent_region_of_headquarters_unsd,government_ultimate_parent
Citigroup Inc,3156.977443150888,1,0.08905425018398859,Northern America,FALSE
HSBC Holdings PLC,2860.4415181996796,2,0.080689355304414,Europe,FALSE
Banco Bradesco SA,2298.3172959648978,3,0.06483255809163022,Latin America and the Caribbean,FALSE
JPMorgan Chase & Co,2049.819597588046,4,0.05782275944723115,Northern America,FALSE
Banco Santander SA,1721.3061160854236,5,0.04855581905967218,Europe,FALSE
Mitsubishi UFJ Financial Group Inc,1709.129256017598,6,0.04821232558768422,Asia,FALSE
Banco do Brasil SA*,1610.0900963359884,7,0.045418558998241876,Latin America and the Caribbean,TRUE
Sumitomo Mitsui Financial Group Inc,1526.3625145269189,8,0.04305671221536359,Asia,FALSE
Mizuho Financial Group Inc,1526.0606241095563,9,0.04304819627717902,Asia,FALSE
Sas Rue La Boetie,1498.1953666015702,10,0.04226215340603303,Europe,FALSE
Export-Import Bank of Korea*,1207.7399074852815,11,0.03406878060270034,Asia,TRUE
BNP Paribas SA,1166.3152962929678,12,0.032900245902872764,Europe,FALSE
Deutsche Bank AG,1086.143769476161,13,0.030638710831640065,Europe,FALSE
Bank of America Corp,1086.0118017283355,14,0.030634988192171555,Northern America,FALSE
Barclays PLC,1077.7977224929173,15,0.030403279641687916,Europe,FALSE
Bank of Nova Scotia,1043.4805986334559,16,0.02943523796612713,Northern America,FALSE
Royal Bank of Canada,978.6205396645648,17,0.027605619597806146,Northern America,FALSE
Societe Generale SA,743.1694506685692,18,0.020963848928512264,Europe,FALSE
Canadian Imperial Bank of Commerce,726.272377065839,19,0.020487204338206624,Northern America,FALSE
Bpce SA,709.5493020584958,20,0.020015468023213138,Europe,FALSE
