manager_true_ultimate_parent_organisation_name,amount_usd_m,rank,prop,manager_true_ultimate_parent_region_of_headquarters_unsd,government_ultimate_parent
Mitsubishi UFJ Financial Group Inc,102504.69047111618,1,0.09316596757940479,Asia,FALSE
Mizuho Financial Group Inc,80039.93772124212,2,0.07274787337557063,Asia,FALSE
Citigroup Inc,61281.33846677839,3,0.05569828235740282,Northern America,FALSE
JPMorgan Chase & Co,40512.159885854555,4,0.03682128649089212,Northern America,FALSE
Sumitomo Mitsui Financial Group Inc,40364.45800763573,5,0.036687041039934636,Asia,FALSE
Bank of America Corp,39067.88403851136,6,0.035508591860520945,Northern America,FALSE
BNP Paribas SA,31846.859756958165,7,0.02894544132552325,Europe,FALSE
HSBC Holdings PLC,29042.48326198848,8,0.026396558455773867,Europe,FALSE
China Investment Corp*,28532.040959578317,9,0.02593262016398514,Asia,TRUE
Morgan Stanley,27970.58966015317,10,0.02542232006630915,Northern America,FALSE
Barclays PLC,27193.27001360125,11,0.024715818376906975,Europe,FALSE
UBS Group AG,24481.167899189528,12,0.022250803200508613,Europe,FALSE
Deutsche Bank AG,23293.29085127504,13,0.021171148074234127,Europe,FALSE
ING Groep NV,22133.380924902773,14,0.020116912115872018,Europe,FALSE
DBS Group Holdings Ltd,21509.3154831719,15,0.019549702357523364,Asia,FALSE
Sas Rue La Boetie,18595.03607805278,16,0.0169009293177066,Europe,FALSE
Societe Generale SA,17292.99025557826,17,0.015717506799907355,Europe,FALSE
Sumitomo Mitsui Trust Holdings Inc,16917.840246405307,18,0.015376534953337373,Asia,FALSE
Cooperatieve Rabobank UA,16809.58506419885,19,0.015278142394427192,Europe,FALSE
Standard Chartered PLC,14932.678695515902,20,0.013572232185922468,Europe,FALSE
