manager_true_ultimate_parent_organisation_name,amount_usd_m,rank,prop,manager_true_ultimate_parent_region_of_headquarters_unsd,government_ultimate_parent
BNP Paribas SA,32651.20933861659,1,0.05809193171799578,Europe,FALSE
Citigroup Inc,26600.547117557813,2,0.04732679732590788,Northern America,FALSE
HSBC Holdings PLC,25970.389063596474,3,0.04620564134474267,Europe,FALSE
China Investment Corp*,25833.232425172628,4,0.04596161687412178,Asia,TRUE
Bank of America Corp,20601.179665282576,5,0.036652924858447664,Northern America,FALSE
Societe Generale SA,20176.758477378025,6,0.03589780897861219,Europe,FALSE
JPMorgan Chase & Co,19192.431141741163,7,0.03414652694256384,Northern America,FALSE
UBS Group AG,18940.218234661108,8,0.03369779823470666,Europe,FALSE
Sas Rue La Boetie,18939.7788392475,9,0.033697016477188896,Europe,FALSE
Banco Santander SA,18338.582882955885,10,0.032627388884537305,Europe,FALSE
Morgan Stanley,15877.213058667274,11,0.028248202610533048,Northern America,FALSE
Mitsubishi UFJ Financial Group Inc,15852.633961364647,12,0.028204472308620297,Asia,FALSE
Deutsche Bank AG,14652.906434144606,13,0.026069957507998842,Europe,FALSE
Barclays PLC,14226.22476655322,14,0.025310819858854434,Europe,FALSE
Sumitomo Mitsui Financial Group Inc,13967.819571845115,15,0.02485107404145205,Asia,FALSE
Mizuho Financial Group Inc,13875.926042551619,16,0.024687580169795362,Asia,FALSE
Industrial and Commercial Bank of China Ltd*,13350.151660691428,17,0.023752140101608664,Asia,TRUE
Goldman Sachs Group Inc,13204.584857794407,18,0.023493152549674424,Northern America,FALSE
NatWest Group PLC,12939.177632889174,19,0.02302094895602613,Europe,FALSE
ING Groep NV,10626.258692745285,20,0.018905881494154567,Europe,FALSE
