manager_true_ultimate_parent_organisation_name,amount_usd_m,rank,prop,manager_true_ultimate_parent_country_of_headquarters,government_ultimate_parent
Banco Santander SA,566.857565833146,1,0.07631776739092228,Spain,FALSE
Banco Bradesco SA,536.831833740372,2,0.07227531126840316,Brazil,FALSE
Banco do Brasil SA*,523.3550284494139,3,0.07046088776352075,Brazil,TRUE
Cooperatieve Rabobank UA,425.53759161925046,4,0.05729142714282927,Netherlands,FALSE
JPMorgan Chase & Co,403.4689970331452,5,0.054320264773687135,United States of America,FALSE
IUPAR Itau Unibanco Participacoes SA,391.9286020760145,6,0.0527665461130864,Brazil,FALSE
BTG Pactual G7 Holding SA,370.76765478821727,7,0.04991758307506454,Brazil,FALSE
Bank of America Corp,357.16867508087427,8,0.048086710854926676,United States of America,FALSE
HSBC Holdings PLC,335.03514560215007,9,0.04510680610263727,United Kingdom,FALSE
ING Groep NV,260.6005271976833,10,0.03508544582516634,Netherlands,FALSE
Morgan Stanley,249.30134391067813,11,0.033564202229277064,United States of America,FALSE
Barclays PLC,248.9388315321105,12,0.03351539607928206,United Kingdom,FALSE
Bank of Montreal,237.3063888822577,13,0.03194928475635227,Canada,FALSE
Royal Bank of Canada,233.11030236378093,14,0.03138435279782999,Canada,FALSE
Wells Fargo & Co,210.2641354402705,15,0.0283085034872893,United States of America,FALSE
US Bancorp,188.12146649406642,16,0.025327368260546972,United States of America,FALSE
Deutsche Bank AG,145.54460624668627,17,0.019595115376492122,Germany,FALSE
Not Available,127.43930948178031,18,0.01715754391175061,NA,FALSE
UBS Group AG,118.37856140488,19,0.015937667692749652,Switzerland,FALSE
BNP Paribas SA,117.84224706222246,20,0.015865462052888083,France,FALSE
