manager_true_ultimate_parent_organisation_name,amount_usd_m,rank,prop,manager_true_ultimate_parent_region_of_headquarters_unsd,government_ultimate_parent
IUPAR Itau Unibanco Participacoes SA,2178.789895954123,1,0.15055290539684468,Latin America and the Caribbean,FALSE
Bank of America Corp,1704.6114395228146,2,0.11778749537502962,Northern America,FALSE
JPMorgan Chase & Co,1645.7232350894142,3,0.1137183603531007,Northern America,FALSE
BTG Pactual G7 Holding SA,1499.2000544165037,4,0.10359370785711816,Latin America and the Caribbean,FALSE
HSBC Holdings PLC,1436.1803775142057,5,0.09923909088719846,Europe,FALSE
Citigroup Inc,1095.212019205566,6,0.07567840837848953,Northern America,FALSE
Morgan Stanley,973.4365206295311,7,0.06726380394562712,Northern America,FALSE
Banco Bradesco SA,711.5262610072697,8,0.049165982484000684,Latin America and the Caribbean,FALSE
UBS Group AG,677.6084359311677,9,0.04682228375498077,Europe,FALSE
Self-Arranged,588.7645241289018,10,0.040683229652751826,Unknown,FALSE
Banco do Brasil SA*,541.4643121868138,11,0.03741481705960024,Latin America and the Caribbean,TRUE
Banco Santander SA,450.35949980901074,12,0.03111953625965592,Europe,FALSE
Goldman Sachs Group Inc,434.23128930744673,13,0.030005087842958522,Northern America,FALSE
XP Control LLC,242.3858507956997,14,0.01674869804203786,Unknown,FALSE
Cooperatieve Rabobank UA,149.68683936318163,15,0.010343259167689975,Europe,FALSE
Deutsche Bank AG,59.91055812390648,16,0.0041397789691652665,Europe,FALSE
Fator Empreendimentos e Participacoes Ltda,54.89785024346209,17,0.0037934042513882325,Latin America and the Caribbean,FALSE
Banco Bilbao Vizcaya Argentaria SA,27.932984813218688,18,0.001930150322362502,Europe,FALSE
