manager_true_ultimate_parent_organisation_name,amount_usd_m,rank,prop,manager_true_ultimate_parent_region_of_headquarters_unsd,government_ultimate_parent
DBS Group Holdings Ltd,12744.60688880105,1,0.102403445398902,Asia,FALSE
HSBC Holdings PLC,9238.17279741342,2,0.07422910191736357,Europe,FALSE
Self-Arranged,8057.352441555823,3,0.06474116134045724,Unknown,FALSE
United Overseas Bank Ltd,5403.065994857221,4,0.043413859557897796,Asia,FALSE
Citigroup Inc,4948.978751438279,5,0.039765249707196935,Northern America,FALSE
Morgan Stanley,4366.813502737621,6,0.03508752776735102,Northern America,FALSE
Standard Chartered PLC,4209.926542953999,7,0.03382693453288106,Europe,FALSE
ING Groep NV,4201.064566100464,8,0.03375572818098921,Europe,FALSE
BNP Paribas SA,3956.436707018646,9,0.0317901331784044,Europe,FALSE
Oversea-Chinese Banking Corporation Ltd,3682.1351310550635,10,0.029586108628874966,Asia,FALSE
Societe Generale SA,3351.5152472817053,11,0.026929564138238153,Europe,FALSE
Cooperatieve Rabobank UA,3201.9590503431523,12,0.025727873887539072,Europe,FALSE
Undisclosed Advisor,3092.678317788675,13,0.024849798665059833,Unknown,FALSE
Sas Rue La Boetie,3042.529944562973,14,0.02444685440445855,Europe,FALSE
Bpce SA,2728.588872185804,15,0.021924324855752124,Europe,FALSE
UBS Group AG,2659.325575085857,16,0.021367791388332665,Europe,FALSE
Barclays PLC,2430.774400182598,17,0.019531373210489398,Europe,FALSE
Mitsubishi UFJ Financial Group Inc,2429.9920932199434,18,0.019525087341569755,Asia,FALSE
ABN Amro Bank NV,2239.0906074222567,19,0.017991185978583756,Europe,FALSE
Bank of America Corp,1888.6267975224746,20,0.01517519471777055,Northern America,FALSE
