manager_true_ultimate_parent_organisation_name,amount_usd_m,rank,prop,manager_true_ultimate_parent_region_of_headquarters_unsd,government_ultimate_parent
Undisclosed Advisor,24757.40791957832,1,0.09863032024578945,Unknown,FALSE
UBS Group AG,23794.53694304294,2,0.09479436645452202,Europe,FALSE
HSBC Holdings PLC,21834.041497899045,3,0.08698400544164556,Europe,FALSE
Citigroup Inc,14069.572713179028,4,0.05605136316895586,Northern America,FALSE
DBS Group Holdings Ltd,13195.620266602096,5,0.05256964933342513,Asia,FALSE
JPMorgan Chase & Co,11126.818255393975,6,0.04432780892939685,Northern America,FALSE
Deutsche Bank AG,10437.340809569994,7,0.041581019705550414,Europe,FALSE
BNP Paribas SA,8975.290483881032,8,0.03575639976526471,Europe,FALSE
Bank of America Corp,8916.28239520439,9,0.03552131915011409,Northern America,FALSE
Mitsubishi UFJ Financial Group Inc,7341.038671396426,10,0.029245751310013824,Asia,FALSE
Self-Arranged,7125.268637290962,11,0.028386151321501404,Unknown,FALSE
Royal Bank of Canada,7072.622534521204,12,0.028176416037713165,Northern America,FALSE
Barclays PLC,7008.015879735405,13,0.02791903145721783,Europe,FALSE
Standard Chartered PLC,6279.402902388088,14,0.025016331323001677,Europe,FALSE
Societe Generale SA,6124.411278690949,15,0.024398864683104583,Europe,FALSE
ING Groep NV,5454.364163631025,16,0.021729483391137193,Europe,FALSE
Goldman Sachs Group Inc,5412.019084159925,17,0.021560786055671587,Northern America,FALSE
United Overseas Bank Ltd,5246.586750714231,18,0.020901724974650513,Asia,FALSE
Mizuho Financial Group Inc,5046.260162347972,19,0.020103649682257498,Asia,FALSE
Morgan Stanley,4876.492390692325,20,0.01942731677453944,Northern America,FALSE
