manager_true_ultimate_parent_organisation_name,amount_usd_m,rank,prop,manager_true_ultimate_parent_region_of_headquarters_unsd,government_ultimate_parent
Export-Import Bank of Korea*,603.8699537426407,1,0.08378860506271177,Asia,TRUE
Banco Bradesco SA,447.89862419269684,2,0.06214715717849406,Latin America and the Caribbean,FALSE
Banco Santander SA,426.84276573331124,3,0.0592255993202574,Europe,FALSE
HSBC Holdings PLC,419.70201522501964,4,0.0582348006880645,Europe,FALSE
Mizuho Financial Group Inc,379.89507181975637,5,0.05271147859020963,Asia,FALSE
Citigroup Inc,373.142246861011,6,0.05177450568732022,Northern America,FALSE
Banco do Brasil SA*,370.78200694895145,7,0.051447015954441254,Latin America and the Caribbean,TRUE
BNP Paribas SA,354.0093777072609,8,0.04911976784632585,Europe,FALSE
Sas Rue La Boetie,313.98445954857664,9,0.043566201156212604,Europe,FALSE
Sumitomo Mitsui Financial Group Inc,302.7523442125234,10,0.04200771448192364,Asia,FALSE
Societe Generale SA,291.5980420088064,11,0.04046002459222979,Europe,FALSE
Mitsubishi UFJ Financial Group Inc,236.66767685187943,12,0.03283828642897317,Asia,FALSE
JPMorgan Chase & Co,235.51915622386738,13,0.03267892605558408,Northern America,FALSE
Bank of America Corp,213.43923425537298,14,0.02961527658905982,Northern America,FALSE
Bank of Nova Scotia,186.5055999513695,15,0.02587816128200576,Northern America,FALSE
Royal Bank of Canada,186.5055999513695,15,0.02587816128200576,Northern America,FALSE
Bank of Montreal,180.06362983379927,16,0.024984320337177228,Northern America,FALSE
Deutsche Bank AG,172.59820458148639,17,0.023948472197665677,Europe,FALSE
Morgan Stanley,168.73149047972777,18,0.023411955057253773,Northern America,FALSE
Industrial and Commercial Bank of China Ltd*,140.7329370882337,19,0.019527079318847763,Asia,TRUE
Standard Chartered PLC,140.7329370882337,19,0.019527079318847763,Europe,FALSE
Canadian Imperial Bank of Commerce,120.01343434489425,20,0.016652191734695294,Northern America,FALSE
