manager_true_ultimate_parent_organisation_name,amount_usd_m,rank,prop,manager_true_ultimate_parent_region_of_headquarters_unsd,government_ultimate_parent
Cooperatieve Rabobank UA,990.2067696752275,1,0.06271964320210759,Europe,FALSE
ING Groep NV,954.1027188610562,2,0.06043281457745752,Europe,FALSE
ABN Amro Bank NV,844.7961971009411,3,0.05350934540474485,Europe,FALSE
HSBC Holdings PLC,842.8765472990958,4,0.05338775489018573,Europe,FALSE
DBS Group Holdings Ltd,838.2784733226121,5,0.05309651313335898,Asia,FALSE
Societe Generale SA,744.302857626627,6,0.04714410272105313,Europe,FALSE
BNP Paribas SA,631.7279717353354,7,0.04001361554115274,Europe,FALSE
UBS Group AG,589.425115830458,8,0.03733415493753125,Europe,FALSE
Commerzbank AG,534.9929250117334,9,0.03388642291689562,Europe,FALSE
Mitsubishi UFJ Financial Group Inc,517.468568515556,10,0.032776431124830537,Asia,FALSE
Wells Fargo & Co,513.6751162129442,11,0.03253615406128142,Northern America,FALSE
China Investment Corp*,485.1690024910409,12,0.030730578360861918,Asia,TRUE
Standard Chartered PLC,479.797927568802,13,0.030390374765965168,Europe,FALSE
Oversea-Chinese Banking Corporation Ltd,458.48984420568434,14,0.029040721918920067,Asia,FALSE
Kbc Groep NV,405.9435390930512,15,0.0257124417968458,Europe,FALSE
Bpce SA,386.00918673309565,16,0.02444980099719587,Europe,FALSE
Sas Rue La Boetie,363.92504600751187,17,0.023050992718811707,Europe,FALSE
Banco do Brasil SA*,351.36158275240916,18,0.022255223636157107,Latin America and the Caribbean,TRUE
ANZ Group Holdings Ltd,346.36987070453586,19,0.021939048865191886,Oceania,FALSE
Raiffeisen Bank International AG,300.2702713815043,20,0.019019102738940925,Europe,FALSE
