manager_true_ultimate_parent_organisation_name,amount_usd_m,rank,prop,manager_true_ultimate_parent_region_of_headquarters_unsd,government_ultimate_parent
DBS Group Holdings Ltd,16089.45734031562,1,0.11207687258459531,Asia,FALSE
HSBC Holdings PLC,14612.247606703708,2,0.10178683957770843,Europe,FALSE
Self-Arranged,8848.071069540169,3,0.06163440524469823,Unknown,FALSE
Standard Chartered PLC,6457.590228993986,4,0.04498265553586963,Europe,FALSE
Citigroup Inc,5847.937485613872,5,0.04073590119261086,Northern America,FALSE
United Overseas Bank Ltd,5357.063292025878,6,0.03731654134186102,Asia,FALSE
ANZ Group Holdings Ltd,4345.485895334439,7,0.03027003700051454,Oceania,FALSE
Mitsubishi UFJ Financial Group Inc,4325.976343882338,8,0.03013413623854162,Asia,FALSE
Morgan Stanley,4194.400359296846,9,0.029217596634522152,Northern America,FALSE
JPMorgan Chase & Co,4004.5629166204894,10,0.027895215995784834,Northern America,FALSE
BNP Paribas SA,3948.152505014952,11,0.027502269087742358,Europe,FALSE
ING Groep NV,3807.9446204373207,12,0.026525600895472887,Europe,FALSE
Cooperatieve Rabobank UA,3725.485361339158,13,0.025951201418853643,Europe,FALSE
UBS Group AG,3676.5171098899064,14,0.025610095540495873,Europe,FALSE
Oversea-Chinese Banking Corporation Ltd,3344.3844588702495,15,0.02329650670886759,Asia,FALSE
Bpce SA,3308.5318641357126,16,0.023046762630686578,Europe,FALSE
Undisclosed Advisor,3092.678317788675,17,0.021543157512181357,Unknown,FALSE
Barclays PLC,2752.045444541204,18,0.019170357340890277,Europe,FALSE
Mizuho Financial Group Inc,2430.8806308084936,19,0.01693316890463503,Asia,FALSE
Societe Generale SA,2280.1479614903183,20,0.015883186558047217,Europe,FALSE
