manager_true_ultimate_parent_organisation_name,amount_usd_m,rank,prop,manager_true_ultimate_parent_region_of_headquarters_unsd,government_ultimate_parent
Mitsubishi UFJ Financial Group Inc,8549.82700679297,1,0.0929368093087405,Asia,FALSE
Mizuho Financial Group Inc,6678.065000972001,2,0.07259071476576102,Asia,FALSE
Citigroup Inc,5147.958723195842,3,0.05595842556893786,Northern America,FALSE
JPMorgan Chase & Co,3409.2550514811073,4,0.037058678070634815,Northern America,FALSE
Sumitomo Mitsui Financial Group Inc,3368.2260859979415,5,0.03661269230528374,Asia,FALSE
Bank of America Corp,3289.321498168132,6,0.0357549976844572,Northern America,FALSE
BNP Paribas SA,2686.722055311693,7,0.029204728367217644,Europe,FALSE
HSBC Holdings PLC,2450.321339568351,8,0.026635047340685412,Europe,FALSE
China Investment Corp*,2378.75893604855,9,0.025857162426252554,Asia,TRUE
Morgan Stanley,2330.882471679429,10,0.025336744196045726,Northern America,FALSE
Barclays PLC,2267.5670362703477,11,0.024648504007999998,Europe,FALSE
UBS Group AG,2039.3070691233436,12,0.02216731309937625,Europe,FALSE
Deutsche Bank AG,1982.063973046648,13,0.02154507937463598,Europe,FALSE
ING Groep NV,1843.1264059503055,14,0.020034824936880222,Europe,FALSE
DBS Group Holdings Ltd,1792.0235808406026,15,0.01947933609382118,Asia,FALSE
Sas Rue La Boetie,1551.4866118310038,16,0.016864693902489552,Europe,FALSE
Societe Generale SA,1440.0699205641404,17,0.015653591995766488,Europe,FALSE
Sumitomo Mitsui Trust Holdings Inc,1409.820020533776,18,0.015324774911105385,Asia,FALSE
Cooperatieve Rabobank UA,1400.933309471684,19,0.015228176164639132,Europe,FALSE
Standard Chartered PLC,1245.3720837837782,20,0.013537222189066965,Europe,FALSE
