manager_true_ultimate_parent_organisation_name,amount_usd_m,rank,prop,manager_true_ultimate_parent_region_of_headquarters,government_ultimate_parent
China Investment Corp*,2379.246270137725,1,0.4414656329146855,Asia,TRUE
Industrial and Commercial Bank of China Ltd*,1176.5623478136008,2,0.21830940666392343,Asia,TRUE
CITIC Group Corp*,550.3743221586302,3,0.10212114295242168,Asia,TRUE
Bank of Communications Co Ltd*,171.26779457291337,4,0.03177848643833614,Asia,TRUE
China Securities Co Ltd,161.279177814056,5,0.02992511334504305,Asia,FALSE
China Development Bank*,117.98985557389585,6,0.02189284351191904,Asia,TRUE
Shanghai International Group Co Ltd*,106.49751862796651,7,0.019760457357874617,Asia,TRUE
Ping An Insurance Group Co of China Ltd,92.99605223774951,8,0.017255280201544147,Asia,FALSE
China Minsheng Banking Corp Ltd,80.83186839364443,9,0.014998233847398727,Asia,FALSE
Changzhou Investment Group Co Ltd*,74.47111547545876,10,0.013818005533884035,Asia,TRUE
