manager_true_ultimate_parent_organisation_name,amount_usd_m,rank,prop,manager_true_ultimate_parent_region_of_headquarters_unsd,government_ultimate_parent
China Investment Corp*,5194.943041131104,1,0.07213659489440828,Asia,TRUE
BNP Paribas SA,2986.641235350143,2,0.04147227932695079,Europe,FALSE
HSBC Holdings PLC,2753.264571985702,3,0.03823162823806727,Europe,FALSE
Citigroup Inc,2725.4687431199523,4,0.037845657413985566,Northern America,FALSE
Bank of America Corp,2342.387512323059,5,0.032526219772638504,Northern America,FALSE
Banco Santander SA,2315.92970442845,6,0.03215882860881316,Europe,FALSE
Industrial and Commercial Bank of China Ltd*,2313.775522339038,7,0.03212891579562496,Asia,TRUE
Sas Rue La Boetie,2279.630878684207,8,0.03165478579888756,Europe,FALSE
Societe Generale SA,2222.32913196417,9,0.03085909798149326,Europe,FALSE
JPMorgan Chase & Co,2164.2897272713117,10,0.030053167100039413,Northern America,FALSE
Barclays PLC,2098.112643093884,11,0.029134237003057856,Europe,FALSE
UBS Group AG,2096.246900891045,12,0.029108329444803994,Europe,FALSE
Sumitomo Mitsui Financial Group Inc,1831.5083137838046,13,0.02543218900209475,Asia,FALSE
Mizuho Financial Group Inc,1772.3687596283748,14,0.024610981526561528,Asia,FALSE
Mitsubishi UFJ Financial Group Inc,1742.853985294731,15,0.024201141552831543,Asia,FALSE
ING Groep NV,1617.6075567000817,16,0.022461978907549394,Europe,FALSE
Goldman Sachs Group Inc,1589.5313755135726,17,0.02207211513187415,Northern America,FALSE
NatWest Group PLC,1574.1057216435224,18,0.02185791564298757,Europe,FALSE
Cooperatieve Rabobank UA,1458.3910175773942,19,0.020251109819621475,Europe,FALSE
CITIC Group Corp*,1407.012048110491,20,0.019537665249164896,Asia,TRUE
