fi_name_for_plot,financial_flow_link_strength,total_usd_m,total_usd_m_this_strength,pct_this_strength_for_fi
ABN Amro Bank NV,High,11729.727076196306,649.2247512403901,6%
ABN Amro Bank NV,Low,11729.727076196306,5656.649538376286,48%
ABN Amro Bank NV,Medium,11729.727076196306,5423.852786579631,46%
ANZ Group Holdings Ltd,High,17570.056777435024,227.15124911876504,1%
ANZ Group Holdings Ltd,Low,17570.056777435024,9051.630397439167,52%
ANZ Group Holdings Ltd,Medium,17570.056777435024,8291.275130877073,47%
BNP Paribas SA,High,47305.1292022963,574.0365892854813,1%
BNP Paribas SA,Low,47305.1292022963,24388.822527235607,52%
BNP Paribas SA,Medium,47305.1292022963,22342.270085775308,47%
BTG Pactual G7 Holding SA,High,8409.953820255081,5000.199768152634,59%
BTG Pactual G7 Holding SA,Low,8409.953820255081,1988.2084098626344,24%
BTG Pactual G7 Holding SA,Medium,8409.953820255081,1421.5456422398188,17%
Banco Bilbao Vizcaya Argentaria SA,High,11945.640937543762,143.1696459210521,1%
Banco Bilbao Vizcaya Argentaria SA,Low,11945.640937543762,6486.509190789074,54%
Banco Bilbao Vizcaya Argentaria SA,Medium,11945.640937543762,5315.962100833638,45%
Banco Bradesco SA,High,17086.4120210018,8263.941909188743,48%
Banco Bradesco SA,Low,17086.4120210018,4554.013759306973,27%
Banco Bradesco SA,Medium,17086.4120210018,4268.456352506091,25%
Banco Santander SA,High,33378.47788409872,5131.2087891395295,15%
Banco Santander SA,Low,33378.47788409872,18315.01359828057,55%
Banco Santander SA,Medium,33378.47788409872,9932.255496678627,30%
Banco do Brasil SA*,High,9214.8991126401,5028.142129540602,55%
Banco do Brasil SA*,Low,9214.8991126401,2767.000649328529,30%
Banco do Brasil SA*,Medium,9214.8991126401,1419.756333770977,15%
Bank VTB PAO*,Low,14852.022908332476,14852.022908332476,100%
Bank of America Corp,High,56371.63698404883,1529.0991165583152,3%
Bank of America Corp,Low,56371.63698404883,23200.69203886429,41%
Bank of America Corp,Medium,56371.63698404883,31641.845828626243,56%
Bank of Montreal,High,11213.681832153614,216.22210640653745,2%
Bank of Montreal,Low,11213.681832153614,5304.962562068596,47%
Bank of Montreal,Medium,11213.681832153614,5692.497163678477,51%
Bank of Nova Scotia,High,13855.714815203703,802.114234240917,6%
Bank of Nova Scotia,Low,13855.714815203703,7001.522485054308,51%
Bank of Nova Scotia,Medium,13855.714815203703,6052.078095908479,44%
Barclays PLC,High,42802.153202088244,371.7317265727803,1%
Barclays PLC,Low,42802.153202088244,15588.652650915621,36%
Barclays PLC,Medium,42802.153202088244,26841.768824599865,63%
Bpce SA,High,13486.1963203256,610.1120042627642,5%
Bpce SA,Low,13486.1963203256,8334.799253960504,62%
Bpce SA,Medium,13486.1963203256,4541.285062102335,34%
China Investment Corp*,High,29139.933882183475,744.3537792701549,3%
China Investment Corp*,Low,29139.933882183475,18912.251619700288,65%
China Investment Corp*,Medium,29139.933882183475,9483.328483213021,33%
Citigroup Inc,High,82028.43811614165,1942.0411228714318,2%
Citigroup Inc,Low,82028.43811614165,45366.377573639,55%
Citigroup Inc,Medium,82028.43811614165,34720.01941963126,42%
CoBank ACB,High,12329.585459457177,45.43598139703215,0%
CoBank ACB,Low,12329.585459457177,4753.389577484915,39%
CoBank ACB,Medium,12329.585459457177,7530.75990057524,61%
Commerzbank AG,High,12298.785464425884,126.88849853895398,1%
Commerzbank AG,Low,12298.785464425884,7696.84657958681,63%
Commerzbank AG,Medium,12298.785464425884,4475.050386300112,36%
Commonwealth Bank of Australia,High,7365.977771763243,69.18878355424714,1%
Commonwealth Bank of Australia,Low,7365.977771763243,4859.321074593765,66%
Commonwealth Bank of Australia,Medium,7365.977771763243,2437.4679136152363,33%
Cooperatieve Rabobank UA,High,26846.93102326285,2652.9140977902075,10%
Cooperatieve Rabobank UA,Low,26846.93102326285,10061.853874961704,37%
Cooperatieve Rabobank UA,Medium,26846.93102326285,14132.163050510924,53%
DBS Group Holdings Ltd,High,27058.09956303229,135.65695062531782,1%
DBS Group Holdings Ltd,Low,27058.09956303229,18377.496118077397,68%
DBS Group Holdings Ltd,Medium,27058.09956303229,8544.94649432954,32%
Deutsche Bank AG,High,36266.47720673548,2003.1796820934692,6%
Deutsche Bank AG,Low,36266.47720673548,15197.34586446892,42%
Deutsche Bank AG,Medium,36266.47720673548,19065.951660173057,53%
Goldman Sachs Group Inc,High,15589.50654298347,506.56111005919246,3%
Goldman Sachs Group Inc,Low,15589.50654298347,7698.390407237253,49%
Goldman Sachs Group Inc,Medium,15589.50654298347,7384.555025687019,47%
HSBC Holdings PLC,High,57627.342512870404,1424.606704552334,2%
HSBC Holdings PLC,Low,57627.342512870404,28437.09205476841,49%
HSBC Holdings PLC,Medium,57627.342512870404,27765.643753549786,48%
ING Groep NV,High,33064.59163675426,2488.498963543451,8%
ING Groep NV,Low,33064.59163675426,14605.504042312496,44%
ING Groep NV,Medium,33064.59163675426,15970.58863089831,48%
IUPAR Itau Unibanco Participacoes SA,High,8866.640266537888,3639.6045509478854,41%
IUPAR Itau Unibanco Participacoes SA,Low,8866.640266537888,2095.2434269784926,24%
IUPAR Itau Unibanco Participacoes SA,Medium,8866.640266537888,3131.792288611506,35%
Industrial and Commercial Bank of China Ltd*,High,14068.995098456213,269.4951471639318,2%
Industrial and Commercial Bank of China Ltd*,Low,14068.995098456213,11367.265243099466,81%
Industrial and Commercial Bank of China Ltd*,Medium,14068.995098456213,2432.234708192807,17%
Intesa Sanpaolo SpA,High,6049.0231380272235,67.37242725406362,1%
Intesa Sanpaolo SpA,Low,6049.0231380272235,3259.834454442085,54%
Intesa Sanpaolo SpA,Medium,6049.0231380272235,2721.816256331077,45%
JPMorgan Chase & Co,High,61735.73092643194,3742.4728532717663,6%
JPMorgan Chase & Co,Low,61735.73092643194,22468.740249544764,36%
JPMorgan Chase & Co,Medium,61735.73092643194,35524.51782361542,58%
Lloyds Banking Group PLC,High,8310.652350564676,69.18878355424714,1%
Lloyds Banking Group PLC,Low,8310.652350564676,7143.830752498291,86%
Lloyds Banking Group PLC,Medium,8310.652350564676,1097.6328145121427,13%
Mitsubishi UFJ Financial Group Inc,High,126844.9531399411,1159.8681231010974,1%
Mitsubishi UFJ Financial Group Inc,Low,126844.9531399411,108803.38905887281,86%
Mitsubishi UFJ Financial Group Inc,Medium,126844.9531399411,16881.695957967222,13%
Mizuho Financial Group Inc,High,99081.45623806331,499.13106365336637,1%
Mizuho Financial Group Inc,Low,99081.45623806331,85191.6852665652,86%
Mizuho Financial Group Inc,Medium,99081.45623806331,13390.63990784486,14%
Morgan Stanley,High,35543.987391735864,1336.7027184091512,4%
Morgan Stanley,Low,35543.987391735864,31683.21320126881,89%
Morgan Stanley,Medium,35543.987391735864,2524.071472057881,7%
NatWest Group PLC,High,14951.216484306435,158.241374274586,1%
NatWest Group PLC,Low,14951.216484306435,11283.313074019323,75%
NatWest Group PLC,Medium,14951.216484306435,3509.6620360125185,23%
National Australia Bank Ltd,High,8188.370095535589,93.61018496144018,1%
National Australia Bank Ltd,Low,8188.370095535589,5828.415034583989,71%
National Australia Bank Ltd,Medium,8188.370095535589,2266.3448759901676,28%
Norinchukin Bank,Low,15014.437956081776,14776.447436591412,98%
Norinchukin Bank,Medium,15014.437956081776,237.9905194903626,2%
Other financial institutions,High,87987.91006805593,8725.977919062892,10%
Other financial institutions,Low,192805.95820340415,141701.88696233425,73%
Other financial institutions,Medium,158237.11289626497,60444.518677837885,38%
Royal Bank of Canada,High,22021.94862052936,94.98703615411625,0%
Royal Bank of Canada,Low,22021.94862052936,8516.620362270329,39%
Royal Bank of Canada,Medium,22021.94862052936,13410.34122210493,61%
Sas Rue La Boetie,High,25281.451399397123,1053.3140683055967,4%
Sas Rue La Boetie,Low,25281.451399397123,19793.709968385203,78%
Sas Rue La Boetie,Medium,25281.451399397123,4434.427362706333,18%
Self-Arranged,High,13376.660397727352,2671.6278084527503,20%
Self-Arranged,Low,13376.660397727352,9144.639131378963,68%
Self-Arranged,Medium,13376.660397727352,1560.393457895637,12%
Societe Generale SA,High,31178.982582396056,855.6664321282893,3%
Societe Generale SA,Low,31178.982582396056,18484.125644771237,59%
Societe Generale SA,Medium,31178.982582396056,11839.190505496501,38%
Standard Chartered PLC,High,22351.557035820224,863.6124730731798,4%
Standard Chartered PLC,Low,22351.557035820224,10663.681626062313,48%
Standard Chartered PLC,Medium,22351.557035820224,10824.26293668469,48%
Sumitomo Mitsui Financial Group Inc,High,46328.26986776027,1203.1019519905838,3%
Sumitomo Mitsui Financial Group Inc,Low,46328.26986776027,34117.144060334285,74%
Sumitomo Mitsui Financial Group Inc,Medium,46328.26986776027,11008.02385543537,24%
Sumitomo Mitsui Trust Holdings Inc,High,18453.338811535465,99.2678689128346,1%
Sumitomo Mitsui Trust Holdings Inc,Low,18453.338811535465,17772.41095050773,96%
Sumitomo Mitsui Trust Holdings Inc,Medium,18453.338811535465,581.6599921148958,3%
Toronto-Dominion Bank,High,12912.480387044365,79.22124159235858,1%
Toronto-Dominion Bank,Low,12912.480387044365,5699.520547718258,44%
Toronto-Dominion Bank,Medium,12912.480387044365,7133.738597733749,55%
UBS Group AG,High,59351.720671998824,1669.7138474838107,3%
UBS Group AG,Low,59351.720671998824,29006.11094252801,49%
UBS Group AG,Medium,59351.720671998824,28675.89588198704,48%
US Bancorp,High,7823.853820406865,397.0657847840638,5%
US Bancorp,Low,7823.853820406865,1194.7087143703582,15%
