fi_name_for_plot,financial_flow_link_strength,total_usd_m,total_usd_m_this_strength,pct_this_strength_for_fi
ABN Amro Bank NV,High,13822.42070065104,747.1428593800623,5%
ABN Amro Bank NV,Low,13822.42070065104,6329.793254783739,46%
ABN Amro Bank NV,Medium,13822.42070065104,6745.484586487242,49%
ANZ Group Holdings Ltd,High,25293.47325386989,246.30825205335128,1%
ANZ Group Holdings Ltd,Low,25293.47325386989,11532.031324171805,46%
ANZ Group Holdings Ltd,Medium,25293.47325386989,13515.13367764463,53%
BNP Paribas SA,High,85866.31343880268,1743.30021954804,2%
BNP Paribas SA,Low,85866.31343880268,47034.787413353544,55%
BNP Paribas SA,Medium,85866.31343880268,37088.225805901144,43%
BTG Pactual G7 Holding SA,High,10968.014550961754,6857.098712411707,63%
BTG Pactual G7 Holding SA,Low,10968.014550961754,2041.8020478760056,19%
BTG Pactual G7 Holding SA,Medium,10968.014550961754,2069.113790674034,19%
Banco Bilbao Vizcaya Argentaria SA,High,18890.912263271577,163.49311067780587,1%
Banco Bilbao Vizcaya Argentaria SA,Low,18890.912263271577,9612.401842744319,51%
Banco Bilbao Vizcaya Argentaria SA,Medium,18890.912263271577,9115.017309849422,48%
Banco Bradesco SA,High,21212.380300287397,9254.048218144604,44%
Banco Bradesco SA,Low,21212.380300287397,5333.988456859135,25%
Banco Bradesco SA,Medium,21212.380300287397,6624.34362528367,31%
Banco Santander SA,High,55331.18301459621,7424.154406987374,13%
Banco Santander SA,Low,55331.18301459621,28817.74952068014,52%
Banco Santander SA,Medium,55331.18301459621,19089.27908692876,35%
Banco do Brasil SA*,High,13533.89095506703,6456.715691816072,48%
Banco do Brasil SA*,Low,13533.89095506703,3389.559425441549,25%
Banco do Brasil SA*,Medium,13533.89095506703,3687.615837809415,27%
Bank VTB PAO*,Low,14852.022908332476,14852.022908332476,100%
Bank of America Corp,High,84155.59549351971,2171.6119889581955,3%
Bank of America Corp,Low,84155.59549351971,37246.59534186988,44%
Bank of America Corp,Medium,84155.59549351971,44737.388162691685,53%
Bank of Montreal,High,14472.386362678524,216.22210640653745,1%
Bank of Montreal,Low,14472.386362678524,6195.746636775377,43%
Bank of Montreal,Medium,14472.386362678524,8060.417619496612,56%
Bank of Nova Scotia,High,16588.12713620122,1219.1354781156338,7%
Bank of Nova Scotia,Low,16588.12713620122,8061.179226236128,49%
Bank of Nova Scotia,Medium,16588.12713620122,7307.812431849449,44%
Barclays PLC,High,65359.82733516909,463.0980893672627,1%
Barclays PLC,Low,65359.82733516909,25808.24109363048,39%
Barclays PLC,Medium,65359.82733516909,39088.488152171354,60%
Bpce SA,High,20673.944405282527,1088.2194621713438,5%
Bpce SA,Low,20673.944405282527,11614.328585747646,56%
Bpce SA,Medium,20673.944405282527,7971.396357363468,39%
China Investment Corp*,High,38269.12189628309,888.193839721266,2%
China Investment Corp*,Low,38269.12189628309,23508.776386226626,61%
China Investment Corp*,Medium,38269.12189628309,13872.151670335244,36%
Citigroup Inc,High,128383.18836204577,3262.963786130906,3%
Citigroup Inc,Low,128383.18836204577,67328.75842622871,52%
Citigroup Inc,Medium,128383.18836204577,57791.46614968633,45%
CoBank ACB,High,15581.36121299651,61.76971512291125,0%
CoBank ACB,Low,15581.36121299651,6270.359300743097,40%
