fi_name_for_plot,financial_flow_link_strength,total_usd_m,total_usd_m_this_strength,pct_this_strength_for_fi
ABN Amro Bank NV,High,12828.865081385122,681.2015313144403,5%
ABN Amro Bank NV,Low,12828.865081385122,6228.127923240485,49%
ABN Amro Bank NV,Medium,12828.865081385122,5919.5356268302085,46%
ANZ Group Holdings Ltd,High,24850.92152228086,246.01463815542974,1%
ANZ Group Holdings Ltd,Low,24850.92152228086,11532.031324171805,46%
ANZ Group Holdings Ltd,Medium,24850.92152228086,13072.875559953522,53%
BNP Paribas SA,High,85165.48633263425,1622.6719912239332,2%
BNP Paribas SA,Low,85165.48633263425,47033.69894367955,55%
BNP Paribas SA,Medium,85165.48633263425,36509.11539773077,43%
BTG Pactual G7 Holding SA,High,10442.059265751297,6331.143427201251,61%
BTG Pactual G7 Holding SA,Low,10442.059265751297,2041.8020478760056,20%
BTG Pactual G7 Holding SA,Medium,10442.059265751297,2069.113790674034,20%
Banco Bilbao Vizcaya Argentaria SA,High,18584.377456759186,163.19949677988433,1%
Banco Bilbao Vizcaya Argentaria SA,Low,18584.377456759186,9612.401842744319,52%
Banco Bilbao Vizcaya Argentaria SA,Medium,18584.377456759186,8808.776117234951,47%
Banco Bradesco SA,High,20510.82416029966,8724.302468369302,43%
Banco Bradesco SA,Low,20510.82416029966,5205.816956023892,25%
Banco Bradesco SA,Medium,20510.82416029966,6580.704735906479,32%
Banco Santander SA,High,54329.99549339569,6918.8265197341025,13%
Banco Santander SA,Low,54329.99549339569,28588.238633214758,53%
Banco Santander SA,Medium,54329.99549339569,18822.93034044689,35%
Banco do Brasil SA*,High,12285.817229459044,5690.770294922575,46%
Banco do Brasil SA*,Low,12285.817229459044,3261.7138695194217,27%
Banco do Brasil SA*,Medium,12285.817229459044,3333.333065017053,27%
Bank VTB PAO*,Low,14852.022908332476,14852.022908332476,100%
Bank of America Corp,High,82162.4502249217,1951.0517347461214,2%
Bank of America Corp,Low,82162.4502249217,35768.38285652703,44%
Bank of America Corp,Medium,82162.4502249217,44443.015633648574,54%
Bank of Montreal,High,14471.775215966432,216.22210640653745,1%
Bank of Montreal,Low,14471.775215966432,6195.135490063285,43%
Bank of Montreal,Medium,14471.775215966432,8060.417619496612,56%
Bank of Nova Scotia,High,16588.12713620122,1219.1354781156338,7%
Bank of Nova Scotia,Low,16588.12713620122,8061.179226236128,49%
Bank of Nova Scotia,Medium,16588.12713620122,7307.812431849449,44%
Barclays PLC,High,65298.75893151226,463.0980893672627,1%
Barclays PLC,Low,65298.75893151226,25808.24109363048,40%
Barclays PLC,Medium,65298.75893151226,39027.41974851453,60%
Bpce SA,High,19778.279255608206,1022.2781341057223,5%
Bpce SA,Low,19778.279255608206,11614.002640834531,59%
Bpce SA,Medium,19778.279255608206,7141.998480667891,36%
China Investment Corp*,High,37341.940365928116,853.7618175552091,2%
China Investment Corp*,Low,37341.940365928116,23507.58064240568,63%
China Investment Corp*,Medium,37341.940365928116,12980.597905967279,35%
Citigroup Inc,High,125766.05099463183,2492.4040881648084,2%
Citigroup Inc,Low,125766.05099463183,65784.65292702586,52%
Citigroup Inc,Medium,125766.05099463183,57488.99397944141,46%
CoBank ACB,High,15499.720926956306,61.140542484507954,0%
CoBank ACB,Low,15499.720926956306,6270.359300743097,40%
CoBank ACB,Medium,15499.720926956306,9168.22108372872,59%
Commerzbank AG,High,18605.14295813748,153.69476460519996,1%
Commerzbank AG,Low,18605.14295813748,12059.145507325791,65%
Commerzbank AG,Medium,18605.14295813748,6392.302686206433,34%
Commonwealth Bank of Australia,High,8928.101391701926,69.18878355424714,1%
Commonwealth Bank of Australia,Low,8928.101391701926,5590.547781206463,63%
Commonwealth Bank of Australia,Medium,8928.101391701926,3268.3648269412233,37%
Cooperatieve Rabobank UA,High,34752.65919358748,3137.9697217273956,9%
Cooperatieve Rabobank UA,Low,34752.65919358748,13003.586477769786,37%
Cooperatieve Rabobank UA,Medium,34752.65919358748,18611.10299409027,54%
DBS Group Holdings Ltd,High,32417.92069606568,150.47772099335182,0%
DBS Group Holdings Ltd,Low,32417.92069606568,21808.03506885993,67%
DBS Group Holdings Ltd,Medium,32417.92069606568,10459.407906212342,32%
Deutsche Bank AG,High,57987.59167433891,2722.241544602258,5%
Deutsche Bank AG,Low,57987.59167433891,26315.683748637566,45%
Deutsche Bank AG,Medium,57987.59167433891,28949.66638109913,50%
Goldman Sachs Group Inc,High,32202.61270287351,662.9318599815317,2%
Goldman Sachs Group Inc,Low,32202.61270287351,18556.15130916551,58%
Goldman Sachs Group Inc,Medium,32202.61270287351,12983.529533726485,40%
HSBC Holdings PLC,High,85746.7829152509,2957.738210241765,3%
HSBC Holdings PLC,Low,85746.7829152509,42943.43088573225,50%
HSBC Holdings PLC,Medium,85746.7829152509,39845.61381927693,46%
ING Groep NV,High,44600.309920197695,2578.3167598627474,6%
ING Groep NV,Low,44600.309920197695,19640.66810159892,44%
ING Groep NV,Medium,44600.309920197695,22381.32505873608,50%
IUPAR Itau Unibanco Participacoes SA,High,13320.927691009552,5848.012604431146,44%
IUPAR Itau Unibanco Participacoes SA,Low,13320.927691009552,2600.303301215193,20%
IUPAR Itau Unibanco Participacoes SA,Medium,13320.927691009552,4872.611785363206,37%
Industrial and Commercial Bank of China Ltd*,High,18744.78602890644,318.5133770446902,2%
Industrial and Commercial Bank of China Ltd*,Low,18744.78602890644,15605.682463039695,83%
Industrial and Commercial Bank of China Ltd*,Medium,18744.78602890644,2820.5901888220515,15%
JPMorgan Chase & Co,High,91769.91308862584,4586.111548259273,5%
JPMorgan Chase & Co,Low,91769.91308862584,34917.437863570565,38%
JPMorgan Chase & Co,Medium,91769.91308862584,52266.363676795976,57%
Lloyds Banking Group PLC,High,13066.305884275953,69.18878355424714,1%
Lloyds Banking Group PLC,Low,13066.305884275953,11405.147722246387,87%
Lloyds Banking Group PLC,Medium,13066.305884275953,1591.9693784753101,12%
Mitsubishi UFJ Financial Group Inc,High,155398.33885572446,1642.0599300118397,1%
Mitsubishi UFJ Financial Group Inc,Low,155398.33885572446,128384.03661433076,83%
Mitsubishi UFJ Financial Group Inc,Medium,155398.33885572446,25372.242311381353,16%
Mizuho Financial Group Inc,High,121986.35163596543,808.7466260009206,1%
Mizuho Financial Group Inc,Low,121986.35163596543,102477.1215120879,84%
Mizuho Financial Group Inc,Medium,121986.35163596543,18700.483497876747,15%
Morgan Stanley,High,54610.061578163164,1640.7765907867263,3%
Morgan Stanley,Low,54610.061578163164,47759.87971143202,87%
Morgan Stanley,Medium,54610.061578163164,5209.405275944442,10%
NatWest Group PLC,High,32230.549397855568,158.241374274586,0%
NatWest Group PLC,Low,32230.549397855568,21614.475469158628,67%
NatWest Group PLC,Medium,32230.549397855568,10457.832554422348,32%
National Australia Bank Ltd,High,9097.409332116938,93.61018496144018,1%
National Australia Bank Ltd,Low,9097.409332116938,6064.555498946156,67%
National Australia Bank Ltd,Medium,9097.409332116938,2939.2436482093462,32%
Norinchukin Bank,Low,16821.01106660629,16378.549402930204,97%
Norinchukin Bank,Medium,16821.01106660629,442.4616636760922,3%
Other financial institutions,High,120180.40824521153,12662.635895809535,11%
Other financial institutions,Low,256827.84739870243,178221.1436700779,69%
Other financial institutions,Medium,222174.78390893489,88442.50956017687,40%
Royal Bank of Canada,High,31747.808869981967,110.53491128210572,0%
Royal Bank of Canada,Low,31747.808869981967,10760.09975990311,34%
Royal Bank of Canada,Medium,31747.808869981967,20877.174198796765,66%
Sas Rue La Boetie,High,39901.287128295095,1928.4756039197323,5%
Sas Rue La Boetie,Low,39901.287128295095,29506.37881453409,74%
Sas Rue La Boetie,Medium,39901.287128295095,8466.432709841263,21%
Self-Arranged,High,16347.586054266847,2671.63105004005,16%
Self-Arranged,Low,16347.586054266847,10720.608055575867,66%
Self-Arranged,Medium,16347.586054266847,2955.3469486509266,18%
Societe Generale SA,High,51067.07372254734,1075.2475667732738,2%
Societe Generale SA,Low,51067.07372254734,30628.733842691494,60%
Societe Generale SA,Medium,51067.07372254734,19363.092313082594,38%
Standard Chartered PLC,High,35117.129744921585,1085.8576357288898,3%
Standard Chartered PLC,Low,35117.129744921585,17273.924306554825,49%
Standard Chartered PLC,Medium,35117.129744921585,16757.347802637847,48%
Sumitomo Mitsui Financial Group Inc,High,59244.02116543401,1255.420094733249,2%
Sumitomo Mitsui Financial Group Inc,Low,59244.02116543401,42669.68870818636,72%
Sumitomo Mitsui Financial Group Inc,Medium,59244.02116543401,15318.912362514386,26%
Sumitomo Mitsui Trust Holdings Inc,High,20574.34302448101,110.80246277534393,1%
Sumitomo Mitsui Trust Holdings Inc,Low,20574.34302448101,19858.59930763715,97%
Sumitomo Mitsui Trust Holdings Inc,Medium,20574.34302448101,604.9412540685136,3%
Toronto-Dominion Bank,High,22111.34725840604,79.22124159235858,0%
Toronto-Dominion Bank,Low,22111.34725840604,8257.460409101992,37%
Toronto-Dominion Bank,Medium,22111.34725840604,13774.66560771167,62%
UBS Group AG,High,100363.30171029428,2784.4771252417067,3%
UBS Group AG,Low,100363.30171029428,47544.85962121708,47%
UBS Group AG,Medium,100363.30171029428,50033.964963835475,50%
US Bancorp,High,11217.752982885911,422.94634962390563,4%
US Bancorp,Low,11217.752982885911,1821.301923910894,16%
US Bancorp,Medium,11217.752982885911,8973.504709351111,80%
Undisclosed Advisor,High,58469.052138773186,14.5669455196238,0%
Undisclosed Advisor,Low,58469.052138773186,26357.410443199162,45%
Undisclosed Advisor,Medium,58469.052138773186,32097.074750054388,55%
UniCredit SpA,High,11287.051817502756,266.5070083934265,2%
UniCredit SpA,Low,11287.051817502756,5187.541309866597,46%
UniCredit SpA,Medium,11287.051817502756,5833.003499242744,52%
United Overseas Bank Ltd,Low,10954.433115005262,9649.267200458582,88%
United Overseas Bank Ltd,Medium,10954.433115005262,1305.1659145466788,12%
Wells Fargo & Co,High,17785.579226686215,79.22124159235858,0%
Wells Fargo & Co,Low,17785.579226686215,5103.021371378091,29%
Wells Fargo & Co,Medium,17785.579226686215,12603.336613715765,71%
Zuercher Kantonalbank*,High,9708.984477914291,95.25955780724061,1%
Zuercher Kantonalbank*,Low,9708.984477914291,2825.8628405716563,29%
Zuercher Kantonalbank*,Medium,9708.984477914291,6787.8620795353945,70%
