manager_true_ultimate_parent_region_of_headquarters_unsd,asset_class,financial_flow_link_strength,total_usd_m,region_for_plot,asset_class_for_plot
Africa,Equity deals,Low,10.750691207710869,"Africa 
(US$8,019m)","Equity deals 
(US$68,979m)"
Africa,Loan deals,High,118.17279309638239,"Africa 
(US$8,019m)","Loan deals 
(US$1,130,082m)"
Africa,Loan deals,Low,7548.936748876752,"Africa 
(US$8,019m)","Loan deals 
(US$1,130,082m)"
Africa,Loan deals,Medium,340.9628137602561,"Africa 
(US$8,019m)","Loan deals 
(US$1,130,082m)"
Asia,Bond deals,High,631.3431022641694,"Asia 
(US$499,286m)","Bond deals 
(US$436,239m)"
Asia,Bond deals,Low,83227.20907331971,"Asia 
(US$499,286m)","Bond deals 
(US$436,239m)"
Asia,Bond deals,Medium,16966.06940009285,"Asia 
(US$499,286m)","Bond deals 
(US$436,239m)"
Asia,Equity deals,High,0,"Asia 
(US$499,286m)","Equity deals 
(US$68,979m)"
Asia,Equity deals,Low,13029.961671086032,"Asia 
(US$499,286m)","Equity deals 
(US$68,979m)"
Asia,Equity deals,Medium,2869.6645358257456,"Asia 
(US$499,286m)","Equity deals 
(US$68,979m)"
Asia,Loan deals,High,5410.692309916748,"Asia 
(US$499,286m)","Loan deals 
(US$1,130,082m)"
Asia,Loan deals,Low,306539.04653412686,"Asia 
(US$499,286m)","Loan deals 
(US$1,130,082m)"
Asia,Loan deals,Medium,70611.8471619662,"Asia 
(US$499,286m)","Loan deals 
(US$1,130,082m)"
Europe,Bond deals,High,6656.7777348714935,"Europe 
(US$583,743m)","Bond deals 
(US$436,239m)"
Europe,Bond deals,Low,106905.41090731206,"Europe 
(US$583,743m)","Bond deals 
(US$436,239m)"
Europe,Bond deals,Medium,61284.99718924428,"Europe 
(US$583,743m)","Bond deals 
(US$436,239m)"
Europe,Equity deals,High,3163.1125263201634,"Europe 
(US$583,743m)","Equity deals 
(US$68,979m)"
Europe,Equity deals,Low,13015.489468598827,"Europe 
(US$583,743m)","Equity deals 
(US$68,979m)"
Europe,Equity deals,Medium,3231.072537701018,"Europe 
(US$583,743m)","Equity deals 
(US$68,979m)"
Europe,Loan deals,High,14073.31624319171,"Europe 
(US$583,743m)","Loan deals 
(US$1,130,082m)"
Europe,Loan deals,Low,191031.66595645968,"Europe 
(US$583,743m)","Loan deals 
(US$1,130,082m)"
Europe,Loan deals,Medium,184381.63079522396,"Europe 
(US$583,743m)","Loan deals 
(US$1,130,082m)"
Latin America and the Caribbean,Bond deals,High,15106.431235789463,"Latin America and the Caribbean 
(US$52,907m)","Bond deals 
(US$436,239m)"
Latin America and the Caribbean,Bond deals,Low,8804.355492222305,"Latin America and the Caribbean 
(US$52,907m)","Bond deals 
(US$436,239m)"
Latin America and the Caribbean,Bond deals,Medium,7666.501594384431,"Latin America and the Caribbean 
(US$52,907m)","Bond deals 
(US$436,239m)"
Latin America and the Caribbean,Equity deals,High,10597.844106915925,"Latin America and the Caribbean 
(US$52,907m)","Equity deals 
(US$68,979m)"
Latin America and the Caribbean,Equity deals,Low,160.99248256239918,"Latin America and the Caribbean 
(US$52,907m)","Equity deals 
(US$68,979m)"
Latin America and the Caribbean,Equity deals,Medium,90.15439636971058,"Latin America and the Caribbean 
(US$52,907m)","Equity deals 
(US$68,979m)"
Latin America and the Caribbean,Loan deals,High,2490.804840419645,"Latin America and the Caribbean 
(US$52,907m)","Loan deals 
(US$1,130,082m)"
Latin America and the Caribbean,Loan deals,Low,4602.683526233668,"Latin America and the Caribbean 
(US$52,907m)","Loan deals 
(US$1,130,082m)"
Latin America and the Caribbean,Loan deals,Medium,3387.1047804452355,"Latin America and the Caribbean 
(US$52,907m)","Loan deals 
(US$1,130,082m)"
Northern America,Bond deals,High,5547.66459783982,"Northern America 
(US$396,568m)","Bond deals 
(US$436,239m)"
Northern America,Bond deals,Low,71180.86926317301,"Northern America 
(US$396,568m)","Bond deals 
(US$436,239m)"
Northern America,Bond deals,Medium,46505.50437423241,"Northern America 
(US$396,568m)","Bond deals 
(US$436,239m)"
Northern America,Equity deals,High,3640.9779750657794,"Northern America 
(US$396,568m)","Equity deals 
(US$68,979m)"
Northern America,Equity deals,Low,16874.75898574008,"Northern America 
(US$396,568m)","Equity deals 
(US$68,979m)"
Northern America,Equity deals,Medium,2119.894213612465,"Northern America 
(US$396,568m)","Equity deals 
(US$68,979m)"
Northern America,Loan deals,High,5012.1487736000845,"Northern America 
(US$396,568m)","Loan deals 
(US$1,130,082m)"
Northern America,Loan deals,Low,97787.53271849462,"Northern America 
(US$396,568m)","Loan deals 
(US$1,130,082m)"
Northern America,Loan deals,Medium,147898.48218785075,"Northern America 
(US$396,568m)","Loan deals 
(US$1,130,082m)"
Oceania,Bond deals,Low,2540.5291766820483,"Oceania 
(US$40,273m)","Bond deals 
(US$436,239m)"
Oceania,Bond deals,Medium,775.6064115926406,"Oceania 
(US$40,273m)","Bond deals 
(US$436,239m)"
Oceania,Equity deals,Medium,102.6793008051514,"Oceania 
(US$40,273m)","Equity deals 
(US$68,979m)"
Oceania,Loan deals,High,390.2438315323735,"Oceania 
(US$40,273m)","Loan deals 
(US$1,130,082m)"
Oceania,Loan deals,Low,21337.924646386367,"Oceania 
(US$40,273m)","Loan deals 
(US$1,130,082m)"
Oceania,Loan deals,Medium,15126.4290515935,"Oceania 
(US$40,273m)","Loan deals 
(US$1,130,082m)"
NA,Bond deals,High,503.5006760511276,"NA 
(US$54,504m)","Bond deals 
(US$436,239m)"
NA,Bond deals,Low,282.0780201848935,"NA 
(US$54,504m)","Bond deals 
(US$436,239m)"
NA,Bond deals,Medium,1654.0714915322053,"NA 
(US$54,504m)","Bond deals 
(US$436,239m)"
NA,Equity deals,High,5.448809629887724,"NA 
(US$54,504m)","Equity deals 
(US$68,979m)"
NA,Equity deals,Low,3.6615767302688886,"NA 
(US$54,504m)","Equity deals 
(US$68,979m)"
NA,Equity deals,Medium,62.77920906388645,"NA 
(US$54,504m)","Equity deals 
(US$68,979m)"
NA,Loan deals,Low,23099.999813826722,"NA 
(US$54,504m)","Loan deals 
(US$1,130,082m)"
NA,Loan deals,Medium,28892.05502697338,"NA 
(US$54,504m)","Loan deals 
(US$1,130,082m)"
