manager_true_ultimate_parent_region_of_headquarters_unsd,asset_class,financial_flow_link_strength,total_usd_m,region_for_plot,asset_class_for_plot
Africa,Equity deals,Low,10.750691207710869,"Africa 
(US$8,945m)","Equity deals 
(US$81,083m)"
Africa,Loan deals,High,135.60853538335869,"Africa 
(US$8,945m)","Loan deals 
(US$1,285,877m)"
Africa,Loan deals,Low,8418.55409210575,"Africa 
(US$8,945m)","Loan deals 
(US$1,285,877m)"
Africa,Loan deals,Medium,379.87682798311187,"Africa 
(US$8,945m)","Loan deals 
(US$1,285,877m)"
Asia,Bond deals,High,894.0778215898296,"Asia 
(US$563,624m)","Bond deals 
(US$574,555m)"
Asia,Bond deals,Low,99003.81212438634,"Asia 
(US$563,624m)","Bond deals 
(US$574,555m)"
Asia,Bond deals,Medium,19495.835338756406,"Asia 
(US$563,624m)","Bond deals 
(US$574,555m)"
Asia,Equity deals,High,0,"Asia 
(US$563,624m)","Equity deals 
(US$81,083m)"
Asia,Equity deals,Low,13124.930222037285,"Asia 
(US$563,624m)","Equity deals 
(US$81,083m)"
Asia,Equity deals,Medium,4176.939022187167,"Asia 
(US$563,624m)","Equity deals 
(US$81,083m)"
Asia,Loan deals,High,5851.1156188262385,"Asia 
(US$563,624m)","Loan deals 
(US$1,285,877m)"
Asia,Loan deals,Low,346399.14449897193,"Asia 
(US$563,624m)","Loan deals 
(US$1,285,877m)"
Asia,Loan deals,Medium,74678.20808641934,"Asia 
(US$563,624m)","Loan deals 
(US$1,285,877m)"
Europe,Bond deals,High,9941.383247648238,"Europe 
(US$707,500m)","Bond deals 
(US$574,555m)"
Europe,Bond deals,Low,153406.5142129963,"Europe 
(US$707,500m)","Bond deals 
(US$574,555m)"
Europe,Bond deals,Medium,78100.9966007523,"Europe 
(US$707,500m)","Bond deals 
(US$574,555m)"
Europe,Equity deals,High,3169.616231184559,"Europe 
(US$707,500m)","Equity deals 
(US$81,083m)"
Europe,Equity deals,Low,14898.165414008628,"Europe 
(US$707,500m)","Equity deals 
(US$81,083m)"
