manager_true_ultimate_parent_region_of_headquarters_unsd,asset_class,financial_flow_link_strength,total_usd_m,region_for_plot,asset_class_for_plot
Africa,Equity deals,Low,10.750691207710869,"Africa 
(US$10,514m)","Equity deals 
(US$92,544m)"
Africa,Loan deals,High,135.60853538335869,"Africa 
(US$10,514m)","Loan deals 
(US$1,484,914m)"
Africa,Loan deals,Low,9730.190521833283,"Africa 
(US$10,514m)","Loan deals 
(US$1,484,914m)"
Africa,Loan deals,Medium,637.7179283721207,"Africa 
(US$10,514m)","Loan deals 
(US$1,484,914m)"
Asia,Bond deals,High,916.5305073436801,"Asia 
(US$600,409m)","Bond deals 
(US$712,686m)"
Asia,Bond deals,Low,107223.82057579503,"Asia 
(US$600,409m)","Bond deals 
(US$712,686m)"
Asia,Bond deals,Medium,24246.428984594284,"Asia 
(US$600,409m)","Bond deals 
(US$712,686m)"
Asia,Equity deals,High,0,"Asia 
(US$600,409m)","Equity deals 
(US$92,544m)"
Asia,Equity deals,Low,5343.209950915063,"Asia 
(US$600,409m)","Equity deals 
(US$92,544m)"
Asia,Equity deals,Medium,2523.7063067955482,"Asia 
(US$600,409m)","Equity deals 
(US$92,544m)"
Asia,Loan deals,High,6231.015830822095,"Asia 
(US$600,409m)","Loan deals 
(US$1,484,914m)"
Asia,Loan deals,Low,358649.2761851879,"Asia 
(US$600,409m)","Loan deals 
(US$1,484,914m)"
Asia,Loan deals,Medium,95274.64727033954,"Asia 
(US$600,409m)","Loan deals 
(US$1,484,914m)"
Europe,Bond deals,High,12059.668667223443,"Europe 
(US$894,933m)","Bond deals 
(US$712,686m)"
Europe,Bond deals,Low,211041.85674208915,"Europe 
(US$894,933m)","Bond deals 
(US$712,686m)"
Europe,Bond deals,Medium,92378.35263828938,"Europe 
(US$894,933m)","Bond deals 
(US$712,686m)"
Europe,Equity deals,High,3650.4876708204783,"Europe 
(US$894,933m)","Equity deals 
(US$92,544m)"
Europe,Equity deals,Low,14532.715621885896,"Europe 
(US$894,933m)","Equity deals 
(US$92,544m)"
Europe,Equity deals,Medium,6428.91596481594,"Europe 
(US$894,933m)","Equity deals 
(US$92,544m)"
Europe,Loan deals,High,17997.21922974916,"Europe 
(US$894,933m)","Loan deals 
(US$1,484,914m)"
Europe,Loan deals,Low,246492.85817023824,"Europe 
(US$894,933m)","Loan deals 
(US$1,484,914m)"
Europe,Loan deals,Medium,290350.9761266289,"Europe 
(US$894,933m)","Loan deals 
(US$1,484,914m)"
Latin America and the Caribbean,Bond deals,High,19558.886522765926,"Latin America and the Caribbean 
(US$69,167m)","Bond deals 
(US$712,686m)"
Latin America and the Caribbean,Bond deals,Low,11073.091307687091,"Latin America and the Caribbean 
(US$69,167m)","Bond deals 
(US$712,686m)"
Latin America and the Caribbean,Bond deals,Medium,12952.508072988296,"Latin America and the Caribbean 
(US$69,167m)","Bond deals 
(US$712,686m)"
Latin America and the Caribbean,Equity deals,High,9371.502340799192,"Latin America and the Caribbean 
(US$69,167m)","Equity deals 
(US$92,544m)"
Latin America and the Caribbean,Equity deals,Low,113.0122769138098,"Latin America and the Caribbean 
(US$69,167m)","Equity deals 
(US$92,544m)"
Latin America and the Caribbean,Equity deals,Medium,1399.3544594717248,"Latin America and the Caribbean 
(US$69,167m)","Equity deals 
(US$92,544m)"
Latin America and the Caribbean,Loan deals,High,3292.4167969569066,"Latin America and the Caribbean 
(US$69,167m)","Loan deals 
(US$1,484,914m)"
Latin America and the Caribbean,Loan deals,Low,6086.64797271341,"Latin America and the Caribbean 
(US$69,167m)","Loan deals 
(US$1,484,914m)"
Latin America and the Caribbean,Loan deals,Medium,5319.195028137929,"Latin America and the Caribbean 
(US$69,167m)","Loan deals 
(US$1,484,914m)"
Northern America,Bond deals,High,7543.279160292552,"Northern America 
(US$582,399m)","Bond deals 
(US$712,686m)"
Northern America,Bond deals,Low,138006.6433123339,"Northern America 
(US$582,399m)","Bond deals 
(US$712,686m)"
Northern America,Bond deals,Medium,67744.32572218274,"Northern America 
(US$582,399m)","Bond deals 
(US$712,686m)"
Northern America,Equity deals,High,4343.461395348849,"Northern America 
(US$582,399m)","Equity deals 
(US$92,544m)"
Northern America,Equity deals,Low,18592.217330238753,"Northern America 
(US$582,399m)","Equity deals 
(US$92,544m)"
Northern America,Equity deals,Medium,7749.84593754749,"Northern America 
(US$582,399m)","Equity deals 
(US$92,544m)"
Northern America,Loan deals,High,6052.255726454823,"Northern America 
(US$582,399m)","Loan deals 
(US$1,484,914m)"
Northern America,Loan deals,Low,121584.1404306514,"Northern America 
(US$582,399m)","Loan deals 
(US$1,484,914m)"
Northern America,Loan deals,Medium,210783.06077228137,"Northern America 
(US$582,399m)","Loan deals 
(US$1,484,914m)"
Oceania,Bond deals,Low,3836.5579103425957,"Oceania 
(US$52,736m)","Bond deals 
(US$712,686m)"
Oceania,Bond deals,Medium,1389.0339819873025,"Oceania 
(US$52,736m)","Bond deals 
(US$712,686m)"
Oceania,Equity deals,Medium,487.86041019303394,"Oceania 
(US$52,736m)","Equity deals 
(US$92,544m)"
Oceania,Loan deals,High,409.10722056903813,"Oceania 
(US$52,736m)","Loan deals 
(US$1,484,914m)"
Oceania,Loan deals,Low,23713.43947232783,"Oceania 
(US$52,736m)","Loan deals 
(US$1,484,914m)"
Oceania,Loan deals,Medium,22899.615654184086,"Oceania 
(US$52,736m)","Loan deals 
(US$1,484,914m)"
NA,Bond deals,High,771.6152136127525,"NA 
(US$79,986m)","Bond deals 
(US$712,686m)"
NA,Bond deals,Low,289.4522017798513,"NA 
(US$79,986m)","Bond deals 
(US$712,686m)"
NA,Bond deals,Medium,1654.0714915322053,"NA 
(US$79,986m)","Bond deals 
(US$712,686m)"
NA,Equity deals,High,4152.300748208507,"NA 
(US$79,986m)","Equity deals 
(US$92,544m)"
NA,Equity deals,Low,10726.96417364027,"NA 
(US$79,986m)","Equity deals 
(US$92,544m)"
NA,Equity deals,Medium,3117.75136292511,"NA 
(US$79,986m)","Equity deals 
(US$92,544m)"
NA,Loan deals,High,27.380316716201207,"NA 
(US$79,986m)","Loan deals 
(US$1,484,914m)"
NA,Loan deals,Low,26736.79809408579,"NA 
(US$79,986m)","Loan deals 
(US$1,484,914m)"
NA,Loan deals,Medium,32509.93677595898,"NA 
(US$79,986m)","Loan deals 
(US$1,484,914m)"
