,GID,exporter_group,Adjusted_deforestation_exposure,Producer country,Year,Commodity
0,BOL.1.4_2,UNKNOWN,5.220362683105469,Bolivia,2020,Soya beans
1,BOL.2.7_2,UNKNOWN,0.5721673187833691,Bolivia,2020,Soya beans
2,BOL.3.1_2,UNKNOWN,652.117967510552,Bolivia,2020,Soya beans
3,BOL.3.2_2,UNKNOWN,5.882880882760977,Bolivia,2020,Soya beans
4,BOL.3.3_2,UNKNOWN,13.625922280433327,Bolivia,2020,Soya beans
5,BOL.3.5_2,UNKNOWN,47.154411366514864,Bolivia,2020,Soya beans
6,BOL.4.11_2,UNKNOWN,0.0092798624862077,Bolivia,2020,Soya beans
7,BOL.4.21_2,UNKNOWN,0.1874293743100837,Bolivia,2020,Soya beans
8,BOL.4.2_2,UNKNOWN,3.289145323142304,Bolivia,2020,Soya beans
9,BOL.4.6_2,UNKNOWN,0.0633068121415744,Bolivia,2020,Soya beans
10,BOL.8.10_2,AGROINDUSTRIAS VARGAS GOMEZ GARCIA SRL,0.05854767042079647,Bolivia,2020,Soya beans
11,BOL.8.10_2,AGROTRAM SRL,1.2444332521312822,Bolivia,2020,Soya beans
12,BOL.8.10_2,CALIDAD FREJOLERA BOLIVIANA IMPORT EXPORT SRL,0.07107483564471345,Bolivia,2020,Soya beans
13,BOL.8.10_2,CARGILL,26.54484789226036,Bolivia,2020,Soya beans
14,BOL.8.10_2,EMPRESA DE TRANSFORMACION AGROINDUSTRIAL SA - ETASA,6.08833981353068,Bolivia,2020,Soya beans
15,BOL.8.10_2,HUGO SPECHAR GONZALES - GRANOS,497.981040901394,Bolivia,2020,Soya beans
16,BOL.8.10_2,INDUSTRIAS DE ACEITE S.A.,830.9427686054437,Bolivia,2020,Soya beans
17,BOL.8.10_2,INDUSTRIAS OLEAGINOSAS S.A.,251.77690778557619,Bolivia,2020,Soya beans
18,BOL.8.10_2,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,12.971984125237036,Bolivia,2020,Soya beans
19,BOL.8.10_2,PROCESADORA DE OLEAGINOSAS PROLEGA S.A. PROLEGA S.A.,16.340897386263904,Bolivia,2020,Soya beans
20,BOL.8.10_2,PROCESSED DOMESTICALLY,671.8291130047111,Bolivia,2020,Soya beans
21,BOL.8.10_2,SOCIEDAD AGROINDUSTRIAL NUTRIOIL SA,66.45130602221599,Bolivia,2020,Soya beans
22,BOL.8.10_2,UNKNOWN,221.38655274701162,Bolivia,2020,Soya beans
23,BOL.8.11_2,AGROINDUSTRIAS VARGAS GOMEZ GARCIA SRL,0.019137890322421507,Bolivia,2020,Soya beans
24,BOL.8.11_2,AGROTRAM SRL,0.4067766816628666,Bolivia,2020,Soya beans
25,BOL.8.11_2,ASOCIACION DE PRODUCTORES DE OLEAGINOSAS & TRIGO,0.012846767811151176,Bolivia,2020,Soya beans
26,BOL.8.11_2,CALIDAD FREJOLERA BOLIVIANA IMPORT EXPORT SRL,0.028169855453291585,Bolivia,2020,Soya beans
27,BOL.8.11_2,CARGILL,8.70824247417744,Bolivia,2020,Soya beans
28,BOL.8.11_2,ECO GRANOS SRL,0.007604018616720578,Bolivia,2020,Soya beans
29,BOL.8.11_2,EMPRESA DE TRANSFORMACION AGROINDUSTRIAL SA - ETASA,0.03838012038502928,Bolivia,2020,Soya beans
30,BOL.8.11_2,FOODS COMPANY SA,0.006662552455251272,Bolivia,2020,Soya beans
31,BOL.8.11_2,FORTRADE SRL,0.0004603329655862234,Bolivia,2020,Soya beans
32,BOL.8.11_2,GO AGRO SRL,0.006384988726371876,Bolivia,2020,Soya beans
33,BOL.8.11_2,ILMER RODRIGO VALDEZ RETAMOSO - EXPORT GRAINCRUZ,0.01944952812898353,Bolivia,2020,Soya beans
34,BOL.8.11_2,INDUSTRIAS DE ACEITE S.A.,6.794978119516187,Bolivia,2020,Soya beans
35,BOL.8.11_2,NUTRISOYA SRL,0.05351592366738092,Bolivia,2020,Soya beans
36,BOL.8.11_2,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,3.1085890622741914,Bolivia,2020,Soya beans
37,BOL.8.11_2,PROCESADORA DE OLEAGINOSAS PROLEGA S.A. PROLEGA S.A.,5.341464480150852,Bolivia,2020,Soya beans
38,BOL.8.11_2,PROCESSED DOMESTICALLY,1.2534164627728637,Bolivia,2020,Soya beans
39,BOL.8.11_2,SOYPEANUTS SRL,0.009956831551939055,Bolivia,2020,Soya beans
40,BOL.8.11_2,SUPERGRAIN SRL,0.10637101378860918,Bolivia,2020,Soya beans
41,BOL.8.11_2,TITO TIBURCIO POCOMANI MEDRANO - INVERSIONES AGROPECUARIAS SAMARY-INAGROS IMPORT-EXPORT,0.007353222397321565,Bolivia,2020,Soya beans
