,exporter_group,Adjusted_deforestation_exposure,Producer country,GID,Year,Commodity
0,AGRO MI PERU FOODS S A C,0.16890993470467197,Peru,PER,2013,Cocoa beans
1,AGRO ORGANICO SOCIEDAD ANONIMA CERRADA,0.33294264188355965,Peru,PER,2013,Cocoa beans
2,ALGARROBOS ORGANICOS DEL PERU SOCIEDAD A,1.6367903578705678,Peru,PER,2013,Cocoa beans
3,AMAZONAS TRADING PERU S A C,303.3932724248033,Peru,PER,2013,Cocoa beans
4,ANDINA FOODS EXPORT EMPRESA INDIVIDUAL D,0.0068639010207332185,Peru,PER,2013,Cocoa beans
5,AQUARIUS TRADING PERU S A C,14.624278481650194,Peru,PER,2013,Cocoa beans
6,ARMAJARO PERU S A C,117.33423527372112,Peru,PER,2013,Cocoa beans
7,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,1.3290365913984215,Peru,PER,2013,Cocoa beans
8,ASOCIACION CENTRAL DE PRODUCTORES DE CAC,2.6623363314460757,Peru,PER,2013,Cocoa beans
9,ASOCIACION CENTRAL PIURANA DE CAFETALERO,25.706466618726946,Peru,PER,2013,Cocoa beans
10,ASOCIACION DE MUJERES EMPRENDEDORAS DEL,0.025578891895398637,Peru,PER,2013,Cocoa beans
11,ASOCIACION DE PRODUCTORES CACAO ALTO HU,28.191669123797382,Peru,PER,2013,Cocoa beans
12,ASOCIACION DE PRODUCTORES CACAO VRAE,45.72663899039054,Peru,PER,2013,Cocoa beans
13,ASOCIACIONDEPRODUCTORESAGROSOSTENIBLESVI,1.332233952885346,Peru,PER,2013,Cocoa beans
14,CABDES E I R L,0.0033595464919700213,Peru,PER,2013,Cocoa beans
15,CACAO AMAZONICO SOCIEDAD ANONIMA CERRADA,0.5787603623028091,Peru,PER,2013,Cocoa beans
16,CAFETALERA AMAZONICA S.A.C.,90.59190879620354,Peru,PER,2013,Cocoa beans
17,CASA LUKER DEL PERU S A C,6.62120274584017,Peru,PER,2013,Cocoa beans
18,CENTRAL DE COOPERATIVAS AGRARIAS CAFETAL,15.302945101929044,Peru,PER,2013,Cocoa beans
19,COLCA CANYON COFFEE PERU SAC,7.992977402447152,Peru,PER,2013,Cocoa beans
20,COMPAIA NACIONAL DE CHOCOLATES DE PERU,122.52311097504551,Peru,PER,2013,Cocoa beans
21,COMPANIA AGROINDUSTRIAL DEL PERU S A C,30.641380916362955,Peru,PER,2013,Cocoa beans
22,COMPLEMENTOS Y SUPLEMENTOS ORGNICOS DEL,0.1863814608155943,Peru,PER,2013,Cocoa beans
23,CONSERVAS Y ALIMENTOS S.A.,27.82631264838395,Peru,PER,2013,Cocoa beans
24,CONSORCIO SANGUINETI SOCIEDAD ANONIMA CE,5.53514245862065e-05,Peru,PER,2013,Cocoa beans
25,COOP AGRAR CAFETALERA ORO VERDE LTDA,31.456068623231413,Peru,PER,2013,Cocoa beans
26,COOP AGRARIA CAFET VALLE RIO APURIMAC,29.262252328336054,Peru,PER,2013,Cocoa beans
27,COOP AGRARIA CAFETALERA BAGUA GRANDE LTD,0.001332233952885346,Peru,PER,2013,Cocoa beans
28,COOP AGRARIA CAFETALERA EL QUINACHO L 78,10.640819028485835,Peru,PER,2013,Cocoa beans
29,COOP AGRARIA CAFETALERA SATIPO LTDA,3.035361838253972,Peru,PER,2013,Cocoa beans
30,COOPERATIVA AGRARIA CACAOTERA ACOPAGRO,234.46678098484702,Peru,PER,2013,Cocoa beans
31,COOPERATIVA AGRARIA CAFETALERA PANGOA LT,4.952073470949177,Peru,PER,2013,Cocoa beans
32,COOPERATIVA AGRARIA CAFETERA DIVISORIA L,23.96918025480634,Peru,PER,2013,Cocoa beans
33,COOPERATIVA AGRARIA EL GRAN SAPOSOA LTDA,1.3301023785607293,Peru,PER,2013,Cocoa beans
34,COOPERATIVA AGRARIA INDUSTRIAL NARANJILL,126.72576361107522,Peru,PER,2013,Cocoa beans
35,COOPERATIVA AGROINDUSTRIAL TOCACHE LTDA,2.6602047571214587,Peru,PER,2013,Cocoa beans
36,COOPERATIVA AGROPECUARIA DE SERVICIOS VA,0.003131769239814454,Peru,PER,2013,Cocoa beans
37,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,5.99558568156521,Peru,PER,2013,Cocoa beans
38,DRIED FOODS PERU S A C,0.12288410141007758,Peru,PER,2013,Cocoa beans
39,ECOANDINO S.A.C.,20.156541524795628,Peru,PER,2013,Cocoa beans
40,EMPRESA AGRARIA CAFETALERA CHANCHAMAYO H,0.029017410915092662,Peru,PER,2013,Cocoa beans
41,EXPORT IMPORT CANDRES S.A.C.,3.218144336589842,Peru,PER,2013,Cocoa beans
42,EXPORT IMPORT GEMA PERU S A C,0.10744132040504406,Peru,PER,2013,Cocoa beans
43,EXPORTACIONES IMPORTACIONES GRUPO THAYR,0.01610801756504866,Peru,PER,2013,Cocoa beans
44,EXPORTADORA CAMINOS ALTOS DEL PERU S A C,0.05353101380305032,Peru,PER,2013,Cocoa beans
45,EXPORTADORA ROMEX,377.7165288155162,Peru,PER,2013,Cocoa beans
46,FITOMUNDO COMERCIAL DE RESPONSABILIDAD L,0.01746964175824411,Peru,PER,2013,Cocoa beans
47,GLORIA S A,0.06719092983940042,Peru,PER,2013,Cocoa beans
48,HUAYTA CASTRO SHIRLEY,0.000154539138630621,Peru,PER,2013,Cocoa beans
49,I S D FADBY E I R L,0.002418873474218415,Peru,PER,2013,Cocoa beans
50,IMPORTADORA Y EXPORTADORA DOA ISABEL E.,0.04341877886222055,Peru,PER,2013,Cocoa beans
51,INCAS GRAIN PERU S A C,2.6430455838082954,Peru,PER,2013,Cocoa beans
52,INDUST ALIM DE LA CONVENCION S A,9.444058463759456,Peru,PER,2013,Cocoa beans
53,INDUSTRIAS ALIMENTICIAS CUSCO S.A.,1.0404296654875076,Peru,PER,2013,Cocoa beans
54,INTERLOOM SAC,1.3301023785607293,Peru,PER,2013,Cocoa beans
55,LOS CUYES S.A.C.,0.0058674479482256426,Peru,PER,2013,Cocoa beans
56,MACHU PICCHU COFFEE TRADING S.A.C.,576.3418913195309,Peru,PER,2013,Cocoa beans
57,MAKE A DEAL SOCIEDAD ANONIMA CERRADA,0.026036485312767664,Peru,PER,2013,Cocoa beans
58,MAREMI S A C,0.0002751468576923448,Peru,PER,2013,Cocoa beans
59,MEMEX SOCIEDAD ANONIMA CERRADA,0.15986807434624153,Peru,PER,2013,Cocoa beans
60,MG NATURA PERU S.A.C.,0.12791161118046795,Peru,PER,2013,Cocoa beans
61,MOYA RODRIGUEZ LUIS ENRIQUE,0.004486732260514397,Peru,PER,2013,Cocoa beans
62,NATURAL PERU SRL,7.563945790499296,Peru,PER,2013,Cocoa beans
63,NUTRY BODY SOCIEDAD ANONIMA CERRADA,0.6713600468975502,Peru,PER,2013,Cocoa beans
64,PERU NATURALS CORPORATION S.A.C.,0.02369059507515251,Peru,PER,2013,Cocoa beans
65,PERUVIAN HERITAGE S.A.C,0.302266507049344,Peru,PER,2013,Cocoa beans
66,PERUVIAN NATURE S & S S.A.C.,0.02015727895182013,Peru,PER,2013,Cocoa beans
67,PORTUGAL ROMAN NELSON,0.02664467905770692,Peru,PER,2013,Cocoa beans
68,QUINTEROS BARRIENTOS DE MEHIELOFF INGRID,0.00021582190036742603,Peru,PER,2013,Cocoa beans
69,RAINFOREST HERBAL PRODUCTS SOCIEDAD ANON,0.34996127021619594,Peru,PER,2013,Cocoa beans
70,RAINFOREST TRADING S.A.C.,58.646270839965794,Peru,PER,2013,Cocoa beans
71,RAMIREZ TIRADO CARLOS AMILCAR,0.0003433456514793362,Peru,PER,2013,Cocoa beans
72,RAYMISA S A,0.006827965455327974,Peru,PER,2013,Cocoa beans
73,RODRIGUEZ HERRERA MARIA DEL PILAR,0.004809897463497253,Peru,PER,2013,Cocoa beans
74,SUMAQAO SOCIEDAD ANONIMA CERRADA,180.52015192643773,Peru,PER,2013,Cocoa beans
75,TIERRA INCA RESOURCES S A C,7.9896734622439975,Peru,PER,2013,Cocoa beans
76,TROPICAL FOREST PERU S A C,23.843204212221497,Peru,PER,2013,Cocoa beans
77,VIDAL FOODS S.A.C.,0.00483774694843683,Peru,PER,2013,Cocoa beans
78,VILLA ANDINA SOCIEDAD ANONIMA CERRADA,0.6008919606310518,Peru,PER,2013,Cocoa beans
79,WESTREICHER FERNANDEZ WALTER JUAN,0.21635479394858018,Peru,PER,2013,Cocoa beans
80,AGRO FERGI S A C,0.3289105028360377,Peru,PER,2014,Cocoa beans
81,AGRO MI PERU FOODS S A C,0.11850321523460366,Peru,PER,2014,Cocoa beans
82,AGROFINO S A C,0.13821891279486237,Peru,PER,2014,Cocoa beans
83,AGROMANIA SAC,0.002022047686277817,Peru,PER,2014,Cocoa beans
84,ALFA INVESTMENTS S A C,4.4728743660147645e-05,Peru,PER,2014,Cocoa beans
85,ALGARROBOS ORGANICOS DEL PERU SOCIEDAD A,3.4401631212952197,Peru,PER,2014,Cocoa beans
86,ALPHA NATURALS E I R L,0.0532117812178373,Peru,PER,2014,Cocoa beans
87,AMAZONAS TRADING PERU S A C,300.5802655488353,Peru,PER,2014,Cocoa beans
88,ANS PERUANA EMPRESA INDIVIDUAL DE RESPON,2.0127934647066436e-06,Peru,PER,2014,Cocoa beans
89,AQUARIUS TRADING PERU S A C,7.069841413424704,Peru,PER,2014,Cocoa beans
90,ARMAJARO PERU S A C,191.74631230010317,Peru,PER,2014,Cocoa beans
91,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,3.5722487712366653,Peru,PER,2014,Cocoa beans
92,ASOCIACION CENTRAL DE PRODUCTORES DE CAC,3.5417761578592515,Peru,PER,2014,Cocoa beans
93,ASOCIACION DE CACAOTEROS TECNIFICADOS DE,0.8854440394648129,Peru,PER,2014,Cocoa beans
94,ASOCIACION DE PRODUCTORES CACAO ALTO HU,43.3249258440007,Peru,PER,2014,Cocoa beans
95,ASOCIACION DE PRODUCTORES CACAO VRAE,31.687757613305358,Peru,PER,2014,Cocoa beans
96,BURGOS LINGAN MARIA OFELIA,0.016876849040125166,Peru,PER,2014,Cocoa beans
97,CAFETALERA AMAZONICA S.A.C.,40.83486280465159,Peru,PER,2014,Cocoa beans
98,CASA LUKER DEL PERU S A C,31.871655755468165,Peru,PER,2014,Cocoa beans
99,CASTRO VELA ALFREDO ALFONSO,0.00025719027604584896,Peru,PER,2014,Cocoa beans
100,CENTRAL FRONTERIZA NORTE CAFETALEROS,0.1390601215826148,Peru,PER,2014,Cocoa beans
101,CGS GENERAL DISTRIBUTION S A C,0.0033546557745110727,Peru,PER,2014,Cocoa beans
102,COFFEECOA PERU S A C,3.5502900428541047,Peru,PER,2014,Cocoa beans
103,COMPAIA NACIONAL DE CHOCOLATES DE PERU,113.55212717973576,Peru,PER,2014,Cocoa beans
104,COMPANIA AGROINDUSTRIAL DEL PERU S A C,12.416082284162036,Peru,PER,2014,Cocoa beans
105,COMPLEMENTOS Y SUPLEMENTOS ORGNICOS DEL,0.025942671322885632,Peru,PER,2014,Cocoa beans
106,CONFIPERU S.A.,0.0027704983823095453,Peru,PER,2014,Cocoa beans
107,CONSERVAS Y ALIMENTOS S.A.,14.868451330790766,Peru,PER,2014,Cocoa beans
108,CONSORCIO SANGUINETI SOCIEDAD ANONIMA CE,0.0005891418191632391,Peru,PER,2014,Cocoa beans
109,COOP AGRAR CAFETALERA ORO VERDE LTDA,30.569104074023166,Peru,PER,2014,Cocoa beans
110,COOP AGRARIA CAFET VALLE RIO APURIMAC,19.479768868225882,Peru,PER,2014,Cocoa beans
111,COOP AGRARIA CAFETALERA EL QUINACHO L 78,7.968996355183314,Peru,PER,2014,Cocoa beans
112,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,0.888530322775447,Peru,PER,2014,Cocoa beans
113,COOP AGRARIA CAFETALERA SATIPO LTDA,2.6563321183944377,Peru,PER,2014,Cocoa beans
114,COOPERATIVA AGRARIA CACAOTERA ACOPAGRO,146.5040240807405,Peru,PER,2014,Cocoa beans
115,COOPERATIVA AGRARIA CAFETALERA PANGOA LT,2.095408995316809,Peru,PER,2014,Cocoa beans
116,COOPERATIVA AGRARIA CAFETERA DIVISORIA L,20.37230781185307,Peru,PER,2014,Cocoa beans
117,COOPERATIVA AGRARIA EL GRAN SAPOSOA LTDA,7.973537093847234,Peru,PER,2014,Cocoa beans
118,COOPERATIVA AGRARIA INDUSTRIAL NARANJILL,81.87725489895111,Peru,PER,2014,Cocoa beans
119,COOPERATIVA AGRARIA INDUSTRIAL PROGRESO,0.8854440394648129,Peru,PER,2014,Cocoa beans
120,COOPERATIVA AGRARIA Y DE SERVICIOS EL DO,0.8854440394648129,Peru,PER,2014,Cocoa beans
121,COOPERATIVA AGROINDUSTRIAL ASPROC NBT,3.555185526726145,Peru,PER,2014,Cocoa beans
122,COOPERATIVA AGROINDUSTRIAL TOCACHE LTDA,23.88907443253994,Peru,PER,2014,Cocoa beans
123,COOPERATIVA AGROINDUSTRIAL UCHIZA LTDA,2.6563321183944377,Peru,PER,2014,Cocoa beans
124,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,21.741092197379903,Peru,PER,2014,Cocoa beans
125,CPX PERU S.A.C.,0.04256942497426985,Peru,PER,2014,Cocoa beans
126,DRIED FOODS PERU S A C,0.0022364371830073822,Peru,PER,2014,Cocoa beans
127,ECOANDINO S.A.C.,17.44338970052756,Peru,PER,2014,Cocoa beans
128,ECOM,0.003547452081189154,Peru,PER,2014,Cocoa beans
129,ECOTRIBAL PERU S A C,0.02731538102515648,Peru,PER,2014,Cocoa beans
130,EMPRESA AGRARIA CAFETALERA CHANCHAMAYO H,0.004540738663922117,Peru,PER,2014,Cocoa beans
131,ESKE S.R.L.,0.0026413094304014294,Peru,PER,2014,Cocoa beans
132,EXPORT IMPORT CANDRES S.A.C.,1.0408224406208975,Peru,PER,2014,Cocoa beans
133,EXPORT IMPORT GEMA PERU S A C,0.042078789242002194,Peru,PER,2014,Cocoa beans
134,EXPORTACIONES IMPORTACIONES GRUPO THAYR,0.009507541752400981,Peru,PER,2014,Cocoa beans
135,EXPORTADORA CAMINOS ALTOS DEL PERU S A C,0.10101114545142974,Peru,PER,2014,Cocoa beans
136,EXPORTADORA ROMEX,269.6141334233673,Peru,PER,2014,Cocoa beans
137,FOODS DEL SUR EXPORTS S A C,0.001209033364083995,Peru,PER,2014,Cocoa beans
138,GERONIMO RIVEROS SANTOS VERILO,0.0036453926083020328,Peru,PER,2014,Cocoa beans
139,GLORIA S A,0.10734898478435433,Peru,PER,2014,Cocoa beans
140,GRUPO L & G SAC,0.0003553698683798732,Peru,PER,2014,Cocoa beans
141,I S D FADBY E I R L,0.002728453363269006,Peru,PER,2014,Cocoa beans
142,IMPORTADORA Y EXPORTADORA DOA ISABEL E.,0.023156070592858444,Peru,PER,2014,Cocoa beans
143,INCA INVEST E I R L,0.0013835063116637697,Peru,PER,2014,Cocoa beans
144,INCAS GRAIN PERU S A C,11.50694126479488,Peru,PER,2014,Cocoa beans
145,INDUSTRIAS ALIMENTICIAS CUSCO S.A.,0.17164655379581661,Peru,PER,2014,Cocoa beans
146,INKA S COMMODITIES TRADING S A C,0.8740921928050074,Peru,PER,2014,Cocoa beans
147,INKANATURA WORLD PERU EXPORT SOCIEDAD AN,0.04997052053645843,Peru,PER,2014,Cocoa beans
148,INKAS AZTECAS & MAYAS SOLUCIONES S A C,0.4256942497426984,Peru,PER,2014,Cocoa beans
149,INTERNATIONALCOMMERCEANDTRADINGLATINAMER,0.0016773278872555363,Peru,PER,2014,Cocoa beans
150,INVERSIONES CAMPO VERDE SAC,0.888530322775447,Peru,PER,2014,Cocoa beans
151,INVERSIONES LA MINGA E I R L,0.005146273311484189,Peru,PER,2014,Cocoa beans
152,LAND OF INCAS DELIGHTS S A C,8.99767519664901e-05,Peru,PER,2014,Cocoa beans
153,LASINO S A,0.03967439562655096,Peru,PER,2014,Cocoa beans
154,MACHU PICCHU COFFEE TRADING S.A.C.,573.4015766784722,Peru,PER,2014,Cocoa beans
155,MAKE A DEAL SOCIEDAD ANONIMA CERRADA,0.029073683379095973,Peru,PER,2014,Cocoa beans
156,MAPA LOGISTICA INTERNACIONAL,0.0022811659266675295,Peru,PER,2014,Cocoa beans
157,MAREMI S A C,0.00014089554252946508,Peru,PER,2014,Cocoa beans
158,MG NATURA PERU S.A.C.,1.148886378868864,Peru,PER,2014,Cocoa beans
159,MIKEL COFFEE S A C,0.002128471248713492,Peru,PER,2014,Cocoa beans
160,NATURAL PERU SRL,8.639603613314247,Peru,PER,2014,Cocoa beans
161,NATURALIA IMPORT EXPORT S A C,0.014189808324756616,Peru,PER,2014,Cocoa beans
162,NEGOCIOS Y TRANSPORTES FERNANDEZ SOCIEDA,0.6296727444110747,Peru,PER,2014,Cocoa beans
