Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2006","2006","t","4474","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2007","2007","t","4699","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2008","2008","t","4745","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2009","2009","t","4510","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2010","2010","t","4449.75","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2011","2011","t","4579.77","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2012","2012","t","4762.68","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2013","2013","t","7325.04","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2014","2014","t","5971","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2015","2015","t","6065","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2016","2016","t","6143","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2017","2017","t","5518","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2018","2018","t","5845.99","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2019","2019","t","5835","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2020","2020","t","5875","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2021","2021","t","5883.99","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2022","2022","t","5791.55","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2023","2023","t","5971.18","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2006","2006","t","25272","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2007","2007","t","27012","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2008","2008","t","27305","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2009","2009","t","28270","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2010","2010","t","27327.02","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2011","2011","t","27596.4","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2012","2012","t","28136.86","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2013","2013","t","29455.13","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2014","2014","t","20496","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2015","2015","t","20954","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2016","2016","t","21427","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2017","2017","t","21181","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2018","2018","t","22120.99","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2019","2019","t","24841","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2020","2020","t","23401","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2021","2021","t","23451.98","A","Official figure",""
