Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2008","2008","1000 USD","6747","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2009","2009","1000 USD","7204","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2010","2010","1000 USD","13396","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2011","2011","1000 USD","14172","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2012","2012","1000 USD","15072","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2013","2013","1000 USD","24009","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2014","2014","1000 USD","7727","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2015","2015","1000 USD","13030","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2016","2016","1000 USD","12749","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2017","2017","1000 USD","11114","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2018","2018","1000 USD","11437","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01640","Cocoa beans","2008","2008","1000 USD","8727","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01640","Cocoa beans","2009","2009","1000 USD","8295","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01640","Cocoa beans","2010","2010","1000 USD","8184","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01640","Cocoa beans","2011","2011","1000 USD","8424","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01640","Cocoa beans","2012","2012","1000 USD","8760","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01640","Cocoa beans","2013","2013","1000 USD","13473","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01640","Cocoa beans","2014","2014","1000 USD","10982","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01640","Cocoa beans","2015","2015","1000 USD","11155","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01640","Cocoa beans","2016","2016","1000 USD","11299","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01640","Cocoa beans","2017","2017","1000 USD","10149","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01640","Cocoa beans","2018","2018","1000 USD","10753","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01640","Cocoa beans","2019","2019","1000 USD","10732","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01640","Cocoa beans","2020","2020","1000 USD","10806","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01640","Cocoa beans","2021","2021","1000 USD","10822","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01640","Cocoa beans","2022","2022","1000 USD","10652","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01640","Cocoa beans","2023","2023","1000 USD","10983","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01610","Coffee, green","2008","2008","1000 USD","36987","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01610","Coffee, green","2009","2009","1000 USD","33160","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01610","Coffee, green","2010","2010","1000 USD","35519","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01610","Coffee, green","2011","2011","1000 USD","37271","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01610","Coffee, green","2012","2012","1000 USD","38654","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01610","Coffee, green","2013","2013","1000 USD","41257","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01610","Coffee, green","2014","2014","1000 USD","25241","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01610","Coffee, green","2015","2015","1000 USD","26058","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01610","Coffee, green","2016","2016","1000 USD","28402","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01610","Coffee, green","2017","2017","1000 USD","26596","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01610","Coffee, green","2018","2018","1000 USD","29502","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2008","2008","1000 USD","34592","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2009","2009","1000 USD","35814","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2010","2010","1000 USD","34620","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2011","2011","1000 USD","34961","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2012","2012","1000 USD","35646","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2013","2013","1000 USD","37316","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2014","2014","1000 USD","25966","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2015","2015","1000 USD","26546","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2016","2016","1000 USD","27145","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2017","2017","1000 USD","26834","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2018","2018","1000 USD","28024","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2019","2019","1000 USD","31470","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2020","2020","1000 USD","29646","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2021","2021","1000 USD","29711","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2022","2022","1000 USD","29440","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2023","2023","1000 USD","29872","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2008","2008","1000 USD","163869","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2009","2009","1000 USD","207670","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2010","2010","1000 USD","279606","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2011","2011","1000 USD","269410","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2012","2012","1000 USD","320187","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2013","2013","1000 USD","292939","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2014","2014","1000 USD","358791","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2015","2015","1000 USD","294084","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2016","2016","1000 USD","299029","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2017","2017","1000 USD","348077","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2018","2018","1000 USD","495371","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2008","2008","1000 USD","313387","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2009","2009","1000 USD","367394","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2010","2010","1000 USD","318763","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2011","2011","1000 USD","287200","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2012","2012","1000 USD","326293","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2013","2013","1000 USD","286280","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2014","2014","1000 USD","314895","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2015","2015","1000 USD","330516","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2016","2016","1000 USD","308015","E","Estimated value"
