,exporter_group,Adjusted_deforestation_exposure,Producer country,GID,Year,Commodity
0,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,92.67171771205709,Colombia,COL,2013,Cattle meat
1,AGRICOLA CERRO PENON S A S,2.6489109666408854,Colombia,COL,2013,Cattle meat
2,AGROCOMERCIAL DEL ORIENTE S A S,21.4454561017403,Colombia,COL,2013,Cattle meat
3,AGROIND COL COLOMBIA S A S,71.48485367246766,Colombia,COL,2013,Cattle meat
4,AGROINVERSIONES BRASIL S A S GRUPO AGB,1352.1624019899675,Colombia,COL,2013,Cattle meat
5,AGROP AZTECA S A,918.460107980761,Colombia,COL,2013,Cattle meat
6,AGROP EL BUFALO S A,2007.2353181682026,Colombia,COL,2013,Cattle meat
7,AGROP EL CUCUBAL LTDA,0.3812525529198276,Colombia,COL,2013,Cattle meat
8,AGROP RESTREPO GARCIA Y CIA LTDA,0.5718788293797414,Colombia,COL,2013,Cattle meat
9,AGROSANO LTDA,0.462268720415291,Colombia,COL,2013,Cattle meat
10,ALARCON VEGA CARLOS EDUARDO,44.797174968079744,Colombia,COL,2013,Cattle meat
11,ANFER ANDINA S A S,461.9563143440872,Colombia,COL,2013,Cattle meat
12,ARIAS Y CIA S EN C,1.2708418430660917,Colombia,COL,2013,Cattle meat
13,ARIZA GARCIA SAMUEL DARIO,292.9245617449501,Colombia,COL,2013,Cattle meat
14,B GONZALEZ PECUARIA EL GUAJARO DOS Y CIA SOC CIVIL COM,1.6743341282395758,Colombia,COL,2013,Cattle meat
15,BACCA SANCHEZ JENRY ANTONIO,44.32060927692996,Colombia,COL,2013,Cattle meat
16,BASTO BAUTISTA YESID LEONEL EXPS BASTOS,513.5800126096129,Colombia,COL,2013,Cattle meat
17,BLANCO GUERRERO JAIRO,90.99806258221165,Colombia,COL,2013,Cattle meat
18,BLANCOMER S A S,69.22466674923112,Colombia,COL,2013,Cattle meat
19,BRANGUS Y ANGUS S A S,271.93872396657525,Colombia,COL,2013,Cattle meat
20,C I AGROP DEL ORIENTE S A S,89.6822093647396,Colombia,COL,2013,Cattle meat
21,C I ANDINA DEL ORIENTE LTDA,600.1335881050233,Colombia,COL,2013,Cattle meat
22,C I ANDINEX DE COLOMBIA S A S,100.44331352903703,Colombia,COL,2013,Cattle meat
