,exporter_group,Adjusted_deforestation_exposure,Producer country,GID,Year,Commodity
0,ACOSTA MANDICH EDWING ROMMEL,2.656350829207578,Ecuador,ECU,2017,Cocoa beans
1,ADELCOCOA S A,40.0736475438892,Ecuador,ECU,2017,Cocoa beans
2,AGRICOLA GUANGALA S A AGRIGUANGALA,154.07445464766985,Ecuador,ECU,2017,Cocoa beans
3,AGRICOLA INDL TUAREZ S A AGRITUSA,0.8866715871285981,Ecuador,ECU,2017,Cocoa beans
4,AGRICOLA INDL VIA VERDE AGRINVIVE,0.022612140993993984,Ecuador,ECU,2017,Cocoa beans
5,AGRO MANOBANDA HNOS S A AGROMABAN,44.25663678068733,Ecuador,ECU,2017,Cocoa beans
6,AGROALAVA S A,8.848396210394894,Ecuador,ECU,2017,Cocoa beans
7,AGROEXPORTADORA BURNEO OCAMPO BURNEOEXPO,30.105309397685865,Ecuador,ECU,2017,Cocoa beans
8,AGROINDL SALAZAR MOLINA AGROSAMEX S A,0.6493625939796597,Ecuador,ECU,2017,Cocoa beans
9,AGROINDUSTRIAS ARRIBA DEL ECUADOR AGROARRIBA S A,553.7233705851497,Ecuador,ECU,2017,Cocoa beans
10,AGROLAYA S A,34.97711788398886,Ecuador,ECU,2017,Cocoa beans
11,AGROSANCHEZ COCOA EXPORT S A,32.987602711216844,Ecuador,ECU,2017,Cocoa beans
12,ALBAN RODRIGUEZ JAVIER IGNACIO,6.648815592738413,Ecuador,ECU,2017,Cocoa beans
13,AMAZONCOCOA S A - AMAZONCOCOA,17.709005528050515,Ecuador,ECU,2017,Cocoa beans
14,ANAGUANO MUENALA WILMA PATRICIA,4.762453418609687e-05,Ecuador,ECU,2017,Cocoa beans
15,ANKLANCORP S A,2.124018654039042,Ecuador,ECU,2017,Cocoa beans
16,ARCOS TORRES DANIELA AGUSTINA - MASHPI CHOCOLATES,0.010729350683028598,Ecuador,ECU,2017,Cocoa beans
17,AROMAS Y SABORES DEL ECUADOR AROMACACAO,41.24369861977753,Ecuador,ECU,2017,Cocoa beans
18,AROMATIC COCOA EXPORT S A AROMAEXCO,141.67570815658235,Ecuador,ECU,2017,Cocoa beans
19,ARRIBA CHOCOLATE CIA S A CHOCOMPANY,2.5091973594487804,Ecuador,ECU,2017,Cocoa beans
20,ASOC AGRO ARTESANAL DE PRODUCCION DE BIENES AGRICOLAS PECUARIOS Y PISCICOLAS DE NAPO KALLARI,1.7994453203025722,Ecuador,ECU,2017,Cocoa beans
21,ASOC ARTESANAL SABOR ARRIBA,10.675477056599275,Ecuador,ECU,2017,Cocoa beans
22,ASOC DE PRODUCTORES DE CACAO DE LA ZONA NORTE DE ESMERALDAS,1.991267488161602,Ecuador,ECU,2017,Cocoa beans
23,ASOC DE PRODUCTORES ORGANICOS DE VINCES APOVINCES,2.377164153270942,Ecuador,ECU,2017,Cocoa beans
24,AVALMARTI S A - AVALMARTI S A,0.0010389221677557271,Ecuador,ECU,2017,Cocoa beans
25,AYD SANCHEZ ADSANCOCOA S A,77.71855055750656,Ecuador,ECU,2017,Cocoa beans
26,BIOLCOM CIA LTD,0.0009540768579635273,Ecuador,ECU,2017,Cocoa beans
27,BORJA ORTEGA JAIME HERNAN,0.0024426214521448986,Ecuador,ECU,2017,Cocoa beans
28,BURNEO OCAMPO LUIS EDUARDO - ESTACION DE SERVS PEDERNALES,27.00562277491399,Ecuador,ECU,2017,Cocoa beans
29,CACAO INALNAPO COMPANIA LTDA,0.4230337152627759,Ecuador,ECU,2017,Cocoa beans
30,CACAOS FINOS ECUATORIANOS S A CAFIESA,52.568454658271584,Ecuador,ECU,2017,Cocoa beans
31,CAJAS DOMINGUEZ EDUARDO JOSE,0.2566266015873669,Ecuador,ECU,2017,Cocoa beans
32,CECAO S A CIA EXPDORA DE CACAO DE AROMA Y ORGANICO,45.335057691840404,Ecuador,ECU,2017,Cocoa beans
33,CHOCOLATES FINOS NALS COFINA S A,115.32537559868922,Ecuador,ECU,2017,Cocoa beans
34,CHOCONO S A,0.001210793242019412,Ecuador,ECU,2017,Cocoa beans
35,CHOI CHOON JA,5.579396830196066e-06,Ecuador,ECU,2017,Cocoa beans
36,CHOI IN SEON,0.0009150980367818208,Ecuador,ECU,2017,Cocoa beans
37,CIA AGRICOLA RAMIREZ Y MURILLO EXPOFRUIT S A,0.001062009327019521,Ecuador,ECU,2017,Cocoa beans
38,CIA AGROCOMERCIAL PANCHANA Y ZAMBRANO S A,152.7729091169411,Ecuador,ECU,2017,Cocoa beans
39,CIA AGROFORESTAL PRODUCTIVA NORTE APROFAN S A,0.09770485808579595,Ecuador,ECU,2017,Cocoa beans
40,CIALZDORA ALLPA GREFAWAYUSA SHAYA,0.0005310046635097605,Ecuador,ECU,2017,Cocoa beans
41,CIALZDORA CLOUDFORESTCOCOA CIA L,0.01207150601712189,Ecuador,ECU,2017,Cocoa beans
42,CIALZDORA DE PRODS AGRICOLAS ZAMBRANO VELEZ AGROZAMVELSA S A,95.62951539024992,Ecuador,ECU,2017,Cocoa beans
43,CIALZDORA DE PRODS DE ECUADOR ECUCOMERPRO CIA LTD,8.866715871285983,Ecuador,ECU,2017,Cocoa beans
44,CIALZDORA Y EXPDORA DE CACAO,78.374571418962,Ecuador,ECU,2017,Cocoa beans
45,CIMARRON COCOAESTATES CIA LTD - CIMARRON COCOA ESTATES,0.015330643336394887,Ecuador,ECU,2017,Cocoa beans
46,CONFITECA C A,0.007222863960498618,Ecuador,ECU,2017,Cocoa beans
47,CORP DE ORGANIZACIONES CAMPESINAS,2.437736209240609,Ecuador,ECU,2017,Cocoa beans
48,CORP FORTALEZA DEL VALLE,9.79002678019675,Ecuador,ECU,2017,Cocoa beans
49,CORP GRUPPO SALINAS,12.57351428597204,Ecuador,ECU,2017,Cocoa beans
50,CORP PAKTA MINTALAY,0.11505101042711478,Ecuador,ECU,2017,Cocoa beans
51,CORTEZ CASTILLO SILVIA JANETH,0.10991796534652043,Ecuador,ECU,2017,Cocoa beans
52,CULTIVAGRO S A,0.21983593069304092,Ecuador,ECU,2017,Cocoa beans
53,D FINO AROMA Y SABOR DEFIASA S A,10.283436313530022,Ecuador,ECU,2017,Cocoa beans
54,DAVILA ESCUDERO CARLOS JOSE - ARAWI COCOA PRODUCTS,0.07503959912419873,Ecuador,ECU,2017,Cocoa beans
55,ECO KAKAO S A,87.4763807549392,Ecuador,ECU,2017,Cocoa beans
56,ECONUTRITION S A - ECONUTRITION S A,0.00015930139905292816,Ecuador,ECU,2017,Cocoa beans
57,ECUACAFEGOLD S A,2.159418964939693e-05,Ecuador,ECU,2017,Cocoa beans
58,ECUACOFFEE FIDEICOMISO DE ADMON,8.850077725162674e-06,Ecuador,ECU,2017,Cocoa beans
59,ECUADOR COCOA Y COFFEE ECUACOFFEE S A,157.82569946300407,Ecuador,ECU,2017,Cocoa beans
60,ECUADOR PRODUCE S A ECUAPRODUCE,0.13110255800620924,Ecuador,ECU,2017,Cocoa beans
61,ECUAINTERGLOBAL S A,1.548763601903468,Ecuador,ECU,2017,Cocoa beans
62,ECUAMAGIC ECUADOR MAGIC FLOWERS S A,0.6640744321853066,Ecuador,ECU,2017,Cocoa beans
63,ECUATORIANA DE CHOCOLATES ECUACHOCOLATES S A,0.6899617472978545,Ecuador,ECU,2017,Cocoa beans
64,EL TREBOL ALIMENTOS CONCENTRADOS S A TRECONAL,3.8423780655346658,Ecuador,ECU,2017,Cocoa beans
65,EMP PUBLICA DE CONSTRUCCIONES DEL GO,0.8866715871285981,Ecuador,ECU,2017,Cocoa beans
66,ERAZO MANOBANDA CESAR DAVID - CIAL ERAZO,27.448958568478297,Ecuador,ECU,2017,Cocoa beans
67,ESPIN SANDOVAL ENRIQUE JAVIER,0.00100899436834951,Ecuador,ECU,2017,Cocoa beans
68,EXPDORA AGRICOLA EXPUPCSA UP COCOA S,0.8854502764025257,Ecuador,ECU,2017,Cocoa beans
69,EXPDORA ALKATIFF AGRO LOPEZ CIA LTD,23.90715746286819,Ecuador,ECU,2017,Cocoa beans
70,EXPDORA DE CACAO BABAHOYO BABAHOYOEX,9.739953040427784,Ecuador,ECU,2017,Cocoa beans
71,EXPDORA E IMPDORA A Y J S A,0.5850078377887031,Ecuador,ECU,2017,Cocoa beans
