,query,source,CommonName,OAPermID,ParentOrganisationName,ParentCompanyOAPermID,UltimateParentOrganisationName,UltimateParentCompanyOAPermID,query_clean,CommonName_clean,similarity,gaps,has_government_parent,manual_check_needed
0,biopalma da amazonia sa reflorestamento industria e c,GFW,,,,,,,biopalma da amazonia sa reflorestamento industria e c, na ,14.035,True,False,TRUE
1,companhia refinadora da amazonia,GFW,Companhia Refinadora Da Amazonia,5036352842,Agropalma Holdings Ltda,5090620337,Agropalma Holdings Ltda,5090620337,companhia refinadora da amazonia,companhia refinadora da amazonia,100.0,False,False,FALSE
2,agropalma s a,GFW,Agropalma S/A,4297728835,Agropalma S/A,4297728835,Agropalma S/A,4297728835,agropalma s a,agropalma s a,100.0,False,False,FALSE
3,clealco acucar e alcool,GFW,Clealco Acucar E Alcool Sa Em Recuperacao Judicial,4298141288,Clealco Acucar E Alcool Sa Em Recuperacao Judicial,4298141288,Clealco Acucar E Alcool Sa Em Recuperacao Judicial,4298141288,clealco acucar e alcool,clealco acucar e alcool sa em recuperacao judicial,63.014,False,False,TRUE
4,cofco,GFW,COFCO Capital Holdings Co Ltd,4298151363,Cofco Corp,5000029409,"China, People's Republic of (Government)",5000036491,cofco,cofco capital holdings co ltd,29.412,False,True,TRUE
5,cooperativa de produtores de cana de acucar acucar e a,GFW,,,,,,,cooperativa de produtores de cana de acucar acucar e a, na ,13.793,True,False,TRUE
6,guarani,GFW,Tereos Acucar e Energia Brasil SA,4295860270,NewCo Tereos Internacional (BR) Ltda,5086726220,Tereos France Usca,5042931050,guarani,tereos acucar e energia brasil sa,25.0,False,False,TRUE
7,louis dreyfus,GFW,Louis Dreyfus Co BV,4298451869,Louis Dreyfus Company Holdings BV,5000812101,Akira Holding Foundation,5040056695,louis dreyfus,louis dreyfus co bv,81.25,False,False,FALSE
8,raizen energia sa,GFW,Raizen Energia SA,4298262202,Raizen SA,5000030442,Raizen SA,5000030442,raizen energia sa,raizen energia sa,100.0,False,False,FALSE
9,s a usina coruripe acucar e alcool,GFW,Usina Coruripe Acucar e Alcool SA,4296733657,Coruripe Holding SA,5063730013,Coruripe Holding SA,5063730013,s a usina coruripe acucar e alcool,usina coruripe acucar e alcool sa,89.552,False,False,FALSE
10,sao martinho s a,GFW,Sao Martinho SA,4295860269,Ljn Participacoes S/A,5035929690,Ljn Participacoes S/A,5035929690,sao martinho s a,sao martinho sa,96.774,False,False,FALSE
11,sucden do brasil ltda,GFW,Sucden Do Brasil Ltda,4298355714,Sucres Et Denrees,4298363796,Sucres Et Denrees,4298363796,sucden do brasil ltda,sucden do brasil ltda,100.0,False,False,FALSE
12,usina alto alegre s a   acucar e alcool,GFW,Usina Alto Alegre Sa Acucar E Alcool,4296733590,Usina Alto Alegre Sa Acucar E Alcool,4296733590,Usina Alto Alegre Sa Acucar E Alcool,4296733590,usina alto alegre s a   acucar e alcool,usina alto alegre sa acucar e alcool,96.0,False,False,FALSE
13,usina de acucar santa terezinha ltda,GFW,Usina De Acucar Santa Terezinha Ltda,4298134522,Usina De Acucar Santa Terezinha Ltda,4298134522,Usina De Acucar Santa Terezinha Ltda,4298134522,usina de acucar santa terezinha ltda,usina de acucar santa terezinha ltda,100.0,False,False,FALSE
14,acucar e alcool oswaldo ribeiro de,GFW,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,,,,acucar e alcool oswaldo ribeiro de,acucar e alcool oswaldo ribeiro de mendonca ltda,82.927,True,False,TRUE
