producer_country,commodity,year,exporter_group,adjusted_deforestation_exposure,years_appeared,years_available
Bolivia,Soya beans,2020,AGROINDUSTRIA CAICO SA,361.95956891544245,"2020, 2021",2020-2021
Bolivia,Soya beans,2020,AGROTRAM SRL,36.20481725981206,"2020, 2021",2020-2021
Bolivia,Soya beans,2020,ASOCIACION DE PRODUCTORES DE OLEAGINOSAS & TRIGO,5.086542120898748,"2020, 2021",2020-2021
Bolivia,Soya beans,2020,CARGILL,982.3495541510014,"2020, 2021",2020-2021
Bolivia,Soya beans,2020,GRAVETAL BOLIVIA SA,3489.332129555393,"2020, 2021",2020-2021
Bolivia,Soya beans,2020,HUGO SPECHAR GONZALES - GRANOS,1139.757704199305,"2020, 2021",2020-2021
Bolivia,Soya beans,2020,INDUSTRIAS DE ACEITE S.A.,2141.9768400657485,"2020, 2021",2020-2021
Bolivia,Soya beans,2020,INDUSTRIAS OLEAGINOSAS S.A.,2339.6642703998764,"2020, 2021",2020-2021
Bolivia,Soya beans,2020,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,311.8258445146905,"2020, 2021",2020-2021
Bolivia,Soya beans,2020,PROCESADORA DE OLEAGINOSAS PROLEGA S.A. PROLEGA S.A.,21.682361866414755,"2020, 2021",2020-2021
Bolivia,Soya beans,2020,PROCESSED DOMESTICALLY,5025.142432996433,"2020, 2021",2020-2021
Bolivia,Soya beans,2020,SOCIEDAD AGROINDUSTRIAL NUTRIOIL SA,1167.232259193827,"2020, 2021",2020-2021
Bolivia,Soya beans,2020,SUPERGRAIN SRL,42.11648019424885,"2020, 2021",2020-2021
Bolivia,Soya beans,2020,UNKNOWN,3876.1521503914255,"2020, 2021",2020-2021
Bolivia,Soya beans,2021,AGROINDUSTRIA CAICO SA,615.2757265723918,"2020, 2021",2020-2021
Bolivia,Soya beans,2021,AGROTRAM SRL,294.52858705948216,"2020, 2021",2020-2021
Bolivia,Soya beans,2021,ASOCIACION DE PRODUCTORES DE OLEAGINOSAS & TRIGO,172.7784269033466,"2020, 2021",2020-2021
Bolivia,Soya beans,2021,CAINSA SRL,54.52742907961867,2021,2020-2021
Bolivia,Soya beans,2021,CARGILL,792.3896659589294,"2020, 2021",2020-2021
Bolivia,Soya beans,2021,COMERCIAL INDUSTRIAL AGROPECUARIA CIAGRO SA,197.6164192111262,2021,2020-2021
Bolivia,Soya beans,2021,EMPRESA AGROINDUSTRIAL D F &R SRL,396.26659328436966,2021,2020-2021
Bolivia,Soya beans,2021,EMPRESA AGROINDUSTRIAL FIDERO SRL,438.5470916332883,2021,2020-2021
Bolivia,Soya beans,2021,GRAVETAL BOLIVIA SA,1927.772130065734,"2020, 2021",2020-2021
Bolivia,Soya beans,2021,HUGO SPECHAR GONZALES - GRANOS,686.7241008114385,"2020, 2021",2020-2021
Bolivia,Soya beans,2021,INDUSTRIAS DE ACEITE S.A.,3121.0273172859997,"2020, 2021",2020-2021
Bolivia,Soya beans,2021,INDUSTRIAS OLEAGINOSAS S.A.,2924.5868836529085,"2020, 2021",2020-2021
Bolivia,Soya beans,2021,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,858.4949623731264,"2020, 2021",2020-2021
Bolivia,Soya beans,2021,PROCESADORA DE OLEAGINOSAS PROLEGA S.A. PROLEGA S.A.,57.09902787679028,"2020, 2021",2020-2021
Bolivia,Soya beans,2021,PROCESSED DOMESTICALLY,4256.578458144991,"2020, 2021",2020-2021
Bolivia,Soya beans,2021,SOCIEDAD AGROINDUSTRIAL NUTRIOIL SA,1603.1663304551885,"2020, 2021",2020-2021
Bolivia,Soya beans,2021,SOYAGRAIN SRL,245.1852660293792,2021,2020-2021
Bolivia,Soya beans,2021,SUPERGRAIN SRL,72.8736133588564,"2020, 2021",2020-2021
Bolivia,Soya beans,2021,UNKNOWN,9279.942201007958,"2020, 2021",2020-2021
Brazil,Cattle meat,2010,AMERICA SUD INDUSTRIA E COMERCIO DE CARNES EIRELI,2567.8957377187653,"2010, 2011",2010-2020
