exporter_group,exporter_group_similarity
A  V CAFE S A C,NA
A & V CAFE S A C,0.9791666666666666
A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,0.5946699905033237
ABATEDOURO DE BOVINOS SAMPAIO LTDA,0.616557734204793
ABENGOA BIOENERGIA AGROINDUSTRIA,0.6309815592903828
ACUCAR E ALCOOL OSWALDO RIBEIRO DE,0.5584150326797386
ADECOAGRO,0.5421724245253656
ADM,0.6296296296296295
AFG BRASIL,0.47777777777777775
AG STA-RITA IMPORTACAO E EXPORTACAO LTDA - EPP,0.5697722567287784
AGL AGROINDUSTRIAL,0.5528923572401833
AGRA AGROINDUSTRIAL DE ALIMENTOS,0.6977805010893245
AGRICOLA E PECUARIA MORRO AZUL,0.6781565656565657
AGRICOLA GUANGALA S A AGRIGUANGALA,0.6849673202614378
AGRINVEST BRASIL,0.579434046345811
AGRO SAN GERARDO E I R L,0.6243686868686869
AGROEXPORT TRADING E AGRONEGOCIOS,0.6751063264221158
AGROGLOBAL AGRONEGOCIOS EXPORTACAO E IMPORTACAO REPRESENTACO,0.6585858585858586
AGROIND COL COLOMBIA S A S,0.6727350427350427
AGROINDUSTRIA CAICO SA,0.6871357808857808
AGROINDUSTRIAL IGUATEMI,0.7868083003952568
AGROINDUSTRIAL SANTA JULIANA,0.7997984090661436
AGROINDUSTRIAS ARRIBA DEL ECUADOR AGROARRIBA S A,0.7306331953071084
AGROINDUSTRIAS ASAF S A S,0.7794444444444444
AGROINVERSIONES BRASIL S A S GRUPO AGB,0.6837719298245615
AGROMASS BRASIL AGROPECUARIA - IMPORTACAO E EXPORTACAO LTDA - EPP,0.6298289147185582
AGROP AZTECA S A,0.6116452991452991
AGROP EL BUFALO S A,0.7521929824561404
AGROPALMA S/A,0.7318488529014845
AGROPECUARIA SANTA RITA DO MARAJO SOCIEDADE ANONIMA,0.6115224644636409
AGROTRAM SRL,0.6198752228163993
ALGARROBOS ORGANICOS DEL PERU SOCIEDAD A,0.5777777777777777
ALIMENTOS ESTRELA,0.5811840120663649
ALIMS CARNICOS S A S,0.6262923351158645
ALTO EL SOL PERU SOCIEDAD ANONIMA CERRAD,0.5972222222222221
ALVO CONSULTORIA E AGRONEGOCIOS,0.6638172043010753
AMAGGI,0.42114695340501784
AMAGGI EXPORTACAO ET IMPORTACAO LTDA,0.7222222222222223
AMAZONAS TRADING PERU S A C,0.6297920727745289
AMCEL - AMAPA FLORESTAL E CELULOSE,0.6346586782861292
AMERICA SUD INDUSTRIA E COMERCIO DE CARNES EIRELI,0.6176701449810693
AMERICAN TRADE S A S,0.7110544217687075
ANFER ANDINA S A S,0.7722222222222223
ANGLETON GROUP S A S,0.6722222222222222
ANTONIO RUETTE AGROINDUSTRIAL,0.5966338259441707
AQUARIUS TRADING PERU S A C,0.6143039591315453
ARANTES ALIMENTOSEM RECUPERACAO JUDICIAL,0.5969135802469135
ARCOS DORADOS COL S A S,0.5695652173913044
ARIZA GARCIA SAMUEL DARIO,0.5668673355629876
ARMAJARO PERU S A C,0.6346616541353384
AROMAS Y SABORES DEL ECUADOR AROMACACAO,0.6690349554126644
AROMATIC COCOA EXPORT S A AROMAEXCO,0.707020757020757
ASOC CENTRAL PROD DE CAFE DE PICHANAQUI,0.5945276945276945
ASOC DE ORGANIZACIONES PRODUCTORAS DE CACAO DEL NUDO D,0.7161611083179711
ASOC PROV CAFETALEROS SOLIDAR SAN IGNACI,0.7029541446208112
ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,0.675030525030525
ASOCIACION CACAOTERA DE LAS REGIONES UCA,0.754473393989523
ASOCIACION CACAOTERA DE TOCACHE ASOTOC,0.8313384267119411
ASOCIACION DE CACAOTEROS TECNIFICADOS DE,0.7765350877192981
ASOCIACION DE PRODUCTORES AGRO ECOLOGICO,0.75
ASOCIACION DE PRODUCTORES AGROINDUSTRIAL,0.85625
ASOCIACION DE PRODUCTORES AGROPECUARIOS,0.9003357753357752
ASOCIACION DE PRODUCTORES CACAO ALTO HU,0.8490918803418803
ASOCIACION DE PRODUCTORES CACAO VRAE,0.9209401709401709
ASOCIACION DE PRODUCTORES CAFETALEROS DE,0.8886363636363637
ASOCIACION DE PRODUCTORES DE CAFETALEROS,0.9416666666666667
ASOCIACION DE PRODUCTORES DE OLEAGINOSAS & TRIGO,0.8670795795795795
ASOCIACION DE PRODUCTORES YUNKA DEL HUAL,0.8184640522875817
ATIVO ALIMENTOS EXPORTADORA & IMPORTADORA LTDA,0.6181830381105744
AYD SANCHEZ ADSANCOCOA S A,0.550236900780379
BARRA MANSA COMERCIO DE CARNES E DERIVADOS,0.6658172745129267
BARRY CALLEBAUT ECUADOR S A,0.6473104056437389
BASTO BAUTISTA YESID LEONEL EXPS BASTOS,0.6095204178537511
BERTIN S.A.,0.4862359862359862
BIANCHINI,0.5353535353535352
BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,0.5488215488215489
BLANCO GUERRERO JAIRO,0.5067821067821068
BLANCOMER S A S,0.706926406926407
BLUE PACIFIC OILS S.A.,0.6568181818181817
BOI BRANCO COMERCIAL EXPORTACAO E IMPORTACAO DE BOVINOS EIR,0.5009073788734805
BOI BRANCO INTERNATIONAL TRADING LTDA,0.6607352530789117
BOM JESUS AGROPECUARIA,0.5448560448560449
BON-MART FRIGORIFICO LTDA,0.5754312354312354
BP BIOENERGIA,0.535954415954416
BPO TRADING S A C,0.6109435227082286
BRANGUS Y ANGUS S A S,0.6024106612341906
BRASIL PISOS INDUSTRIA DE ARTEFATOS DE MADEIRA,0.5990769496204278
BRASLO PRODUTOS DE CARNE,0.6770970575318401
BRAVEX COMERCIAL IMPORTADORA E EXPORTADORA,0.6076649958228906
BREJEIRO,0.6091269841269842
BRF,0.6388888888888888
BUBRAS PARTICIPACOES E INVESTIMENTOS LTDA,0.5718157181571815
BULL LOG TRADING IMPORTACAO E EXPORTACAO LTDA EPP,0.67797063750756
BUNGE,0.5438775510204081
